split,n,dropped_nonfinite,r2,rmse,rel_rmse,mae,bias_me,model,n_features
train,5521,0,0.5140458906340855,0.03289705848653797,0.38902869532870876,0.02652994001914232,2.4130911602068246e-18,linear,27
val,2939,0,0.18338381828373918,0.03942478714192848,0.49245796389395313,0.031421376291878196,0.013759611999775321,linear,27
test,3357,0,-0.2504657053626418,0.05187118242571176,0.7490721508394872,0.04094109386851756,0.026940810071528046,linear,27
train,5521,0,0.9562684457340238,0.009868630623132221,0.11670285042564299,0.00644095955281216,-2.900790326418187e-05,xgb,27
val,2939,0,0.30138655446171514,0.03646521985925081,0.4554897876857274,0.027794726754817714,0.00920912824691064,xgb,27
test,3357,0,0.07040836228843794,0.04472355930992026,0.645853269557883,0.03352421419824707,0.019642638700335103,xgb,27
train,5521,0,0.969779734121045,0.008203677475798477,0.09701371770407369,0.004904558904400779,-7.496589257654176e-05,rf,27
val,2939,0,0.3292447444697941,0.03573077273030508,0.4463157536850791,0.02803164334742886,0.009394950656224277,rf,27
test,3357,0,0.06393835112006674,0.044878928703956246,0.6480969601915377,0.03442061612243493,0.01811932762005322,rf,27
