date,n_hours,daily_mean,first_hour,mean_minus_first
2016-01-01,24,0.2889583333333333,0.292,-0.0030416666666666647
2016-01-02,24,0.28291666666666665,0.286,-0.003083333333333327
2016-01-03,24,0.27616666666666667,0.28,-0.0038333333333333552
2016-01-04,24,0.2755,0.274,0.0015000000000000013
2016-01-05,24,0.2797916666666667,0.277,0.0027916666666666923
2016-01-06,24,0.2847083333333333,0.282,0.0027083333333333126
2016-01-07,24,0.2947916666666666,0.288,0.00679166666666664
2016-01-08,24,0.2973333333333333,0.298,-0.0006666666666667043
2016-01-09,24,0.297375,0.297,0.0003750000000000142
2016-01-10,24,0.29520833333333335,0.297,-0.0017916666666666359
2016-01-11,24,0.2887083333333333,0.292,-0.0032916666666666927
2016-01-12,24,0.284,0.284,0.0
2016-01-13,24,0.28604166666666664,0.284,0.002041666666666664
2016-01-14,24,0.303,0.292,0.01100000000000001
2016-01-15,24,0.3032916666666667,0.305,-0.0017083333333333117
2016-01-16,24,0.29991666666666666,0.3,-8.333333333332416e-05
2016-01-17,24,0.30424999999999996,0.3,0.004249999999999976
2016-01-18,24,0.31845833333333334,0.307,0.011458333333333348
2016-01-19,24,0.31908333333333333,0.32,-0.0009166666666666767
2016-01-20,24,0.32308333333333333,0.318,0.005083333333333329
2016-01-21,24,0.3232916666666667,0.323,0.00029166666666669006
2016-01-22,24,0.33575,0.336,-0.000250000000000028
2016-01-23,24,0.33258333333333334,0.337,-0.00441666666666668
2016-01-24,24,0.3349583333333333,0.339,-0.004041666666666721
2016-01-25,24,0.32025,0.327,-0.006750000000000034
2016-01-26,24,0.3155833333333333,0.317,-0.0014166666666666772
2016-01-27,24,0.33075000000000004,0.32,0.010750000000000037
2016-01-28,24,0.337875,0.34,-0.0021250000000000435
2016-01-29,24,0.3335000000000001,0.343,-0.009499999999999953
2016-01-30,24,0.325375,0.329,-0.0036249999999999893
2016-01-31,24,0.3150833333333333,0.322,-0.006916666666666682
2016-02-01,24,0.30383333333333334,0.307,-0.003166666666666651
2016-02-02,24,0.2967083333333333,0.298,-0.001291666666666691
2016-02-03,24,0.29062499999999997,0.292,-0.001375000000000015
2016-02-04,24,0.28654166666666664,0.285,0.0015416666666666634
2016-02-05,24,0.2895,0.287,0.0025000000000000022
2016-02-06,24,0.30354166666666665,0.291,0.012541666666666673
2016-02-07,24,0.311375,0.313,-0.0016249999999999876
2016-02-08,24,0.313625,0.31,0.0036249999999999893
2016-02-09,24,0.32383333333333336,0.324,-0.0001666666666666483
2016-02-10,24,0.3260416666666667,0.33,-0.0039583333333333415
2016-02-11,24,0.3259166666666667,0.328,-0.002083333333333326
2016-02-12,24,0.32995833333333335,0.327,0.0029583333333333406
2016-02-13,24,0.3296666666666667,0.33,-0.0003333333333332966
2016-02-14,24,0.3277083333333333,0.328,-0.00029166666666669006
2016-02-15,24,0.3302916666666667,0.329,0.001291666666666691
2016-02-16,24,0.3276666666666667,0.33,-0.0023333333333332984
2016-02-17,24,0.3245416666666667,0.328,-0.003458333333333341
2016-02-18,24,0.3276666666666667,0.326,0.0016666666666667052
2016-02-19,24,0.33066666666666666,0.33,0.0006666666666666488
2016-02-20,24,0.3296666666666667,0.332,-0.0023333333333332984
2016-02-21,24,0.3242916666666667,0.329,-0.004708333333333314
2016-02-22,24,0.32175000000000004,0.326,-0.004249999999999976
2016-02-23,24,0.31520833333333337,0.321,-0.005791666666666639
2016-02-24,24,0.3119166666666667,0.31,0.0019166666666666776
2016-02-25,24,0.316,0.318,-0.0020000000000000018
2016-02-26,24,0.31579166666666664,0.318,-0.0022083333333333677
2016-02-27,24,0.3182916666666667,0.319,-0.0007083333333333108
2016-02-28,24,0.31945833333333334,0.323,-0.003541666666666665
2016-02-29,24,0.31554166666666666,0.321,-0.005458333333333343
2016-03-01,24,0.31379166666666664,0.316,-0.0022083333333333677
2016-03-02,24,0.31979166666666664,0.316,0.0037916666666666377
2016-03-03,24,0.32204166666666667,0.324,-0.0019583333333333397
2016-03-04,24,0.31895833333333334,0.323,-0.004041666666666666
2016-03-05,24,0.31908333333333333,0.321,-0.0019166666666666776
2016-03-06,24,0.325,0.322,0.0030000000000000027
2016-03-07,24,0.32658333333333334,0.332,-0.005416666666666681
2016-03-08,24,0.322,0.327,-0.0050000000000000044
2016-03-09,24,0.31975000000000003,0.321,-0.0012499999999999734
2016-03-10,24,0.3285,0.322,0.006500000000000006
2016-03-11,24,0.33187500000000003,0.337,-0.005124999999999991
2016-03-12,24,0.3302916666666667,0.332,-0.0017083333333333117
2016-03-13,24,0.33487500000000003,0.331,0.0038750000000000173
2016-03-14,24,0.3402083333333334,0.345,-0.004791666666666583
2016-03-15,24,0.3314166666666667,0.337,-0.005583333333333329
2016-03-16,24,0.32679166666666665,0.332,-0.00520833333333337
2016-03-17,24,0.3239166666666667,0.327,-0.003083333333333327
2016-03-18,24,0.317875,0.323,-0.005124999999999991
2016-03-19,24,0.317875,0.319,-0.0011249999999999871
2016-03-20,24,0.3197083333333333,0.322,-0.002291666666666692
2016-03-21,24,0.32316666666666666,0.323,0.0001666666666666483
2016-03-22,24,0.33925,0.327,0.012249999999999983
2016-03-23,24,0.3392916666666667,0.342,-0.0027083333333333126
2016-03-24,24,0.33645833333333336,0.338,-0.0015416666666666634
2016-03-25,24,0.3353333333333333,0.339,-0.003666666666666707
2016-03-26,24,0.33075000000000004,0.335,-0.004249999999999976
2016-03-27,24,0.32995833333333335,0.333,-0.0030416666666666647
2016-03-28,24,0.330625,0.335,-0.004375000000000018
