seq_len,feature_count,best_epoch,epochs_run,val_r2,val_rmse,test_r2,test_rmse,train_n,val_n,test_n
5,20,36,96,0.8687254190444946,0.03807033970952034,0.7256371974945068,0.04933910444378853,6843,2700,3991
7,20,28,88,0.8677107691764832,0.03822730854153633,0.7408510446548462,0.047955289483070374,6833,2692,3981
10,20,23,83,0.8749749660491943,0.0371769517660141,0.7578423023223877,0.04636085778474808,6818,2680,3966
14,20,18,78,0.8600248694419861,0.0393245592713356,0.7518683075904846,0.04690668731927872,6798,2664,3946
20,20,13,73,0.857459306716919,0.03972736746072769,0.7527320981025696,0.04685736447572708,6768,2640,3916
30,20,23,83,0.8544961810112,0.04015391319990158,0.7597865462303162,0.04637010768055916,6718,2600,3866
