feature_set,feature_count,seq_len,max_epochs,patience,best_epoch,epochs_run,stopped_by_patience,improved_after_epoch_13,best_val_rmse,val_r2,val_rmse,test_r2,test_rmse
top20,20,10,500,120,23,143,True,True,0.03717695062781675,0.8749749660491943,0.0371769517660141,0.7578423023223877,0.04636085778474808
top25,25,10,500,120,11,131,True,False,0.03847815224708442,0.866070032119751,0.038478150963783264,0.7722941637039185,0.04495617747306824
