seq_len,feature_count,best_epoch,epochs_run,val_r2,val_rmse,test_r2,test_rmse,train_n,val_n,test_n
5,25,80,140,0.8840165138244629,0.035784464329481125,0.7893900275230408,0.04322829470038414,6843,2700,3991
7,25,11,71,0.8666665554046631,0.03837788105010986,0.7740082740783691,0.044782478362321854,6833,2692,3981
10,25,11,71,0.866070032119751,0.038478150963783264,0.7722941637039185,0.04495617747306824,6818,2680,3966
14,25,26,86,0.8725783228874207,0.03751975670456886,0.7715446352958679,0.045008476823568344,6798,2664,3946
20,25,27,87,0.8856611251831055,0.035580940544605255,0.7884076237678528,0.04334549605846405,6768,2640,3916
30,25,21,81,0.8939555287361145,0.034279510378837585,0.7900784611701965,0.04334788769483566,6718,2600,3866
