station,SMAP_raw,Ridge_SMAP,Ridge_BASE,XGB_regime
BeaverPass_WA_990,,-0.10962877357339718,-0.15325812571940722,-0.1986189068604851
BurntMountain_WA,,-3.658531092438955,-3.835074118415233,-2.7078239094487073
CayusePass_WA,,-0.018484261708015648,-0.22179192221621102,-0.1282852198540751
Darrington,-14.459447744038549,-0.8847536511973573,-42.58866208057634,0.7214764425863442
HartsPass_WA_515,,-0.614790362713945,-0.18960342222845372,-0.6685697158179906
MFNooksack_WA_1011,,0.0,0.0,-2.726706660648293
MartenRidge_WA_999,,-0.030236326311313455,0.2562221239882878,-0.2795054215979198
Paradise_WA,,-0.003907813042638653,-0.09483097950592168,-0.4810620609195857
Quinault,-34.55773233613857,0.0517892871511465,-1.9455254529187695,-1.3578021946791083
RainyPass_WA_711,,-0.5474147180765752,-0.26924570220204336,-4.00103929070168
SCAN_ConradAgRc,,-1.0901750413940632,-2.0944782977956122,-0.7417615748627695
SCAN_CookFarmFieldD,,-0.7764917374876117,-1.1317967257379982,-0.2100046122339922
SCAN_JordanValleyCwma,,-0.9736228148689079,-1.9381497542505435,-0.2047742363910238
SCAN_Lind_1,,-14.628392465267382,-17.626081257122244,-0.7095493073836892
SCAN_OrchardRangeSite,,-11.462767062916555,-11.486788391201916,-0.390989068755635
SCAN_TableMountain,,-0.6009879104456515,-0.074318329654262,-1.1742481851246973
SCAN_Violett,,-0.0008106757675494514,-0.0691342094922589,-0.0010453586403418
SourdoughGulch_WA_985,0.18050127398420257,-0.8340658986671494,-41.20004100918656,0.5785594049071772
Spokane,0.764131046329956,-0.3959011380633708,0.8031943084347772,0.720582369323034
Touchet_WA_824,,-1.4232519204530973,-27.877392379805514,0.1457990535792847
USCRN_Arco_17_SW,,-1.2018158700005692,-0.2953345372011116,-0.8313179165116154
USCRN_Coos_Bay_8_SW,,-2.5730070244593204,-2.2079634403406425,-0.1783985916735875
USCRN_Corvallis_10_SSW,,-3.105768418366118,-4.390566312447542,-0.2676684452595801
USCRN_Darrington_21_NNE,,-0.057864950351931954,-0.025572289278998905,-0.971450593502526
USCRN_Dillon_18_WSW,,-0.21751116153880856,-1.517098533315584,-1.551872251035574
USCRN_John_Day_35_WNW,,-4.170906025647464,-3.348269034178191,-3.00576561287522
USCRN_Murphy_10_W,,-0.11599837759164777,0.015565212665894501,-0.1638547825795249
USCRN_Quinault_4_NE,,-1.2789271721596158,-1.500877677897352,-7.671809977226047
USCRN_Riley_10_WSW,,-0.6835886503319908,-0.1395184335078694,-0.4711675749305382
USCRN_Spokane_17_SSW,,-0.0015538055218367042,-0.011340897246164605,-0.5175529498541187
USCRN_St_Mary_1_SSW,,-0.026244362855507353,-0.1550855427722564,-0.6753061928828838
