model_id,old_model_id,seed,dataset,window,old_rmse,new_rmse,change_rmse,old_mae,new_mae,change_mae,old_bias,new_bias,change_bias,old_ubrmse,new_ubrmse,change_ubrmse,old_r2,new_r2,change_r2,old_pearson,new_pearson,change_pearson,old_diff_pearson,new_diff_pearson,change_diff_pearson
Clustering_V0_Full_k2_no_smap_fs60,Clustering_V0_Full_k2_no_smap,42,wa_temporal,temporal_full,0.05046189259393785,0.07446410140517873,0.024002208811240877,0.03878643363741229,0.06012387840679405,0.021337444769381757,0.0022688247606292965,0.012320069152134749,0.010051244391505452,0.05041086230533728,0.0734378532785876,0.023026990973250318,0.7546108439204346,0.46565444215907537,-0.2889564017613593,0.8712283404770995,0.8482289503298192,-0.022999390147280363,0.36007190413523804,0.1664859986182172,-0.19358590551702085
Clustering_V0_Full_k2_no_smap_fs60,Clustering_V0_Full_k2_no_smap,42,ece_spatial,spatial_ece_v3_full,0.13199615110819976,0.1130775017457892,-0.018918649362410556,0.12358140435716795,0.10284012788049521,-0.020741276476672746,0.10405705795493747,0.10042242393699313,-0.003634634017944338,0.08121029859039733,0.05197940141717477,-0.02923089717322256,-6.87087666920025,-4.7763431058029875,2.0945335633972624,-0.5285074389446658,-0.3319668667113919,0.19654057223327387,-0.056141406933014414,-0.07377849134205541,-0.017637084409041
Clustering_Backbone_k2_no_smap_fs60,Clustering_Backbone54_k2_no_smap,42,wa_temporal,temporal_full,0.05044977840607239,0.06933611202997249,0.018886333623900096,0.03874313284263149,0.057003648045235875,0.018260515202604383,0.002148256993887971,0.01122887750233765,0.00908062050844968,0.0504040190174357,0.06842082096460399,0.018016801947168287,0.7547286489952376,0.5367160360908378,-0.21801261290439977,0.8712854909307818,0.7818090834828926,-0.0894764074478892,0.356089468584148,0.17442139574755766,-0.1816680728365903
Clustering_Backbone_k2_no_smap_fs60,Clustering_Backbone54_k2_no_smap,42,ece_spatial,spatial_ece_v3_full,0.12800590541350423,0.08054926346520634,-0.04745664194829789,0.11861361582751061,0.07382532110866409,-0.044788294718846516,0.11675489679780628,0.06490876536376303,-0.05184613143404325,0.05247671764187045,0.047697337700747855,-0.004779379941122597,-6.402196052541715,-1.9310533213424121,4.471142731199302,0.046654373490343466,0.026684906144718763,-0.019969467345624704,-0.07471837175974969,-0.011407467446998871,0.06331090431275081
Trained_Gating_k2_no_smap_fs60,Trained_Gating_k2_no_smap,42,wa_temporal,temporal_full,0.053552296651930655,0.0658820024514186,0.012329705799487951,0.039926483082861335,0.04838228041201018,0.008455797329148848,0.005882282229240534,0.016375367824521637,0.010493085595281103,0.05322825595932995,0.0638144621196508,0.010586206160320855,0.7236340725106374,0.5817250278066677,-0.1419090447039697,0.8584586681775661,0.7794831922548733,-0.07897547592269283,0.2695074492924918,0.07444645942355088,-0.19506098986894094
Trained_Gating_k2_no_smap_fs60,Trained_Gating_k2_no_smap,42,ece_spatial,spatial_ece_v3_full,0.05207356090559274,0.04877790308268091,-0.0032956578229118294,0.04337315622277836,0.035978888491914135,-0.007394267730864226,0.005626650783489393,-0.0005768062094149507,-0.006203456992904343,0.05176868306562506,0.0487744925523597,-0.0029941905132653546,-0.22499728259761986,-0.07484743599397659,0.15014984660364328,0.015580151513809443,-0.07138215412398737,-0.0869623056377968,0.07432887534963503,0.03474135588601793,-0.039587519463617105
Univariate_G_API_k2_no_smap_fs60,Univariate_G_API_k2_no_smap,42,wa_temporal,temporal_full,0.052666849076423994,0.06925423035370101,0.01658738127727702,0.040587167672268214,0.05630877616914197,0.015721608496873755,0.0031498229378299426,0.01146604690156491,0.008316223963734968,0.05257257466682741,0.06829844939919644,0.015725874732369027,0.7326975310967154,0.5378096096215754,-0.19488792147514,0.8588003691432813,0.787403590936068,-0.07139677820721324,0.3153504902337323,0.14182320669514023,-0.17352728353859206
Univariate_G_API_k2_no_smap_fs60,Univariate_G_API_k2_no_smap,42,ece_spatial,spatial_ece_v3_full,0.05657523954166069,0.07587279556578466,0.019297556024123974,0.0472004577354152,0.06919646295825166,0.021996005222836457,0.0047796502789559416,0.0594314010521474,0.054651750773191454,0.05637297821125972,0.04716555603346754,-0.009207422177792184,-0.44595033023156216,-1.600595125250973,-1.1546447950194108,-0.055600497055795305,0.0553750923000777,0.11097558935587301,-0.02397001308620588,0.045601098861129855,0.06957111194733573
Clustering_Dynamic_k2_no_smap_fs60,Clustering_Dynamic_k2_no_smap,42,wa_temporal,temporal_full,0.05010668744603108,0.06916204953402554,0.019055362087994458,0.038345591526899446,0.05645493467420428,0.018109343147304835,0.003259661983309162,0.012822380773907668,0.009562718790598506,0.050000547302692766,0.06796304618714441,0.017962498884451644,0.7580533115628796,0.5390391874847371,-0.21901412407814247,0.8725843307730206,0.7967645503851128,-0.07581978038790771,0.3458555583150699,0.1847785200562888,-0.1610770382587811
Clustering_Dynamic_k2_no_smap_fs60,Clustering_Dynamic_k2_no_smap,42,ece_spatial,spatial_ece_v3_full,0.05548612700252692,0.08012437001581667,0.02463824301328975,0.04465784772425312,0.07238287923049545,0.02772503150624233,0.002391585815022633,0.06322399562405571,0.06083240980903308,0.05543456148496107,0.04922033165025287,-0.0062142298347082,-0.39081509341710396,-1.9002125506386944,-1.5093974572215905,-0.04215147581204062,-0.22043230669807595,-0.17828083088603533,-0.08846670455795617,-0.047829224421077225,0.04063748013687895
