model_id,seed,dataset,window,scope,n,rmse,mae,bias,ubrmse,r2,pearson,target_std,prediction_std,diff_pearson
Clustering_Backbone_k2_no_smap_fs60,7,ece_spatial,spatial_ece_v3_full,__pooled__,150,0.07400994452056574,0.0600533656449565,0.02909008161035204,0.06805320741772776,-1.4744616604224134,-0.2845518389654191,0.047048925994675826,0.03757165841618845,-0.017318452064813875
Clustering_Backbone_k2_no_smap_fs60,7,ece_spatial,spatial_ece_v3_full,ECE_BBG_Lost_Meadow,30,0.024360283814844185,0.01976727315110605,0.0176600708792964,0.01677931238394431,-9.18323148997732,-0.33607559726700453,0.0076337781694800315,0.012595366603823273,0.02233338739985641
Clustering_Backbone_k2_no_smap_fs60,7,ece_spatial,spatial_ece_v3_full,ECE_BBG_Main_St,30,0.11313545728970034,0.10583147662553943,0.10583147662553943,0.03999162726631052,-406.90468876048874,-0.29834258225074844,0.005601694085779239,0.03796139228579882,-0.17594277614294807
Clustering_Backbone_k2_no_smap_fs60,7,ece_spatial,spatial_ece_v3_full,ECE_Renton_Garden_North,30,0.07756976314391997,0.07405719141825119,-0.07405719141825119,0.02307814016432752,-7.963671491759499,0.46409515607952656,0.02590893130174641,0.014455144879221633,-0.003790061290234099
Clustering_Backbone_k2_no_smap_fs60,7,ece_spatial,spatial_ece_v3_full,ECE_Renton_Garden_Shed,30,0.017734165894639966,0.013240274362840808,0.008645439298130513,0.015484089231238365,-14.399274902339942,0.026418592976222576,0.004519190312972529,0.01492979889377524,0.09817217337790105
Clustering_Backbone_k2_no_smap_fs60,7,ece_spatial,spatial_ece_v3_full,ECE_Renton_Home,30,0.08753705227967334,0.08737061266704507,0.08737061266704507,0.005395513321218569,-1232.3489493550214,0.3589791406669016,0.002492579012857567,0.005762971629536105,-0.27530784586994417
Clustering_Backbone_k2_no_smap_fs60,7,wa_temporal,temporal_full,__pooled__,6620,0.05221344552992778,0.039037009697324196,0.009094384682304515,0.051415329050362016,0.737280080004455,0.8637616944090557,0.10186754770708609,0.09093091239854532,0.3456260214699101
Clustering_Backbone_k2_no_smap_fs60,7,wa_temporal,temporal_full,BeaverPass_WA_990,626,0.0669442558039532,0.05742148174169343,0.0541831083006371,0.039315698646044096,0.4601541167679586,0.9085742448055449,0.0911125960545272,0.07292502628568373,0.2054123231850204
Clustering_Backbone_k2_no_smap_fs60,7,wa_temporal,temporal_full,CayusePass_WA,1081,0.06666894950935134,0.0516875453306281,-0.0017737674251075085,0.06664534925860968,0.6883929525521084,0.8401570807592716,0.11943179963127902,0.08465520923789961,0.09333502876015838
Clustering_Backbone_k2_no_smap_fs60,7,wa_temporal,temporal_full,Darrington,999,0.03894378827019601,0.0306092484052236,0.022072153710746157,0.032084866766172664,0.8262627681749043,0.9464650213338761,0.09343116122790567,0.09937475814222746,0.6035397476691557
Clustering_Backbone_k2_no_smap_fs60,7,wa_temporal,temporal_full,Paradise_WA,1067,0.04494107532613127,0.03617303905597665,0.0190645757816948,0.04069695568138999,0.7914759568590657,0.9171973137324269,0.09841592784423522,0.07937430518738983,0.10041952262555262
