model_id,seed,dataset,window,scope,n,rmse_no_smap,mae_no_smap,bias_no_smap,ubrmse_no_smap,r2_no_smap,pearson_no_smap,target_std,prediction_std,diff_pearson,reference_config_id,reference_only,rmse_original,mae_original,bias_original,ubrmse_original,r2_original,pearson_original,rmse_delta_no_smap_minus_original,mae_delta_no_smap_minus_original,bias_delta_no_smap_minus_original,ubrmse_delta_no_smap_minus_original,r2_delta_no_smap_minus_original,pearson_delta_no_smap_minus_original
Clustering_Backbone_k2_no_smap_fs60,7,ece_spatial,spatial_ece_v3_full,__pooled__,150,0.07400994452056574,0.0600533656449565,0.02909008161035204,0.06805320741772776,-1.4744616604224134,-0.2845518389654191,0.047048925994675826,0.03757165841618845,-0.017318452064813875,Clustering_Backbone54_k2_c0_0_c1_0,True,0.0585756468905128,0.0510231126474391,0.0305369441544897,0.0499860125469878,-0.5500109237825275,0.1150540742983844,0.01543429763005294,0.009030252997517405,-0.0014468625441376587,0.01806719487073996,-0.924450736639886,-0.39960591326380346
Clustering_Backbone_k2_no_smap_fs60,7,wa_temporal,temporal_full,__pooled__,6620,0.05221344552992778,0.039037009697324196,0.009094384682304515,0.051415329050362016,0.737280080004455,0.8637616944090557,0.10186754770708609,0.09093091239854532,0.3456260214699101,Clustering_Backbone54_k2_c0_0_c1_0,True,0.0441873790631526,0.0339791319131401,0.0061725848655055,0.0437541274001536,0.8118410927008959,0.9038735618012907,0.00802606646677518,0.005057877784184095,0.0029217998167990157,0.007661201650208414,-0.07456101269644089,-0.040111867392235045
Clustering_Backbone_k2_no_smap_fs60,13,ece_spatial,spatial_ece_v3_full,__pooled__,150,0.07472034486138886,0.06092682966610275,0.02947635815349246,0.0686605727198071,-1.5221929486704031,-0.3002420337310913,0.047048925994675826,0.037837561742929876,-0.008278483181513141,Clustering_Backbone54_k2_c0_0_c1_0,True,0.0595111520313998,0.0511577162301339,0.0304718584798723,0.0511179328307299,-0.5999163880649543,0.1006092247178154,0.01520919282998906,0.009769113435968854,-0.0009955003263798397,0.017542639889077206,-0.9222765606054488,-0.40085125844890673
Clustering_Backbone_k2_no_smap_fs60,13,wa_temporal,temporal_full,__pooled__,6620,0.05205523232050045,0.0390009245462828,0.009128449002403474,0.05124859637835747,0.7388698156213125,0.8646181289476266,0.10186754770708609,0.09070259539239126,0.34552604037478063,Clustering_Backbone54_k2_c0_0_c1_0,True,0.0441868533186784,0.0340399219241387,0.0062508804723215,0.0437424793481936,0.8118455701294919,0.9037335160339852,0.007868379001822051,0.004961002622144106,0.0028775685300819736,0.007506117030163871,-0.07297575450817939,-0.039115387086358644
Clustering_Backbone_k2_no_smap_fs60,42,ece_spatial,spatial_ece_v3_full,__pooled__,150,0.07449281649775136,0.06113794797563744,0.02941813489603027,0.06843795035655745,-1.5068558487454213,-0.31493790700473606,0.047048925994675826,0.03704492028856943,-0.022462897875846797,Clustering_Backbone54_k2_c0_0_c1_0,True,0.0573423315103404,0.0497668237726701,0.0280738954208624,0.0499999937894021,-0.48542683777935,0.1098316296049818,0.01715048498741096,0.011371124202967334,0.0013442394751678709,0.01843795656715535,-1.0214290109660713,-0.42476953660971783
Clustering_Backbone_k2_no_smap_fs60,42,wa_temporal,temporal_full,__pooled__,6620,0.05253694649733935,0.03936005247982607,0.009076414073233844,0.05174697532064556,0.7340145059412905,0.8618526294722462,0.10186754770708609,0.09074125539847143,0.3452339841479779,Clustering_Backbone54_k2_c0_0_c1_0,True,0.0439089532214443,0.0337801277546183,0.0057639884922439,0.0435289858561426,0.8142048107221804,0.9048446516684988,0.00862799327589505,0.005579924725207769,0.0033124255809899436,0.008217989464502959,-0.08019030478088995,-0.042992022196252644
Clustering_Dynamic_k2_no_smap_fs60,7,ece_spatial,spatial_ece_v3_full,__pooled__,150,0.05335908025503663,0.044682578945394416,0.016413315890302503,0.05077198545604242,-0.28622587505968,-0.11938714195901176,0.047048925994675826,0.014276282986200999,0.04754962389930682,Clustering_Dynamic_k2_c0_0_c1_0,True,0.0586251340351437,0.0520295566491127,0.0246312550012668,0.0531996956542153,-0.5526310576055897,-0.1370695917365441,-0.005266053780107076,-0.007346977703718283,-0.008217939110964297,-0.0024277101981728805,0.2664051825459097,0.017682449777532333
Clustering_Dynamic_k2_no_smap_fs60,7,wa_temporal,temporal_full,__pooled__,6620,0.05201901889671696,0.040123759662123594,0.011446386050628718,0.05074404963497659,0.7392330117236231,0.8677672583465585,0.10186754770708609,0.09186833660082025,0.33049260540642744,Clustering_Dynamic_k2_c0_0_c1_0,True,0.0470604097505808,0.0361980361152811,0.0094554121248311,0.0461007304436942,0.786577744310915,0.8922813884899283,0.0049586091461361545,0.003925723546842494,0.0019909739257976174,0.004643319191282393,-0.04734473258729188,-0.024514130143369783
Clustering_Dynamic_k2_no_smap_fs60,13,ece_spatial,spatial_ece_v3_full,__pooled__,150,0.053658541005377404,0.044517442290222704,0.015000588454872614,0.051519135948046635,-0.3007034484037352,-0.15379762358377924,0.047048925994675826,0.014967135772486229,0.04576150679662633,Clustering_Dynamic_k2_c0_0_c1_0,True,0.0583869783613655,0.0515048810773367,0.0231431554800868,0.0536044176966328,-0.5400420259944612,-0.1277461241312806,-0.004728437355988095,-0.006987438787113998,-0.008142567025214185,-0.0020852817485861666,0.23933857759072596,-0.026051499452498655
Clustering_Dynamic_k2_no_smap_fs60,13,wa_temporal,temporal_full,__pooled__,6620,0.05206669016330956,0.040169144827325524,0.011077144188805255,0.05087471966686887,0.738754848585176,0.8670447035714216,0.10186754770708609,0.09183355169014766,0.3340135296655368,Clustering_Dynamic_k2_c0_0_c1_0,True,0.0472302765430371,0.0364192499766357,0.0097980727854812,0.0462027790508556,0.7850342480553582,0.8916662705617724,0.004836413620272456,0.0037498948506898278,0.0012790714033240544,0.0046719406160132745,-0.046279399470182114,-0.024621566990350785
Clustering_Dynamic_k2_no_smap_fs60,42,ece_spatial,spatial_ece_v3_full,__pooled__,150,0.05290787231992075,0.04428958833638436,0.015371730186611659,0.0506256147072907,-0.26456502345582655,-0.12476055472834856,0.047048925994675826,0.013721131683910637,0.021438018530523625,Clustering_Dynamic_k2_c0_0_c1_0,True,0.0598591898286793,0.0532210015960042,0.0266477263609713,0.0536005717015841,-0.6186846225548344,-0.1403959656603549,-0.006951317508758548,-0.008931413259619839,-0.011275996174359643,-0.0029749569942934054,0.3541195990990078,0.015635410932006336
Clustering_Dynamic_k2_no_smap_fs60,42,wa_temporal,temporal_full,__pooled__,6620,0.05204454754770621,0.04020009945370819,0.011151441510197226,0.05083581691770186,0.7389770029382456,0.8671904125085587,0.10186754770708609,0.0916528201287938,0.33197735148397584,Clustering_Dynamic_k2_c0_0_c1_0,True,0.0470572646331295,0.0361913220880705,0.0093801880817668,0.0461128856861405,0.786606270013708,0.8921720601155031,0.004987282914576709,0.004008777365637692,0.001771253428430427,0.00472293123156136,-0.047629267075462334,-0.024981647606944435
Clustering_V0_Full_k2_no_smap_fs60,7,ece_spatial,spatial_ece_v3_full,__pooled__,150,0.0866320484936506,0.07635893029048009,0.04981934260136907,0.07087414852379986,-2.3904530869484613,-0.30094052704104207,0.047048925994675826,0.04070470919405447,-0.032066068949305096,Clustering_V0_Full_k2_c0_0_c1_0,True,0.0585756594340565,0.0510231282397537,0.0305369694472957,0.0499860117943961,-0.5500115876294633,0.1150540501587033,0.028056389059594095,0.025335802050726393,0.019282373154073367,0.02088813672940376,-1.840441499318998,-0.41599457719974536
Clustering_V0_Full_k2_no_smap_fs60,7,wa_temporal,temporal_full,__pooled__,6620,0.05208046043898368,0.03912724165919143,0.00924897770986993,0.05125261720984474,0.7386166453134256,0.8646390317567479,0.10186754770708609,0.0908505629069097,0.34777534373718033,Clustering_V0_Full_k2_c0_0_c1_0,True,0.0441742460551071,0.0339739230681852,0.0061565444385087,0.0437431248896762,0.8119529221543251,0.903920759349856,0.007906214383876578,0.005153318591006234,0.0030924332713612307,0.007509492320168537,-0.0733362768408995,-0.03928172759310811
Clustering_V0_Full_k2_no_smap_fs60,13,ece_spatial,spatial_ece_v3_full,__pooled__,150,0.08672014222710529,0.07649498280956311,0.04999388988621061,0.07085897291052715,-2.397351908672256,-0.3030807114140632,0.047048925994675826,0.040610492154913386,-0.03938667724329587,Clustering_V0_Full_k2_c0_0_c1_0,True,0.0595111636304364,0.0511577309023604,0.0304718829185424,0.0511179317661349,-0.5999170117292603,0.1006092030197065,0.02720897859666889,0.025337251907202714,0.01952200696766821,0.01974104114439225,-1.7974348969429959,-0.40368991443376967
