model_id,dataset,window,scope,n_seeds,n_mean,rmse_mean,rmse_std,rmse_median,mae_mean,mae_std,mae_median,bias_mean,bias_std,bias_median,ubrmse_mean,ubrmse_std,ubrmse_median,r2_mean,r2_std,r2_median,pearson_mean,pearson_std,pearson_median,target_std_mean,target_std_std,target_std_median,prediction_std_mean,prediction_std_std,prediction_std_median,diff_pearson_mean,diff_pearson_std,diff_pearson_median
Clustering_Backbone_k2_no_smap_fs60,ece_spatial,spatial_ece_v3_full,ECE_BBG_Lost_Meadow,3,30.0,0.024326495041027008,0.0004599784680542172,0.024360283814844185,0.01953369827723479,0.0005440082982123871,0.01976727315110605,0.017344998905760654,0.0006006155242584989,0.0176600708792964,0.017052388544763493,0.00026262039359391525,0.017074727111489284,-9.15742240858716,0.3836401112265472,-9.18323148997732,-0.328012872314236,0.014833355276785452,-0.33607559726700453,0.0076337781694800315,0.0,0.0076337781694800315,0.012948633927109765,0.000371024957387629,0.012915360066905912,0.016035295887238846,0.012352117577675148,0.02233338739985641
Clustering_Backbone_k2_no_smap_fs60,ece_spatial,spatial_ece_v3_full,ECE_BBG_Main_St,3,30.0,0.11244543279685454,0.0013159781255203723,0.11313545728970034,0.10578481430153473,0.0011827435478826832,0.10583147662553943,0.10578481430153473,0.0011827435478826832,0.10583147662553943,0.038104727741001015,0.0016432078066047474,0.03733401920598716,-401.9809524381836,9.400048486332492,-406.90468876048874,-0.2906095495170415,0.006864603256260859,-0.2882506575796897,0.005601694085779239,0.0,0.005601694085779239,0.036097460293054454,0.0016227761308230013,0.035331989088153014,-0.1730480696329214,0.007463547877292584,-0.17594277614294807
Clustering_Backbone_k2_no_smap_fs60,ece_spatial,spatial_ece_v3_full,ECE_Renton_Garden_North,3,30.0,0.0779509083349605,0.0003575316770245864,0.0780040940403274,0.07444974106878784,0.0003889297189837281,0.07445708494051377,-0.07444974106878784,0.0003889297189837281,-0.07445708494051377,0.02309870501505562,0.00014679941664672626,0.02307814016432752,-8.0521022791782,0.08299456530429197,-8.064331820586421,0.4674009268059985,0.00870927430923554,0.46409515607952656,0.025908931301746412,4.2491873609703695e-18,0.02590893130174641,0.01507517279371491,0.0005376592526677467,0.015357773051538083,-0.0005116222258466193,0.007881873368826835,-0.003790061290234099
Clustering_Backbone_k2_no_smap_fs60,ece_spatial,spatial_ece_v3_full,ECE_Renton_Garden_Shed,3,30.0,0.01861887550874974,0.0008406475470825787,0.018715318517158994,0.014362746210237526,0.0010424619779358616,0.014547458974896106,0.008561646674584126,8.868176658045421e-05,0.00857072636602068,0.016528585492075965,0.0009740192165717917,0.016689607785831152,-15.997124444648753,1.5270100929526023,-16.150357761556812,-0.013215596887862719,0.03599223783725543,-0.02220266735563061,0.004519190312972529,0.0,0.004519190312972529,0.015838067187672545,0.0008515071568983854,0.0159660863733348,0.08529701345558925,0.025745478887854802,0.09817217337790105
Clustering_Backbone_k2_no_smap_fs60,ece_spatial,spatial_ece_v3_full,ECE_Renton_Home,3,30.0,0.08955458731939264,0.0018706266529489102,0.08989521686895614,0.08939923895336628,0.0018695765035428044,0.08977415953679987,0.08939923895336628,0.0018695765035428044,0.08977415953679987,0.005254730952492408,0.0005347040826081265,0.005395513321218569,-1290.231502680237,53.779142691714505,-1299.694491325902,0.2765362232083904,0.13621821326865713,0.3513224178766679,0.002492579012857567,0.0,0.002492579012857567,0.0053713783501950435,0.0004285705243213103,0.005437619345222715,-0.21938013141510534,0.05354587163580743,-0.21424670204464633
Clustering_Backbone_k2_no_smap_fs60,ece_spatial,spatial_ece_v3_full,__pooled__,3,150.0,0.07440770195990198,0.0003627678658252209,0.07449281649775136,0.06070604776223223,0.0005750114736366927,0.06092682966610275,0.029328191553291593,0.00020825404107095689,0.02941813489603027,0.06838391016469744,0.0003072676509082658,0.06843795035655745,-1.501170152612746,0.02436830574410147,-1.5068558487454213,-0.29991059323374886,0.01519574520466039,-0.3002420337310913,0.047048925994675826,0.0,0.047048925994675826,0.03748471348256258,0.000403410070406115,0.03757165841618845,-0.016019944374057935,0.007180807525788543,-0.017318452064813875
Clustering_Backbone_k2_no_smap_fs60,wa_temporal,temporal_full,BeaverPass_WA_990,3,626.0,0.06707699734862534,0.0001454501302901598,0.06705425862573243,0.05752687112001562,0.00010931438202148526,0.05751940399970107,0.05409643168958481,7.676876947543139e-05,0.05406918119898616,0.03965893578281946,0.00034345130673756497,0.03965850784280484,0.4580094102784016,0.002351086776543255,0.45837850928259827,0.9068063408786852,0.0017706840998923834,0.906811888190498,0.0911125960545272,0.0,0.0911125960545272,0.07273561283087498,0.00019084101837843598,0.07273843661997074,0.18727170438302276,0.015716979318449675,0.17866172204730785
Clustering_Backbone_k2_no_smap_fs60,wa_temporal,temporal_full,CayusePass_WA,3,1081.0,0.06664520943095195,0.0005828882031214146,0.06666894950935134,0.05180437086154529,0.0004063250494262657,0.0516875453306281,-0.001710913226720657,0.0002324172038060355,-0.0017737674251075085,0.06662300649866897,0.0005773409367974299,0.06664534925860968,0.6885989531222324,0.00544539972818955,0.6883929525521084,0.8405904907405519,0.003362521688064608,0.8401570807592716,0.11943179963127902,0.0,0.11943179963127902,0.08446323340684342,0.0003403274800650642,0.08465520923789961,0.08813954603741968,0.0066586442298095785,0.09045024255764454
Clustering_Backbone_k2_no_smap_fs60,wa_temporal,temporal_full,Darrington,3,999.0,0.038756038789357135,0.00023859805925105143,0.038836782585215834,0.030634118235644225,0.00031804156700558243,0.0306092484052236,0.02213666259516543,0.0002221657730413504,0.022072153710746157,0.03181137760418234,0.00024499280457879744,0.03173727672199842,0.8279295699815469,0.0021156886576201147,0.8272162106258065,0.9470950719546393,0.0005510612332761568,0.9473329892610477,0.09343116122790567,0.0,0.09343116122790567,0.09910510341947036,0.00026329757121515505,0.09909189167747881,0.6046787454270555,0.0021458532018427037,0.6035397476691557
Clustering_Backbone_k2_no_smap_fs60,wa_temporal,temporal_full,Paradise_WA,3,1067.0,0.045579594331137584,0.000600896222084914,0.04566370201055564,0.03667727724174825,0.0004621631055651809,0.0367780602016288,0.019516490040217178,0.0004286885308710192,0.019567507226330796,0.04118958580854555,0.0004619390064378269,0.04125877291263417,0.7854836262815045,0.0056478378579415765,0.7847161496557082,0.915056157826213,0.002171054781780638,0.9151147686989705,0.09841592784423521,1.6996749443881478e-17,0.09841592784423522,0.07905081589657087,0.00030844396400732935,0.07901812041999494,0.09938457700920174,0.0021585645111096502,0.10041952262555262
