model_id,seed,split,effect_label,dataset,window,reference_config_id,rmse_original,rmse_no_smap,rmse_change_no_smap_minus_original,rmse_change_abs,rmse_change_pct_no_smap_vs_original,effect_rmse,effect_rmse_pct,improved,worsened,rmse_original,rmse_no_smap,rmse_change,mae_original,mae_no_smap,mae_change,bias_original,bias_no_smap,bias_change,ubrmse_original,ubrmse_no_smap,ubrmse_change,r2_original,r2_no_smap,r2_change,pearson_original,pearson_no_smap,pearson_change,diff_pearson_original,diff_pearson_no_smap,diff_pearson_change
Clustering_Backbone_k2_no_smap_fs60,7,ECE spatial,ECE benefit,ece_spatial,spatial_ece_v3_full,Clustering_Backbone54_k2_c0_0_c1_0,0.0585756468905128,0.07400994452056574,0.01543429763005294,0.01543429763005294,26.349342174405855,-0.01543429763005294,-26.349342174405855,False,True,0.0585756468905128,0.07400994452056574,0.01543429763005294,0.0510231126474391,0.0600533656449565,0.009030252997517405,0.0305369441544897,0.02909008161035204,-0.0014468625441376587,0.0499860125469878,0.06805320741772776,0.01806719487073996,-0.5500109237825275,-1.4744616604224134,-0.924450736639886,0.1150540742983844,-0.2845518389654191,-0.39960591326380346,,-0.017318452064813875,
Clustering_Backbone_k2_no_smap_fs60,7,WA temporal,WA degradation,wa_temporal,temporal_full,Clustering_Backbone54_k2_c0_0_c1_0,0.0441873790631526,0.05221344552992778,0.00802606646677518,0.00802606646677518,18.16370791149284,0.00802606646677518,18.16370791149284,False,True,0.0441873790631526,0.05221344552992778,0.00802606646677518,0.0339791319131401,0.039037009697324196,0.005057877784184095,0.0061725848655055,0.009094384682304515,0.0029217998167990157,0.0437541274001536,0.051415329050362016,0.007661201650208414,0.8118410927008959,0.737280080004455,-0.07456101269644089,0.9038735618012907,0.8637616944090557,-0.040111867392235045,,0.3456260214699101,
Clustering_Backbone_k2_no_smap_fs60,13,ECE spatial,ECE benefit,ece_spatial,spatial_ece_v3_full,Clustering_Backbone54_k2_c0_0_c1_0,0.0595111520313998,0.07472034486138886,0.01520919282998906,0.01520919282998906,25.55687851911227,-0.01520919282998906,-25.55687851911227,False,True,0.0595111520313998,0.07472034486138886,0.01520919282998906,0.0511577162301339,0.06092682966610275,0.009769113435968854,0.0304718584798723,0.02947635815349246,-0.0009955003263798397,0.0511179328307299,0.0686605727198071,0.017542639889077206,-0.5999163880649543,-1.5221929486704031,-0.9222765606054488,0.1006092247178154,-0.3002420337310913,-0.40085125844890673,,-0.008278483181513141,
Clustering_Backbone_k2_no_smap_fs60,13,WA temporal,WA degradation,wa_temporal,temporal_full,Clustering_Backbone54_k2_c0_0_c1_0,0.0441868533186784,0.05205523232050045,0.007868379001822051,0.007868379001822051,17.807058912013492,0.007868379001822051,17.807058912013492,False,True,0.0441868533186784,0.05205523232050045,0.007868379001822051,0.0340399219241387,0.0390009245462828,0.004961002622144106,0.0062508804723215,0.009128449002403474,0.0028775685300819736,0.0437424793481936,0.05124859637835747,0.007506117030163871,0.8118455701294919,0.7388698156213125,-0.07297575450817939,0.9037335160339852,0.8646181289476266,-0.039115387086358644,,0.34552604037478063,
Clustering_Backbone_k2_no_smap_fs60,42,ECE spatial,ECE benefit,ece_spatial,spatial_ece_v3_full,Clustering_Backbone54_k2_c0_0_c1_0,0.0573423315103404,0.07449281649775136,0.01715048498741096,0.01715048498741096,29.90894254852239,-0.01715048498741096,-29.90894254852239,False,True,0.0573423315103404,0.07449281649775136,0.01715048498741096,0.0497668237726701,0.06113794797563744,0.011371124202967334,0.0280738954208624,0.02941813489603027,0.0013442394751678709,0.0499999937894021,0.06843795035655745,0.01843795656715535,-0.48542683777935,-1.5068558487454213,-1.0214290109660713,0.1098316296049818,-0.31493790700473606,-0.42476953660971783,,-0.022462897875846797,
Clustering_Backbone_k2_no_smap_fs60,42,WA temporal,WA degradation,wa_temporal,temporal_full,Clustering_Backbone54_k2_c0_0_c1_0,0.0439089532214443,0.05253694649733935,0.00862799327589505,0.00862799327589505,19.64973574382844,0.00862799327589505,19.64973574382844,False,True,0.0439089532214443,0.05253694649733935,0.00862799327589505,0.0337801277546183,0.03936005247982607,0.005579924725207769,0.0057639884922439,0.009076414073233844,0.0033124255809899436,0.0435289858561426,0.05174697532064556,0.008217989464502959,0.8142048107221804,0.7340145059412905,-0.08019030478088995,0.9048446516684988,0.8618526294722462,-0.042992022196252644,,0.3452339841479779,
Clustering_Dynamic_k2_no_smap_fs60,7,ECE spatial,ECE benefit,ece_spatial,spatial_ece_v3_full,Clustering_Dynamic_k2_c0_0_c1_0,0.0586251340351437,0.05335908025503663,-0.005266053780107076,0.005266053780107076,-8.982587190248918,0.005266053780107076,8.982587190248918,True,False,0.0586251340351437,0.05335908025503663,-0.005266053780107076,0.0520295566491127,0.044682578945394416,-0.007346977703718283,0.0246312550012668,0.016413315890302503,-0.008217939110964297,0.0531996956542153,0.05077198545604242,-0.0024277101981728805,-0.5526310576055897,-0.28622587505968,0.2664051825459097,-0.1370695917365441,-0.11938714195901176,0.017682449777532333,,0.04754962389930682,
Clustering_Dynamic_k2_no_smap_fs60,7,WA temporal,WA degradation,wa_temporal,temporal_full,Clustering_Dynamic_k2_c0_0_c1_0,0.0470604097505808,0.05201901889671696,0.0049586091461361545,0.0049586091461361545,10.53668927324832,0.0049586091461361545,10.53668927324832,False,True,0.0470604097505808,0.05201901889671696,0.0049586091461361545,0.0361980361152811,0.040123759662123594,0.003925723546842494,0.0094554121248311,0.011446386050628718,0.0019909739257976174,0.0461007304436942,0.05074404963497659,0.004643319191282393,0.786577744310915,0.7392330117236231,-0.04734473258729188,0.8922813884899283,0.8677672583465585,-0.024514130143369783,,0.33049260540642744,
Clustering_Dynamic_k2_no_smap_fs60,13,ECE spatial,ECE benefit,ece_spatial,spatial_ece_v3_full,Clustering_Dynamic_k2_c0_0_c1_0,0.0583869783613655,0.053658541005377404,-0.004728437355988095,0.004728437355988095,-8.098445044926128,0.004728437355988095,8.098445044926128,True,False,0.0583869783613655,0.053658541005377404,-0.004728437355988095,0.0515048810773367,0.044517442290222704,-0.006987438787113998,0.0231431554800868,0.015000588454872614,-0.008142567025214185,0.0536044176966328,0.051519135948046635,-0.0020852817485861666,-0.5400420259944612,-0.3007034484037352,0.23933857759072596,-0.1277461241312806,-0.15379762358377924,-0.026051499452498655,,0.04576150679662633,
Clustering_Dynamic_k2_no_smap_fs60,13,WA temporal,WA degradation,wa_temporal,temporal_full,Clustering_Dynamic_k2_c0_0_c1_0,0.0472302765430371,0.05206669016330956,0.004836413620272456,0.004836413620272456,10.240070510418093,0.004836413620272456,10.240070510418093,False,True,0.0472302765430371,0.05206669016330956,0.004836413620272456,0.0364192499766357,0.040169144827325524,0.0037498948506898278,0.0097980727854812,0.011077144188805255,0.0012790714033240544,0.0462027790508556,0.05087471966686887,0.0046719406160132745,0.7850342480553582,0.738754848585176,-0.046279399470182114,0.8916662705617724,0.8670447035714216,-0.024621566990350785,,0.3340135296655368,
