model_id,router,dataset,router_seed,n,regime_0_share,regime_1_share,router_feature_count,router_features
Univariate_G_API_k2_no_smap_fs60,gapi,wa_test,42,6620,0.5306646525679758,0.46933534743202415,1,G_API
Univariate_G_API_k2_no_smap_fs60,gapi,ece_v3,42,150,1.0,0.0,1,G_API
Clustering_Dynamic_k2_no_smap_fs60,dynamic,wa_trainval,42,14608,0.5528477546549836,0.4471522453450164,2,G_API;LST_modis
Clustering_Dynamic_k2_no_smap_fs60,dynamic,wa_test,42,6620,0.5693353474320242,0.4306646525679758,2,G_API;LST_modis
Clustering_Dynamic_k2_no_smap_fs60,dynamic,ece_v3,42,150,1.0,0.0,2,G_API;LST_modis
Seasonal_Binary_k2_no_smap_fs60,seasonal,wa_trainval,42,14608,0.5174561883899234,0.48254381161007665,1,month
Seasonal_Binary_k2_no_smap_fs60,seasonal,wa_test,42,6620,0.5158610271903323,0.48413897280966767,1,month
Seasonal_Binary_k2_no_smap_fs60,seasonal,ece_v3,42,150,1.0,0.0,1,month
Global_Single_40_no_smap_fs40,global,wa_trainval,42,14608,1.0,0.0,0,
Global_Single_40_no_smap_fs40,global,wa_test,42,6620,1.0,0.0,0,
Global_Single_40_no_smap_fs40,global,ece_v3,42,150,1.0,0.0,0,
Global_Single_50_no_smap_fs50,global,wa_trainval,42,14608,1.0,0.0,0,
Global_Single_50_no_smap_fs50,global,wa_test,42,6620,1.0,0.0,0,
Global_Single_50_no_smap_fs50,global,ece_v3,42,150,1.0,0.0,0,
Global_Single_60_no_smap_fs60,global,wa_trainval,42,14608,1.0,0.0,0,
Global_Single_60_no_smap_fs60,global,wa_test,42,6620,1.0,0.0,0,
Global_Single_60_no_smap_fs60,global,ece_v3,42,150,1.0,0.0,0,
Global_Single_69_no_smap_fs69,global,wa_trainval,42,14608,1.0,0.0,0,
Global_Single_69_no_smap_fs69,global,wa_test,42,6620,1.0,0.0,0,
Global_Single_69_no_smap_fs69,global,ece_v3,42,150,1.0,0.0,0,
