Year,Configuration,R2,RMSE,ubRMSE,Bias,MAE,Med|Err|,Pearson
2023,Baseline (MAE),0.6291849810870396,0.06551958489961907,0.056911154697975724,-0.03246438780883063,0.0509215448049372,0.04056323087215424,0.8502811829760551
2023,High Capacity Depth 10 (MAE),0.621300423488256,0.06621248523605089,0.05709564644707251,-0.033528798931188195,0.05114201513204927,0.04027805972099305,0.8486971280345333
2023,High Capacity Depth 12 (MAE),0.6010817079313258,0.06795704012357362,0.0591766889144019,-0.03341075862852499,0.052612716024135045,0.04124113702774046,0.836197519085042
2023,High Capacity Min Child Weight 1 (MAE),0.6130166073516015,0.06693274605959097,0.058340957299106974,-0.03280739547363785,0.05164833207668632,0.041444795072078704,0.8426713338584826
2023,High Capacity Low Reg (MAE),0.6328234871361413,0.06519734730043561,0.05683570488274705,-0.031943649503575484,0.05027130702791606,0.03941667580604552,0.8509659919568676
2023,Low Capacity Depth 6 (MAE),0.5849769502825248,0.06931521714141449,0.06078377252258991,-0.033315646855446496,0.05320151807089399,0.04015054500102999,0.8296660842069633
2023,Low Capacity Depth 4 (MAE),0.5521607698610325,0.07200348991830618,0.06246922331949932,-0.03580640584826816,0.055363701890700175,0.04503109043836592,0.82145045377685
2023,Low Capacity High Reg (MAE),0.5997538479757047,0.06807004881050724,0.05924344084835757,-0.03352232482767446,0.05246794527672688,0.039917010247707364,0.8370408911611703
2023,Low Capacity Sampling (MAE),0.6025708097586546,0.06783008484515336,0.058892171773715016,-0.03365460616827174,0.0515566759222404,0.03981931734085081,0.8397898982293139
2023,Baseline (MSE),0.6423304491570194,0.06434776454745107,0.056503435433662846,-0.03078955322150783,0.05028754116271883,0.040875970602035516,0.8529705795725956
2023,Huber Slope 1.0,0.6391261879468664,0.06463535865416203,0.05705794298519857,-0.030366440855084866,0.05028311473891243,0.041250354051589944,0.8499965143606131
2023,Huber Slope 0.1,0.6005710527682522,0.06800052210409169,0.060007467310762494,-0.0319871047783818,0.05335321520916495,0.04503026545047761,0.8342778476563865
2023,Huber Slope 5.0,0.6414120597941846,0.06443032457460877,0.056101556502891635,-0.03168409830432466,0.05044715273048618,0.04211943364143372,0.854996656014099
2023,High Capacity Depth 10 (MSE),0.6432290602673658,0.0642668798582075,0.05665654481061741,-0.030335915602714068,0.04998189350135959,0.04038634705543519,0.8511081075023255
2023,High Capacity Depth 12 (MSE),0.6553709732729553,0.06316382274898669,0.05578431398283489,-0.02962733227071836,0.04921242219904482,0.039525366544723495,0.8554819761313643
2023,Low Capacity Depth 6 (MSE),0.6092821113866125,0.06725493032039692,0.05859872395492905,-0.033006290325665884,0.05166703918663206,0.04034786081314087,0.8426784380913485
2023,Low Capacity Depth 4 (MSE),0.5740106229353314,0.07022501877310854,0.06216883071135545,-0.03265868565344743,0.05453100217744164,0.04704434287548065,0.8245471863446443
2024,Baseline (MAE),0.6443212749806961,0.05952164865996997,0.057066803887531874,-0.016917640357337557,0.04446794609628263,0.03457102346420288,0.8307563356921083
2024,High Capacity Depth 10 (MAE),0.6386054311936192,0.059998006191642306,0.056769757464443765,-0.019415339010375395,0.044157510628968444,0.03315056335926053,0.8312484901108305
2024,High Capacity Depth 12 (MAE),0.6386100460000642,0.05999762311993417,0.05723262699053988,-0.01800392154812203,0.044417865532787225,0.0333202749490738,0.8267618670175503
2024,High Capacity Min Child Weight 1 (MAE),0.6327412429090515,0.06048282778701179,0.057990752931534204,-0.01718269572883778,0.04497172860576774,0.034591951131820675,0.8240479318944883
2024,High Capacity Low Reg (MAE),0.6262803897381282,0.061012518360446535,0.05860211929804823,-0.01697995901309838,0.04529819821361196,0.034780970811843864,0.8214621677618734
2024,Low Capacity Depth 6 (MAE),0.6361848041479119,0.060198604688561516,0.05778133765737547,-0.016887540584160265,0.04514024144137557,0.03502826392650604,0.8261261806452981
2024,Low Capacity Depth 4 (MAE),0.6307416505709922,0.06064725793772089,0.05862514120254395,-0.015530058588752796,0.04570346635370628,0.03578372818231583,0.8208156093808056
2024,Low Capacity High Reg (MAE),0.6307963724940546,0.06064276398714223,0.058210522153250795,-0.017002350941443357,0.04489868973653977,0.03426909518241883,0.8237551479110513
2024,Low Capacity Sampling (MAE),0.63757824780266,0.06008321116046699,0.057550271971327914,-0.017261473007226167,0.04485817957143643,0.0341778287887573,0.8271275363297875
2024,Baseline (MSE),0.6398488021898399,0.05989470627713702,0.05676320993657621,-0.01911318492800293,0.04412527209228225,0.03380809891223907,0.8316284492065686
2024,Huber Slope 1.0,0.6304253599554102,0.060673226277616364,0.057521874911591074,-0.019299592970248268,0.044779529357532134,0.0341243495941162,0.8282994617651425
2024,Huber Slope 0.1,0.6002999467731184,0.06309763925269311,0.06083476729723742,-0.016746437407866747,0.046695644252327556,0.035692575931549064,0.8102124246838154
2024,Huber Slope 5.0,0.6292643082678928,0.0607684567178979,0.05741405561023011,-0.019910588893006512,0.04482843052697117,0.033275039196014405,0.8288864564650308
2024,High Capacity Depth 10 (MSE),0.6157389267675635,0.06186702084317362,0.05819773394572977,-0.02098933133580622,0.04577810185287549,0.0353504590988159,0.8220613138596234
2024,High Capacity Depth 12 (MSE),0.6235360393886465,0.06123612645225265,0.057851397925777155,-0.020076826149595977,0.04527705686109817,0.034230729103088386,0.8232181326896568
2024,Low Capacity Depth 6 (MSE),0.6302239686277744,0.060689755276222314,0.05746077100900392,-0.019532183371991786,0.045296099321045245,0.03463585376739503,0.8314688702482098
2024,Low Capacity Depth 4 (MSE),0.6084564435182291,0.0624505184839911,0.05917219311525569,-0.019967944929416157,0.046499885807752016,0.0340611851811409,0.8215301448190635
2025,Baseline (MAE),0.6473216235078741,0.0621979012749575,0.06112124996426291,-0.011522661472847452,0.04674253386888411,0.03397522169351577,0.8131041722522484
