,split,MAE,RMSE,R2,bias_mean(true-pred)
train,train,0.022184000993846802,0.022668314173559856,0.9508552653536706,-0.022183237768507717
val,val,0.030049585993668117,0.039355045001160556,0.8473187569119552,-5.5553815902490394e-09
test,test,0.03613944435018497,0.04674484720824346,0.7502122994561298,-0.0033116316662192046
