route,cluster,profile,n_train,n_val,n_test,target_std,raw_features,mi_features,candidate_features,elasticnet_nonzero,stability_features,repaired_features,alpha,l1_ratio,fallback_applied,collapse_status
Clustering_Dynamic_k2,0,legacy_forced_bypass,5521,2541,3761,0.1176923100662831,410,300,380,67,42,42,0.0010200744134360156,1.0,False,truncated
Clustering_Dynamic_k2,0,mi120,5521,2541,3761,0.1176923100662831,410,120,120,27,20,20,0.06214240207337699,0.1,False,truncated
Clustering_Dynamic_k2,0,mi300,5521,2541,3761,0.1176923100662831,410,300,300,68,41,41,0.0005837240833576902,1.0,False,truncated
Clustering_Dynamic_k2,0,mi300_repaired,5521,2541,3761,0.1176923100662831,410,300,300,68,41,41,0.0005837240833576902,1.0,False,truncated
Clustering_Dynamic_k2,0,no_mi,5521,2541,3761,0.1176923100662831,410,410,410,68,40,40,0.0010200744134360156,1.0,False,truncated
Clustering_Dynamic_k2,1,legacy_forced_bypass,4282,2264,2859,0.06630963859859285,410,300,380,143,34,34,0.0015794205407584235,0.1,False,truncated
Clustering_Dynamic_k2,1,mi120,4282,2264,2859,0.06630963859859285,410,120,120,38,35,35,0.00913611493007157,0.1,False,truncated
Clustering_Dynamic_k2,1,mi300,4282,2264,2859,0.06630963859859285,410,300,300,2,2,2,0.027600822505308403,1.0,True,hard_collapsed
Clustering_Dynamic_k2,1,mi300_repaired,4282,2264,2859,0.06630963859859285,410,300,300,2,2,50,0.027600822505308403,1.0,True,hard_collapsed
Clustering_Dynamic_k2,1,no_mi,4282,2264,2859,0.06630963859859285,410,410,410,161,36,36,0.0014729728824474108,0.1,False,truncated
Clustering_V0_Full_k2,0,legacy_forced_bypass,7161,3468,4817,0.10494113514001809,410,300,380,61,46,46,0.002080053521720943,1.0,False,truncated
Clustering_V0_Full_k2,0,mi120,7161,3468,4817,0.10494113514001809,410,120,120,17,16,27,0.005152451397852246,1.0,True,hard_collapsed
Clustering_V0_Full_k2,0,mi300,7161,3468,4817,0.10494113514001809,410,300,300,39,32,32,0.0026572845415559453,0.9,False,truncated
Clustering_V0_Full_k2,0,mi300_repaired,7161,3468,4817,0.10494113514001809,410,300,300,39,32,32,0.0026572845415559453,0.9,False,truncated
Clustering_V0_Full_k2,0,no_mi,7161,3468,4817,0.10494113514001809,410,410,410,62,45,45,0.002080053521720943,1.0,False,truncated
Clustering_V0_Full_k2,1,legacy_forced_bypass,2642,1337,1803,0.10956131600710554,410,300,380,126,45,45,0.00737873277523643,0.1,False,truncated
Clustering_V0_Full_k2,1,mi120,2642,1337,1803,0.10956131600710554,410,120,120,29,27,27,0.024162023232248923,0.1,False,truncated
Clustering_V0_Full_k2,1,mi300,2642,1337,1803,0.10956131600710554,410,300,300,55,45,45,0.001950850095823995,0.5,False,truncated
Clustering_V0_Full_k2,1,mi300_repaired,2642,1337,1803,0.10956131600710554,410,300,300,55,45,45,0.001950850095823995,0.5,False,truncated
Clustering_V0_Full_k2,1,no_mi,2642,1337,1803,0.10956131600710554,410,410,410,131,42,42,0.00737873277523643,0.1,False,truncated
Univariate_G_API_k2,0,legacy_forced_bypass,4901,2366,3493,0.11950633720165472,410,300,380,84,43,43,0.0006287616731376796,1.0,False,truncated
Univariate_G_API_k2,0,mi120,4901,2366,3493,0.11950633720165472,410,120,120,18,17,37,0.003997783848668881,0.9,True,hard_collapsed
Univariate_G_API_k2,0,mi300,4901,2366,3493,0.11950633720165472,410,300,300,21,20,20,0.006287616731376797,1.0,False,truncated
Univariate_G_API_k2,0,mi300_repaired,4901,2366,3493,0.11950633720165472,410,300,300,21,20,20,0.006287616731376797,1.0,False,truncated
Univariate_G_API_k2,0,no_mi,4901,2366,3493,0.11950633720165472,410,410,410,94,44,44,0.0007229231321280317,1.0,False,truncated
Univariate_G_API_k2,1,legacy_forced_bypass,4902,2439,3127,0.07320541693016341,410,300,380,160,41,41,8.687835346180894e-05,0.9,False,truncated
Univariate_G_API_k2,1,mi120,4902,2439,3127,0.07320541693016341,410,120,120,1,1,50,0.022218756142274424,1.0,True,hard_collapsed
Univariate_G_API_k2,1,mi300,4902,2439,3127,0.07320541693016341,410,300,300,12,11,16,0.12743106215836547,0.1,True,hard_collapsed
Univariate_G_API_k2,1,mi300_repaired,4902,2439,3127,0.07320541693016341,410,300,300,12,11,50,0.12743106215836547,0.1,True,hard_collapsed
Univariate_G_API_k2,1,no_mi,4902,2439,3127,0.07320541693016341,410,410,410,184,46,46,8.687835346180894e-05,0.9,False,truncated
global,global,legacy_forced_bypass,9803,4805,6620,0.10630876028880207,410,300,380,95,43,43,0.0005806923879657166,1.0,False,truncated
global,global,mi120,9803,4805,6620,0.10630876028880207,410,120,120,13,13,17,0.05050566252609209,0.1,True,hard_collapsed
global,global,mi300,9803,4805,6620,0.10630876028880207,410,300,300,23,22,22,0.005233527767598657,0.9,False,truncated
global,global,mi300_repaired,9803,4805,6620,0.10630876028880207,410,300,300,23,22,22,0.005233527767598657,0.9,False,truncated
global,global,no_mi,9803,4805,6620,0.10630876028880207,410,410,410,96,45,45,0.0005806923879657166,1.0,False,truncated
