config_id,seed,station,n_test,r2,rmse,ubrmse,bias,mae,pearson
Guarded_Backbone54_k2_c0_0_c1_0,42,BeaverPass_WA_990,626,0.6189331261081754,0.0562443652274617,0.031703017633605786,0.04645801645317397,0.049628836873906866,0.937511656439486
Guarded_Backbone54_k2_c0_0_c1_0,42,CayusePass_WA,1081,0.8073269230560803,0.052424040798168814,0.05240637829736623,0.0013607231024015181,0.04127775120641433,0.9018666274392941
Guarded_Backbone54_k2_c0_0_c1_0,42,Darrington,999,0.827992815328241,0.03874940518959549,0.031566265223688106,0.022474147422654966,0.03245958165864687,0.9473845299368926
Guarded_Backbone54_k2_c0_0_c1_0,42,Paradise_WA,1067,0.8534396365520351,0.03767676947359607,0.036917664022609896,0.0075249612012418966,0.02991003814236293,0.9272486063848715
Guarded_Backbone54_k2_c0_0_c1_0,42,Quinault,1044,0.6902794906788875,0.03862478404896888,0.03378897906279207,-0.018713065935962503,0.031615635103649564,0.8736714618146967
Guarded_Backbone54_k2_c0_0_c1_0,42,SourdoughGulch_WA_985,906,0.5399648706399651,0.05437251070556733,0.05428101159453694,-0.003153046257316936,0.038398588944481435,0.7860951301403589
Guarded_Backbone54_k2_c0_0_c1_0,42,Spokane,897,0.9533002869900415,0.024820183352501416,0.02481173716493831,-0.0006474569559495982,0.01756564722073118,0.9808369847319324
Guarded_Backbone54_k2_c0_0_c1_0,7,BeaverPass_WA_990,626,0.61373907433767,0.05662638137311263,0.03184378970795818,0.04682435396723091,0.04983425343950716,0.9369818292436318
Guarded_Backbone54_k2_c0_0_c1_0,7,CayusePass_WA,1081,0.8061932352679574,0.052578046035711604,0.05254156608547786,0.0019582538698471644,0.04146714426057411,0.9008146777988547
Guarded_Backbone54_k2_c0_0_c1_0,7,Darrington,999,0.821929235818505,0.03942648480017693,0.031686696388985816,0.0234606260711605,0.033166263036303094,0.9463886786675804
Guarded_Backbone54_k2_c0_0_c1_0,7,Paradise_WA,1067,0.8457290378301809,0.03865516090153703,0.037877187753728996,0.007716223959455787,0.030361343230671602,0.9231141687860258
Guarded_Backbone54_k2_c0_0_c1_0,7,Quinault,1044,0.6903898789994394,0.03861790025391227,0.033917785278204195,-0.018464183216236562,0.031682939237790086,0.8728681241145507
Guarded_Backbone54_k2_c0_0_c1_0,7,SourdoughGulch_WA_985,906,0.5421665332038308,0.05424224511703425,0.05417449613921403,-0.0027101888123727018,0.03815821911917617,0.78680256323314
Guarded_Backbone54_k2_c0_0_c1_0,7,Spokane,897,0.953306250714127,0.024818598487823217,0.02480925142284861,-0.000681083502710995,0.017511884086905516,0.9808478613795448
Guarded_Backbone54_k2_c0_0_c1_0,13,BeaverPass_WA_990,626,0.6238618005873009,0.05587945242413074,0.031589322784649036,0.04609368600175022,0.04905085925934032,0.9379828228190394
Guarded_Backbone54_k2_c0_0_c1_0,13,CayusePass_WA,1081,0.8034492453159211,0.05294894780333066,0.052881576301641316,0.0026701987441991,0.04183095176682,0.9004679490098164
Guarded_Backbone54_k2_c0_0_c1_0,13,Darrington,999,0.8203691625794962,0.039598815370863745,0.031712948338663983,0.02371402720848958,0.033381319745405535,0.9471803398164447
Guarded_Backbone54_k2_c0_0_c1_0,13,Paradise_WA,1067,0.8438977949000596,0.038883908298258746,0.0380876574010694,0.007828708593769397,0.03091276101749862,0.9227478612671173
Guarded_Backbone54_k2_c0_0_c1_0,13,Quinault,1044,0.7001277252590952,0.03800574402355234,0.03329378657486015,-0.018329221322561588,0.03105750025249304,0.8778527296883025
Guarded_Backbone54_k2_c0_0_c1_0,13,SourdoughGulch_WA_985,906,0.5394546607821812,0.05440265373343669,0.05430862742510024,-0.0031971425432506264,0.03841003548743709,0.7867967950688619
Guarded_Backbone54_k2_c0_0_c1_0,13,Spokane,897,0.9522856542929975,0.025088365380949364,0.02508279131338636,-0.0005288264527501601,0.017655024686718198,0.9801327893530457
Guarded_Backbone54_k2_c0_0_c1_0,21,BeaverPass_WA_990,626,0.6148579378953911,0.056544308429900075,0.03169567910670255,0.04682566328180102,0.04971852276890803,0.9375414272124774
Guarded_Backbone54_k2_c0_0_c1_0,21,CayusePass_WA,1081,0.7984418394533911,0.053619180189404016,0.05360741964598894,0.0011229617458377895,0.042333111465859476,0.8962628163564677
Guarded_Backbone54_k2_c0_0_c1_0,21,Darrington,999,0.8199881977275083,0.03964078413017096,0.031680355938367585,0.02382743826081922,0.03322804243559832,0.9467104662061984
Guarded_Backbone54_k2_c0_0_c1_0,21,Paradise_WA,1067,0.8396504570128877,0.039409348424732996,0.039013576066896385,0.005571142228887589,0.03071437410835697,0.9182455832902375
Guarded_Backbone54_k2_c0_0_c1_0,21,Quinault,1044,0.6927960774838342,0.03846754409149005,0.03398250721613592,-0.01802612414624956,0.031504682990440465,0.8722948563051406
Guarded_Backbone54_k2_c0_0_c1_0,21,SourdoughGulch_WA_985,906,0.5388967298959095,0.05443559699762639,0.05435557212801307,-0.002950593012321339,0.03855517243891625,0.7864915130488904
Guarded_Backbone54_k2_c0_0_c1_0,21,Spokane,897,0.9546166535980927,0.02446786849056951,0.02445189481307458,-0.0008839844580876786,0.01709138350569152,0.9810441934075776
Guarded_Backbone54_k2_c0_0_c1_0,55,BeaverPass_WA_990,626,0.6175216647568409,0.0563484327513291,0.03226731760100858,0.04619487080149375,0.04942960109773535,0.9351922927351586
Guarded_Backbone54_k2_c0_0_c1_0,55,CayusePass_WA,1081,0.806965572710654,0.05247317732507613,0.05243822683742606,0.0019148641558955032,0.04159553408258828,0.902086907819796
Guarded_Backbone54_k2_c0_0_c1_0,55,Darrington,999,0.8242125123608752,0.03917290020924439,0.03152596563244225,0.023251443003510328,0.032905971738907906,0.9473653702055523
Guarded_Backbone54_k2_c0_0_c1_0,55,Paradise_WA,1067,0.8408346097394827,0.0392635632780869,0.038649405256278864,0.006917432661635248,0.031074859894260475,0.9201087905253887
Guarded_Backbone54_k2_c0_0_c1_0,55,Quinault,1044,0.699614960423833,0.038038223994155594,0.03372590393952726,-0.017591756253749476,0.03108094622794239,0.8742500421083618
Guarded_Backbone54_k2_c0_0_c1_0,55,SourdoughGulch_WA_985,906,0.5361586502520745,0.05459697992099779,0.05448345254553279,-0.0035190361198078994,0.03849831333072243,0.7872579026719457
Guarded_Backbone54_k2_c0_0_c1_0,55,Spokane,897,0.954473055302845,0.024506547538640757,0.024506393932742464,-8.676794859079193e-05,0.017163353370450676,0.9809825671676115
Guarded_Backbone54_k2_c0_0_c1_0,99,BeaverPass_WA_990,626,0.6170782522877198,0.05638108605225146,0.0319091197025782,0.046482630564953185,0.04928422764905344,0.936680621679001
Guarded_Backbone54_k2_c0_0_c1_0,99,CayusePass_WA,1081,0.7984059009270275,0.05362396022020456,0.053606959500226016,0.0013501862238999526,0.04244382043087736,0.8965322189736508
Guarded_Backbone54_k2_c0_0_c1_0,99,Darrington,999,0.8205822089182645,0.03957532584736002,0.0317346136158994,0.023645733538511633,0.03315681041545934,0.9461264501693729
Guarded_Backbone54_k2_c0_0_c1_0,99,Paradise_WA,1067,0.8361636277787069,0.03983552569290808,0.03926154683529316,0.006737955723394271,0.03149073817881894,0.9172190873412823
Guarded_Backbone54_k2_c0_0_c1_0,99,Quinault,1044,0.7021643885172415,0.03787646101498393,0.033628928888462584,-0.01742760571146605,0.031040921627276244,0.8752079408141664
Guarded_Backbone54_k2_c0_0_c1_0,99,SourdoughGulch_WA_985,906,0.5415201673494325,0.05428052100979791,0.05422761789016392,-0.002395917163318884,0.03817489608661755,0.7869613323706195
Guarded_Backbone54_k2_c0_0_c1_0,99,Spokane,897,0.9537683003648224,0.02469549920116755,0.024685700653757817,-0.0006956033553168126,0.017339079481502838,0.9809111341164911
Guarded_Backbone54_k2_c0_0_c1_0,123,BeaverPass_WA_990,626,0.6173003148859096,0.056364735523434455,0.03211893043463596,0.046318006416098366,0.049571571051122275,0.9358189488039986
Guarded_Backbone54_k2_c0_0_c1_0,123,CayusePass_WA,1081,0.7977762319207666,0.05370764079643746,0.05367395274899154,0.0019019664082672708,0.04233984712667756,0.8970781671858954
Guarded_Backbone54_k2_c0_0_c1_0,123,Darrington,999,0.8193394313051715,0.0397121530052421,0.031960311701970556,0.02357103248109092,0.03328620813182882,0.946171471907543
