config_id,strategy_name,seed,station,n_train_total,n_test,r2,rmse,ubrmse,bias,mae,pearson
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,42,BeaverPass_WA_990,12423,626,0.7423949129450769,0.04624402620205121,0.041620915967552345,0.020154635035096645,0.03617394449735601,0.8952729739677908
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,42,CayusePass_WA,12566,1081,0.68682213299688,0.06683677825686479,0.06581346491129778,0.011650869672547656,0.05338682836200439,0.842587139647287
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,42,Darrington,12560,999,0.7033485845555854,0.05088795037282584,0.04278857381061906,0.027544898700129404,0.04140474639228872,0.9007825993472577
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,42,Paradise_WA,12419,1067,0.7785723721844809,0.046310694608724876,0.03940745107234479,0.02432556751903911,0.0364599145974304,0.9170583939273987
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,42,Quinault,12448,1044,0.5606848053650594,0.046001203518200355,0.04587528443521244,0.003401323729262498,0.036895299216168596,0.8746881505768684
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,42,SourdoughGulch_WA_985,12417,906,0.37049731914553563,0.06360374402637901,0.057253947794899854,-0.02770237744440043,0.05041009444149651,0.7335872733462641
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,42,Spokane,12815,897,0.6066802742664119,0.0720312155026229,0.05679980473327932,0.04429760929267675,0.06192039377567096,0.8949239320107829
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,7,BeaverPass_WA_990,12423,626,0.7647745419639327,0.04418965210998679,0.03999309737117031,0.018795678127211883,0.03442477750673461,0.9042576884616225
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,7,CayusePass_WA,12566,1081,0.6871025464676705,0.0668068493696191,0.06574918180610623,0.011840617151253757,0.053696533041734815,0.843071376466834
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,7,Darrington,12560,999,0.6996164404651593,0.05120705814802322,0.04160302175299506,0.02985550845647837,0.04159901472600969,0.9047218033875417
