K,silhouette,calinski_harabasz,davies_bouldin,inertia,mean_station_purity_trainval,min_cluster_share,cluster_sizes
2,0.21883364689592516,3880.8563343335977,1.57924525042347,623236.3136074158,1.0,0.2727272727272727,"[10624, 3984]"
3,0.22566412088162202,3589.3834222234764,1.8154765547746499,528875.0766691612,0.8330058839679445,0.26403340635268346,"[6513, 3857, 4238]"
4,0.1875913944778689,2854.9966694523787,2.0150341008758286,497220.77747258206,0.6951408355195697,0.14663198247535597,"[2142, 4053, 3826, 4587]"
