,split,MAE,RMSE,R2,bias_mean(true-pred)
0,train,0.03839870054887455,0.048168297326823976,0.7780980400887441,-0.02348639962796386
1,val,0.03164842543742068,0.040659998028779704,0.837025533882867,-1.138516099531037e-08
2,test,0.034252065509220615,0.04569595874213977,0.7612963014177311,-0.012289670464669321
