feature,pearson_r,spearman_r,mutual_info
rain_event_impulse_0_7,0.24170056890547295,0.18232575004852497,0.19846409344011917
days_since_rain_event,-0.10171067616421611,-0.17683678636945613,0.18502465129863221
G_rain_sum_30d,-0.009082666861932293,-0.05856539306485899,0.16460763168558756
rain_mm_impulse_0_7,0.18664568859731503,0.18885611118223466,0.15919584303189716
G_rain_sum_3d,0.058091912717916555,0.11824183502895086,0.13824976200557781
G_rain_sum_7d,0.008498366018800598,0.01828086305631656,0.13361639840813577
rain_event_count_0_7,0.043832295107887796,0.030802361509311572,0.10669418318191948
rain_event_any_0_7,0.09018274270528075,0.03891313854952622,0.08481685124569438
