variant,split,r2,rmse,ubrmse,bias,mae,q90,n
current_with_smap_x_year,val,0.7102590762288816,0.05654299106542661,0.05293791830698778,-0.019866722023212595,0.043432011266932226,0.09429792389273643,2660
current_with_smap_x_year,test,0.6529942384026273,0.05545993384518979,0.05372495768401779,-0.013763472816238105,0.043283988049337536,0.09109202027320862,3916
alternative_without_smap_x_year,val,0.7854985808810998,0.04865068316964831,0.04612185161051627,-0.015481078027418457,0.03763607558269138,0.07921223342418669,2660
alternative_without_smap_x_year,test,0.5999887811071062,0.059545245515505385,0.058854870150792195,-0.009041046567472408,0.04507017408666963,0.09805867820978165,3916
