config_id,strategy_name,seed,n_train_total,n_test,train_time_s,r2,rmse,ubrmse,bias,mae,pearson
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,42,14608,6620,222.4234726750292,0.8143343367764553,0.04389364511510318,0.043515482639993226,0.00574933492667365,0.03377375587628327,0.9049030688945207
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,7,14608,6620,263.34734513703734,0.8119529221543251,0.04417424605510713,0.043743124889676264,0.0061565444385087,0.033973923068185224,0.9039207593498559
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,13,14608,6620,266.54309734189883,0.8119364463630931,0.044176181181467905,0.04373391615688259,0.006235347733738918,0.034035805248763984,0.9037703009792997
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,21,14608,6620,271.60590316401795,0.809261549327785,0.044489238957600354,0.044117583214116816,0.005738574245572088,0.03413984691706849,0.9022968098696599
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,55,14608,6620,287.86929645808414,0.8123330519244882,0.0441295752183011,0.043714684090937254,0.006037036009272419,0.03393672985161719,0.9039589876332943
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,99,14608,6620,305.48530645109713,0.8097343089474938,0.044434069785926816,0.0440134079909291,0.006099711039437266,0.03413962235108603,0.9026102898365602
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,123,14608,6620,263.4890899080783,0.8107459557289398,0.04431578389067964,0.04391029710975593,0.005981179614288567,0.03407531421918343,0.9029735737391077
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,2024,14608,6620,271.188797022216,0.8136897649019634,0.04396977145808602,0.04359420481444015,0.005734641111086141,0.033862762145216364,0.9044616753913205
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,3141,14608,6620,211.61341753415763,0.8120747323588555,0.04415993648519622,0.043817190298526335,0.0054912498321688045,0.03383674695399052,0.9035217130328436
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,2718,14608,6620,250.79103783378378,0.8119202769342606,0.04417808024231957,0.043757424374721195,0.006081988653999799,0.034024656391017746,0.9036341642267215
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,808,14608,6620,218.13879353599623,0.8097732887113731,0.044429517945134445,0.044025019572018924,0.005981614875631388,0.03414363367384654,0.9025645776413646
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,1618,14608,6620,212.585594415199,0.8094447942442904,0.04446786312638684,0.04407440397687222,0.005902352506462538,0.03413929905959847,0.9022962099893244
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,2357,14608,6620,283.103771103546,0.8138017333708076,0.04395655702600167,0.043509309392893554,0.006254510511111275,0.03389277757929351,0.9047731432343586
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,3333,14608,6620,288.59765162318945,0.810321442931604,0.04436545807254715,0.04393087194116553,0.006194542797967744,0.034144906366636744,0.9029800690729222
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,4321,14608,6620,255.16975131304935,0.8107808904913762,0.04431169353467304,0.043947321409482244,0.005670901589910427,0.034009918663373884,0.9029252270645552
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,5555,14608,6620,276.11147433519363,0.8116890044455193,0.04420523371595807,0.04375941658353896,0.006262279788605034,0.034034310399927756,0.9036720556668957
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,6789,14608,6620,258.10843923687935,0.8136837394239119,0.04397048246773786,0.04355286823582197,0.006045742045338418,0.03387153118589494,0.904655722100085
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,7777,14608,6620,212.51437329640612,0.8132064670395593,0.04402676439028775,0.04359003031091118,0.006185890410583903,0.03385713426713857,0.9044787890997521
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,8888,14608,6620,236.7537344158627,0.8124034158202935,0.04412130146530816,0.0437116749313566,0.005998226211807517,0.03393582027056606,0.9040244170894877
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,9091,14608,6620,214.25292479805648,0.8120081804729897,0.04416775519669181,0.043768624226333284,0.005924367683468626,0.03400233137323957,0.9035786964616839
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,101,14608,6620,259.6271184128709,0.8112567789417778,0.04425593622054963,0.043897957186579975,0.005617583608861415,0.0340279486153241,0.9031606056711631
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,202,14608,6620,219.35338774090633,0.8116773742314835,0.04420659876739946,0.04380328200285935,0.005957840242891872,0.033957214227967034,0.9035903156233062
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,303,14608,6620,264.03814426017925,0.8119130904610234,0.04417892425025797,0.04378506402919938,0.005886044161314328,0.033929224403053966,0.9037173629225803
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,404,14608,6620,260.9228087440133,0.8135458133506339,0.0439867546760649,0.04362497498042043,0.0056299329383225575,0.03385585582739817,0.9042821368084611
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,505,14608,6620,220.0543373450637,0.8126168737136226,0.04409619247752597,0.043631372685775625,0.006385726941388177,0.033943742811355704,0.9042375401968278
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,606,14608,6620,232.62620935915038,0.8107668984898152,0.04431333184125143,0.04390355492596864,0.006012424114724658,0.03409481734020292,0.9031112588467956
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,707,14608,6620,261.7621545912698,0.8109132258421082,0.04429619555150013,0.04392539464827434,0.005719496947292834,0.034104920793516035,0.9029257140711059
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,909,14608,6620,266.66431191796437,0.8116194715859594,0.04421339423949163,0.04381970255011909,0.005887095939068633,0.03394608938294235,0.9034987932318559
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,1111,14608,6620,225.07475543906912,0.8135881460396459,0.04398176100082579,0.04355600863439251,0.006104867940789981,0.03380819253396592,0.9046182696336139
Guarded_Backbone54_k2_c0_0_c1_0,Guarded_Backbone54_k2,2222,14608,6620,220.31422008108348,0.8122950150885899,0.04413404714152321,0.04374892981994569,0.005817667633997347,0.03387797284835775,0.9037801016597693
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,42,14608,6620,246.4963810602203,0.8143343367764553,0.04389364511510318,0.043515482639993226,0.00574933492667365,0.03377375587628327,0.9049030688945207
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,7,14608,6620,245.34012609766796,0.8119529221543251,0.04417424605510713,0.043743124889676264,0.0061565444385087,0.033973923068185224,0.9039207593498559
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,13,14608,6620,287.24636735394597,0.8119364463630931,0.044176181181467905,0.04373391615688259,0.006235347733738918,0.034035805248763984,0.9037703009792997
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,21,14608,6620,252.7655702708289,0.809261549327785,0.044489238957600354,0.044117583214116816,0.005738574245572088,0.03413984691706849,0.9022968098696599
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,55,14608,6620,215.8472102507949,0.8123330519244882,0.0441295752183011,0.043714684090937254,0.006037036009272419,0.03393672985161719,0.9039589876332943
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,99,14608,6620,209.71599635016173,0.8097343089474938,0.044434069785926816,0.0440134079909291,0.006099711039437266,0.03413962235108603,0.9026102898365602
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,123,14608,6620,229.82235599076375,0.8107459557289398,0.04431578389067964,0.04391029710975593,0.005981179614288567,0.03407531421918343,0.9029735737391077
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,2024,14608,6620,232.14504973497242,0.8136897649019634,0.04396977145808602,0.04359420481444015,0.005734641111086141,0.033862762145216364,0.9044616753913205
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,3141,14608,6620,260.22451112093404,0.8120747323588555,0.04415993648519622,0.043817190298526335,0.0054912498321688045,0.03383674695399052,0.9035217130328436
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,2718,14608,6620,265.0642140773125,0.8119202769342606,0.04417808024231957,0.043757424374721195,0.006081988653999799,0.034024656391017746,0.9036341642267215
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,808,14608,6620,219.61844240501523,0.8097732887113731,0.044429517945134445,0.044025019572018924,0.005981614875631388,0.03414363367384654,0.9025645776413646
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,1618,14608,6620,270.3874070169404,0.8094447942442904,0.04446786312638684,0.04407440397687222,0.005902352506462538,0.03413929905959847,0.9022962099893244
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,2357,14608,6620,253.9964784909971,0.8138017333708076,0.04395655702600167,0.043509309392893554,0.006254510511111275,0.03389277757929351,0.9047731432343586
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,3333,14608,6620,253.47901416011155,0.810321442931604,0.04436545807254715,0.04393087194116553,0.006194542797967744,0.034144906366636744,0.9029800690729222
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,4321,14608,6620,241.96868206001818,0.8107808904913762,0.04431169353467304,0.043947321409482244,0.005670901589910427,0.034009918663373884,0.9029252270645552
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,5555,14608,6620,223.84953914908692,0.8116890044455193,0.04420523371595807,0.04375941658353896,0.006262279788605034,0.034034310399927756,0.9036720556668957
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,6789,14608,6620,213.1807611635886,0.8136837394239119,0.04397048246773786,0.04355286823582197,0.006045742045338418,0.03387153118589494,0.904655722100085
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,7777,14608,6620,221.80946959368885,0.8132064670395593,0.04402676439028775,0.04359003031091118,0.006185890410583903,0.03385713426713857,0.9044787890997521
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,8888,14608,6620,219.77878351788968,0.8124034158202935,0.04412130146530816,0.0437116749313566,0.005998226211807517,0.03393582027056606,0.9040244170894877
StationMean_Backbone54_k2_c0_0_c1_0,StationMean_Backbone54_k2,9091,14608,6620,208.04879941185936,0.8120081804729897,0.04416775519669181,0.043768624226333284,0.005924367683468626,0.03400233137323957,0.9035786964616839
