config_id,seed,station,cluster,n_train,n_test,r2,rmse,ubrmse,bias,mae,pearson
Guarded_Backbone54_k2_c0_0_c1_0,42,BeaverPass_WA_990,0,8439,626,0.7423949129450769,0.04624402620205121,0.041620915967552345,0.020154635035096645,0.03617394449735601,0.8952729739677908
Guarded_Backbone54_k2_c0_0_c1_0,42,BeaverPass_WA_990,1,3984,0,,,,,,
Guarded_Backbone54_k2_c0_0_c1_0,42,CayusePass_WA,0,8582,1066,0.7020678452897564,0.06555618864590873,0.06478368963795374,0.01003431246629575,0.05235755012417823,0.851863367404172
Guarded_Backbone54_k2_c0_0_c1_0,42,CayusePass_WA,1,3984,15,-12.423949425754476,0.12851409565292496,0.022471505448529785,0.12653420179684954,0.12653420179684954,0.9540447147613808
Guarded_Backbone54_k2_c0_0_c1_0,42,Darrington,0,8576,999,0.7033485845555854,0.05088795037282584,0.04278857381061906,0.027544898700129404,0.04140474639228872,0.9007825993472577
Guarded_Backbone54_k2_c0_0_c1_0,42,Darrington,1,3984,0,,,,,,
Guarded_Backbone54_k2_c0_0_c1_0,42,Paradise_WA,0,8435,1066,0.780425055322218,0.04613816904590226,0.03927073949017279,0.024218580941154186,0.03636431108434697,0.9176938059637719
Guarded_Backbone54_k2_c0_0_c1_0,42,Paradise_WA,1,3984,1,,0.13837325954437255,0.0,0.13837325954437255,0.13837325954437255,
Guarded_Backbone54_k2_c0_0_c1_0,42,Quinault,0,8464,1044,0.5606848053650594,0.046001203518200355,0.04587528443521244,0.003401323729262498,0.036895299216168596,0.8746881505768684
Guarded_Backbone54_k2_c0_0_c1_0,42,Quinault,1,3984,0,,,,,,
Guarded_Backbone54_k2_c0_0_c1_0,42,SourdoughGulch_WA_985,0,4208,0,,,,,,
Guarded_Backbone54_k2_c0_0_c1_0,42,SourdoughGulch_WA_985,1,8209,906,0.37049731914553563,0.06360374402637901,0.057253947794899854,-0.02770237744440043,0.05041009444149651,0.7335872733462641
Guarded_Backbone54_k2_c0_0_c1_0,42,Spokane,0,6393,0,,,,,,
Guarded_Backbone54_k2_c0_0_c1_0,42,Spokane,1,6422,897,0.6066802742664119,0.0720312155026229,0.05679980473327932,0.04429760929267675,0.06192039377567096,0.8949239320107829
