config_id,seed,station,year,r2,rmse,ubrmse,bias,mae,pearson
Guarded_Backbone54_k2_c0_0_c1_0,42,BeaverPass_WA_990,2023,0.7632882961373766,0.050170485308230525,0.04758587260448739,0.015895355439022787,0.03926171547141793,0.9080844890442124
Guarded_Backbone54_k2_c0_0_c1_0,42,BeaverPass_WA_990,2024,0.6875775058840298,0.0407838762181765,0.028748411070361617,0.02892841890441046,0.03268846165974935,0.9195606063658154
Guarded_Backbone54_k2_c0_0_c1_0,42,BeaverPass_WA_990,2025,-7.132299345666484,0.0356393533057389,0.03461018741271917,0.008502848423189581,0.026651645412047703,0.6210763812540995
Guarded_Backbone54_k2_c0_0_c1_0,42,CayusePass_WA,2023,0.5446394098533771,0.08060844788083442,0.06718151509988306,0.04454622204678399,0.06843700518301556,0.8317057798843717
Guarded_Backbone54_k2_c0_0_c1_0,42,CayusePass_WA,2024,0.7140353541692204,0.05957561638614426,0.05530100033834132,0.022159725390171095,0.046214809610869725,0.8756830390596332
Guarded_Backbone54_k2_c0_0_c1_0,42,CayusePass_WA,2025,0.7465693743272277,0.05865536291868708,0.05014429688176314,-0.030430266008638355,0.04614682007587119,0.9198088555741144
Guarded_Backbone54_k2_c0_0_c1_0,42,Darrington,2023,0.7698040124844597,0.0495941631034138,0.03832089464727722,0.031481582669241566,0.040602897195597926,0.9423084206657872
Guarded_Backbone54_k2_c0_0_c1_0,42,Darrington,2024,0.672741235941118,0.040563047826068566,0.03851075376363881,0.012739022470201764,0.03352034331457956,0.8398591867094158
Guarded_Backbone54_k2_c0_0_c1_0,42,Darrington,2025,0.6212389917413741,0.06090260917684763,0.04644552594747973,0.03939468141779842,0.05048223817707544,0.9104143226625773
Guarded_Backbone54_k2_c0_0_c1_0,42,Paradise_WA,2023,0.5325518801409206,0.05891372525025582,0.04290884315891448,0.040369025274662115,0.0489339204002733,0.8827726230357659
Guarded_Backbone54_k2_c0_0_c1_0,42,Paradise_WA,2024,0.8369859435240594,0.03830854621728222,0.03783876793459955,0.005980999454369531,0.03205115885568302,0.9174185632323528
Guarded_Backbone54_k2_c0_0_c1_0,42,Paradise_WA,2025,0.8638784459958149,0.037996380237702916,0.028420161857496563,0.025219423291617877,0.02805645861642001,0.9611762496811919
Guarded_Backbone54_k2_c0_0_c1_0,42,Quinault,2023,0.09972269545625512,0.06161585818936185,0.058077525599216424,0.020579480087794016,0.05405567636615351,0.9204199511666659
Guarded_Backbone54_k2_c0_0_c1_0,42,Quinault,2024,0.3841602630575567,0.04109532376848672,0.040300160255875864,-0.0080450431314862,0.03360840143506877,0.8853544576009823
Guarded_Backbone54_k2_c0_0_c1_0,42,Quinault,2025,0.8038447680477744,0.03220073872903892,0.032196324930482884,-0.0005331375681691718,0.024794655548201667,0.9151703006288112
Guarded_Backbone54_k2_c0_0_c1_0,42,SourdoughGulch_WA_985,2023,-0.09659180735758133,0.07025575656669417,0.05309127428145172,-0.0460129104266428,0.057750070174589545,0.7166893837584806
Guarded_Backbone54_k2_c0_0_c1_0,42,SourdoughGulch_WA_985,2024,0.6892403358782642,0.049065824456034635,0.042419248532450535,-0.024658922999445863,0.03989820806983391,0.8772348439145585
Guarded_Backbone54_k2_c0_0_c1_0,42,SourdoughGulch_WA_985,2025,0.1687115663462796,0.07492638799471442,0.07481286338970945,0.0041229951936858,0.05708586169549398,0.4965496435039875
Guarded_Backbone54_k2_c0_0_c1_0,42,Spokane,2023,0.6494226798847846,0.06757816927113641,0.052022336499101506,0.043133345189222426,0.05704020790761458,0.9172055637094391
Guarded_Backbone54_k2_c0_0_c1_0,42,Spokane,2024,0.6050894883650013,0.07190578791593268,0.056348575434699254,0.04466856145311933,0.06270803897570397,0.8835122079431238
Guarded_Backbone54_k2_c0_0_c1_0,42,Spokane,2025,0.5715808536089987,0.07571469902103041,0.06097329073159968,0.04488845581221349,0.06520896507389723,0.8966688525660074
Guarded_Backbone54_k2_c0_0_c1_0,7,BeaverPass_WA_990,2023,0.7874871271345136,0.04753692195671742,0.04520910295589334,0.014693398485118388,0.03701779994278737,0.9203435620275179
Guarded_Backbone54_k2_c0_0_c1_0,7,BeaverPass_WA_990,2024,0.709605483435775,0.039319823363464644,0.028239035308593584,0.027360654125478525,0.03136993681033452,0.9227450831419918
Guarded_Backbone54_k2_c0_0_c1_0,7,BeaverPass_WA_990,2025,-7.844985163136375,0.0371682138414985,0.03653020409539273,0.00685713562038209,0.02722716549370024,0.5970252124301808
Guarded_Backbone54_k2_c0_0_c1_0,7,CayusePass_WA,2023,0.548389609961488,0.0802758292933989,0.06662642603316238,0.04477865700074604,0.06851020275218146,0.8344921161344403
Guarded_Backbone54_k2_c0_0_c1_0,7,CayusePass_WA,2024,0.7109889787781412,0.05989210463108188,0.055391473361834774,0.02277825445343888,0.04688686507565728,0.8756818354192253
Guarded_Backbone54_k2_c0_0_c1_0,7,CayusePass_WA,2025,0.7464548876522906,0.05866861013224083,0.04998815089787609,-0.03071140805401214,0.04631996886893495,0.9217095397341181
Guarded_Backbone54_k2_c0_0_c1_0,7,Darrington,2023,0.771046896796262,0.04946009639918971,0.037491948333429746,0.03225918390134155,0.04068766162109675,0.943472025875947
Guarded_Backbone54_k2_c0_0_c1_0,7,Darrington,2024,0.681027404604172,0.04004622865019026,0.03676290119046907,0.015880476225955144,0.03341862784913607,0.855536136210609
Guarded_Backbone54_k2_c0_0_c1_0,7,Darrington,2025,0.605448671269984,0.06215914357447043,0.04555270358487214,0.0422931475066636,0.0510930940668626,0.9096437200063002
Guarded_Backbone54_k2_c0_0_c1_0,7,Paradise_WA,2023,0.5413555695079666,0.05835631211364197,0.04246226364213847,0.04003018023804442,0.04841242419660907,0.8857014937118715
Guarded_Backbone54_k2_c0_0_c1_0,7,Paradise_WA,2024,0.8217928097198242,0.0400539872522024,0.03972597443427262,0.005115549828426065,0.03328306845369961,0.9096005597267877
Guarded_Backbone54_k2_c0_0_c1_0,7,Paradise_WA,2025,0.8634374364488299,0.038057881211102144,0.028636988474847302,0.025066416045574295,0.028075867870572493,0.9605757340167903
Guarded_Backbone54_k2_c0_0_c1_0,7,Quinault,2023,0.1330663686614445,0.0604640559268553,0.05722529247482278,0.01952352325521386,0.05282646802870481,0.9200095986164903
Guarded_Backbone54_k2_c0_0_c1_0,7,Quinault,2024,0.40343440892623006,0.04044712455626627,0.039124326139590104,-0.010259482881369027,0.03235433732406585,0.8885391931433559
Guarded_Backbone54_k2_c0_0_c1_0,7,Quinault,2025,0.7998737618284084,0.03252504475990911,0.03247934598665646,-0.0017235489297244297,0.02486004371427827,0.9101772698388022
Guarded_Backbone54_k2_c0_0_c1_0,7,SourdoughGulch_WA_985,2023,-0.10786079637777224,0.07061582115391703,0.05329511124126715,-0.04632737112143269,0.05819461022697083,0.7156941754262782
Guarded_Backbone54_k2_c0_0_c1_0,7,SourdoughGulch_WA_985,2024,0.68930647566168,0.049060602774994674,0.04250000268263935,-0.024509029287620977,0.039975321029541926,0.8768738311796289
Guarded_Backbone54_k2_c0_0_c1_0,7,SourdoughGulch_WA_985,2025,0.16640873286188218,0.07503009668283235,0.07486733254598263,0.004939425643171578,0.05658353683028902,0.49986398038613294
Guarded_Backbone54_k2_c0_0_c1_0,7,Spokane,2023,0.6518149787719482,0.06734720178635242,0.051382743986440556,0.04353687183153583,0.056894052684992216,0.9209412780035644
