,max_depth,min_child_weight,lambda,subsample,colsample_bytree,val_R2_mean,val_R2_std,val_RMSE_mean,val_bias_mean,best_iter_mean
177,3,5,30,1.0,0.6,0.7915617650555077,0.0,0.04904772945842963,0.009259917558968817,337.0
405,4,100,5,0.6,0.6,0.7910689525822306,0.000668174139636684,0.049105614443215935,0.00972441836342023,183.66666666666666
441,5,5,5,0.6,0.6,0.790956184124687,0.001945833104485851,0.049118396728438735,0.009589229834468594,109.33333333333333
387,4,50,30,0.6,0.6,0.7907761732151407,0.002873122971575493,0.04913891372767432,0.010003911145287965,246.33333333333334
429,4,100,30,1.0,0.6,0.7905349906735551,1.1102230246251565e-16,0.04916838650685482,0.009622435136215033,169.0
315,4,5,30,0.6,0.6,0.7903490795356932,0.002216467747624495,0.049189514817052145,0.00984385365564653,274.3333333333333
267,3,100,5,1.0,0.6,0.7902282977522782,0.0,0.04920436884203158,0.009867132693207754,296.0
159,3,5,5,1.0,0.6,0.7901934781302208,0.0,0.04920845234428247,0.009999499232593504,318.0
351,4,20,30,0.6,0.6,0.7900481091585072,0.0027017435273287006,0.04922447496677302,0.010191780452891973,252.0
213,3,20,30,1.0,0.6,0.7899782268713297,1.1102230246251565e-16,0.04923368860921887,0.009787872805227329,317.0
306,4,5,10,0.6,0.6,0.7898408886501427,0.004256429454234618,0.04924725672358355,0.009654402183020465,245.33333333333334
402,4,100,1,1.0,0.6,0.7895959236478914,1.1102230246251565e-16,0.04927847834658502,0.009681632603645464,220.0
297,4,5,5,0.6,0.6,0.7895756113879836,0.002360039365306696,0.04928007917281588,0.009382485817056816,178.0
360,4,50,1,0.6,0.6,0.7894446730043261,0.0019659602869333795,0.04929564849828416,0.009434717757893354,168.33333333333334
462,5,5,30,0.8,0.6,0.7893482524927057,0.001971542475393948,0.04930693464496813,0.010442330416622068,222.66666666666666
558,5,100,10,0.6,0.6,0.7893317270434276,0.0006989165738630294,0.049309339452878354,0.008936727646315624,110.66666666666667
397,4,100,1,0.6,0.8,0.7892992161563659,0.0015109583382704518,0.0493128941150914,0.010262053994957434,175.33333333333334
342,4,20,10,0.6,0.6,0.7892905471368975,0.0025863010026763024,0.049313299734635614,0.009261312874120036,157.66666666666666
324,4,20,1,0.6,0.6,0.7892606571944771,0.0006434666637680877,0.04931766647640876,0.009251998768518175,117.0
240,3,50,10,1.0,0.6,0.7891722816506223,1.1102230246251565e-16,0.04932806373344253,0.009720083017757014,286.0
435,5,5,1,0.8,0.6,0.7890008660606865,0.002897257253032168,0.049346952463574206,0.009045674510961851,78.0
450,5,5,10,0.6,0.6,0.7889504854645537,0.0016771744019533164,0.0493536134041809,0.009811613576379581,107.66666666666667
573,5,100,30,1.0,0.6,0.788938500706291,0.0,0.04935540540918613,0.009681327693881423,126.0
477,5,20,5,0.6,0.6,0.7888819647944009,0.0016677641439021154,0.04936163043037328,0.010197366681279312,126.33333333333333
414,4,100,10,0.6,0.6,0.7888451545909855,0.00398929772965128,0.04936411451147387,0.009145994878106594,139.33333333333334
424,4,100,30,0.6,0.8,0.7888134226137025,0.0012759145998622991,0.04936980186952955,0.0110303667884175,245.66666666666666
468,5,20,1,0.6,0.6,0.7887308223941266,0.0011846618979564675,0.04937948787664018,0.009893313750038754,145.66666666666666
540,5,100,1,0.6,0.6,0.7887234154258719,0.000519004806425449,0.049380509920118464,0.009427219234770585,129.33333333333334
369,4,50,5,0.6,0.6,0.7887170592773117,0.0032182929676279337,0.04937986534916741,0.009610332055630945,184.33333333333334
486,5,20,10,0.6,0.6,0.7886319555794682,0.002061272588280753,0.04939064724303188,0.010070439980017729,109.33333333333333
307,4,5,10,0.6,0.8,0.7885468742103683,0.004109812996648589,0.04939884571974793,0.01002491780577653,229.33333333333334
426,4,100,30,0.8,0.6,0.7884957015077944,0.000896386986848148,0.04940704017496886,0.009940397821194075,209.33333333333334
525,5,50,10,0.8,0.6,0.7884946623138424,0.0012327742146434647,0.04940706232166372,0.009788685146788446,135.0
423,4,100,30,0.6,0.6,0.7884371457648142,0.0024878233868722358,0.04941313750446411,0.010203981778169769,207.66666666666666
186,3,20,1,1.0,0.6,0.7884204162637695,0.0,0.0494159436774789,0.009688368100395315,197.0
288,4,5,1,0.6,0.6,0.7883017796897086,0.0010010465975926813,0.04942965770626457,0.009817493446475164,197.33333333333334
501,5,20,30,1.0,0.6,0.7882901160244163,1.1102230246251565e-16,0.0494311576176377,0.009967126532044577,168.0
541,5,100,1,0.6,0.8,0.7882632626383094,0.002266854041296805,0.049433581502973556,0.009199327079552271,107.33333333333333
378,4,50,10,0.6,0.6,0.7882506115130514,0.0020823965056807974,0.04943517338073696,0.010057827419255231,208.66666666666666
495,5,20,30,0.6,0.6,0.7881353439947144,0.0013604135817293927,0.04944896822227124,0.010316980210783292,208.33333333333334
513,5,50,5,0.6,0.6,0.7881026687157521,0.002334618052469525,0.04945228484267258,0.009810144856357903,129.33333333333334
285,3,100,30,1.0,0.6,0.7880892148274338,1.1102230246251565e-16,0.04945460579993736,0.009452263683268685,274.0
432,5,5,1,0.6,0.6,0.7880714570147539,0.0010931462616074763,0.0494565131593343,0.009761344978852554,134.33333333333334
390,4,50,30,0.8,0.6,0.7880526275205292,0.0018042017159335159,0.04945842822669841,0.009811924022430021,235.0
357,4,20,30,1.0,0.6,0.7879620874436418,0.0,0.04946943773030792,0.008858473181903817,188.0
366,4,50,1,1.0,0.6,0.7877628259415355,0.0,0.04949267659261814,0.009400882583760824,191.0
