regime,rank,feature,mean_abs_SHAP
Dry,1,V_ema_G_API_kobs14,0.010417439974844456
Dry,2,G_rain_sum_30d,0.008473794907331467
Dry,3,API_x_year,0.005194959696382284
Dry,4,C_lag_G_API_kobs1,0.004741474986076355
Dry,5,V_ema_G_API_kobs7,0.004667616914957762
Dry,6,aspect,0.0038646755274385214
Dry,7,V_rollmin_LST_modis_kobs30,0.0025604257825762033
Dry,8,year,0.0024980101734399796
Dry,9,V_ema_LST_modis_kobs30,0.002059882041066885
Dry,10,V_rollmean_LST_modis_kobs30,0.0015651672147214413
Dry,11,DOY,0.0013544700341299176
Dry,12,slope,0.0013148849830031395
Dry,13,C_lag_LST_modis_kobs5,0.0012897240230813622
Dry,14,C_lag_LST_modis_kobs30,0.0012575284345075488
Dry,15,V_rollrng_F_NDMI_kobs30,0.0012536583235487342
Dry,16,SMAP_sm_pm_interp_lag30,0.0012038644636049867
Dry,17,V_rollmax_G_API_kobs7,0.001179784769192338
Dry,18,C_lag_G_API_kobs2,0.0010301379952579737
Dry,19,SMAP_sm_am_interp_rollrange30,0.0009601362398825586
Dry,20,SMAP_x_year,0.0009518641163595021
Dry,21,lia_std_desc_deg,0.0009125575888901949
Dry,22,D_sin_DOY,0.0008002351387403905
Dry,23,V_rollrng_E_SAR_ratio_kobs30,0.000772713334299624
Dry,24,year_frac,0.000756596215069294
Dry,25,V_rollmean_G_API_kobs7,0.0007302312878891826
Dry,26,V_rollcv_G_API_kobs30,0.0007088705315254629
Dry,27,SMAP_sm_pm_interp_rollrange30,0.0006644931272603571
Dry,28,V_rollmax_E_SAR_ratio_kobs30,0.0006538023008033633
Dry,29,V_rollmin_G_API_kobs30,0.0006446181796491146
Dry,30,G_rain_sum_3d,0.0006390988710336387
Transition,1,J_bio_bio05,0.007363730110228062
Transition,2,J_bio_bio09,0.0025541146751493216
Transition,3,V_rollmax_LST_modis_kobs30,0.0022470809053629637
Transition,4,SMAP_x_year,0.0021796708460897207
Transition,5,year,0.0021286141127347946
Transition,6,API_x_year,0.0019636345095932484
Transition,7,G_rain_sum_3d,0.0019060253398492932
Transition,8,A_d_G_API_kobs2,0.0018876079702749848
Transition,9,V_ema_LST_modis_kobs30,0.0016170673770830035
Transition,10,precip_mm,0.0014637750573456287
Transition,11,D_sin_DOY,0.0014210587833076715
Transition,12,DOY,0.0010981467785313725
Transition,13,C_lag_LST_modis_kobs30,0.000927918532397598
Transition,14,J_bio_bio10,0.0007759120780974627
Transition,15,SMAP_sm_pm_interp_rollmean30,0.000757889065425843
Transition,16,slope,0.000739005277864635
Transition,17,elev,0.0007327648927457631
Transition,18,SMAP_sm_pm_interp_lag30,0.0007326605846174061
Transition,19,A_d_G_API_kobs5,0.0006330253672786057
Transition,20,A_d_G_API_kobs14,0.0006061798776499927
Transition,21,V_rollrng_F_NDVI_kobs30,0.0005896532675251365
Transition,22,V_rollmin_s2_b12_kobs30,0.0005628563230857253
Transition,23,V_rollrng_s2_b12_kobs14,0.0005298151518218219
Transition,24,year_frac,0.0005255304276943207
Transition,25,A_d_G_API_kobs7,0.0005126870237290859
Transition,26,V_rollmean_LST_modis_kobs30,0.000501278496813029
Transition,27,A_pct_G_API,0.0004911393625661731
Transition,28,V_rollmean_s2_b11_kobs30,0.0004556892963591963
Transition,29,G_DSLR,0.00044484235695563257
Transition,30,V_rollmin_s2_b11_kobs30,0.0004398705787025392
Wet,1,G_rain_sum_3d,0.0018043456366285682
Wet,2,A_d_G_API_kobs2,0.0016391768585890532
Wet,3,cos_year,0.000983603997156024
Wet,4,V_rollstd_SMAP_sm_interp_kobs14,0.000979168456979096
Wet,5,V_rollrng_SMAP_sm_interp_kobs14,0.0009152641287073493
Wet,6,A_d_LST_modis_kobs30,0.0008795150788500905
Wet,7,A_d_G_API_kobs5,0.0007758759893476963
Wet,8,s1_vv,0.0006989066605456173
Wet,9,G_API,0.00047452590661123395
Wet,10,SMAP_sm_am_interp_rollstd30,0.0004425270017236471
Wet,11,SMAP_sm_pm_interp_rollstd30,0.000421143980929628
Wet,12,precip_mm,0.00041164158028550446
Wet,13,C_lag_G_API_kobs1,0.0004110205336473882
Wet,14,V_rollmax_SMAP_sm_interp_kobs14,0.00040379769052378833
Wet,15,V_rollrng_E_SAR_diff_kobs30,0.00035966350696980953
Wet,16,V_ema_s2_b12_kobs14,0.000358294986654073
Wet,17,V_rollmin_E_SAR_ratio_kobs30,0.00034488766686990857
Wet,18,A_d_G_API_kobs1,0.00034462628536857665
Wet,19,V_rollmin_s2_b11_kobs14,0.00030592395341955125
Wet,20,SMAP_x_year,0.0002706846862565726
Wet,21,V_rollcv_F_NDVI_kobs14,0.0002682303311303258
Wet,22,SMAP_sm_pm_interp_grad7,0.0002578848507255316
Wet,23,C_lag_s2_b11_kobs2,0.00025358516722917557
Wet,24,D_cos_DOY,0.00025116471806541085
Wet,25,V_rollmean_E_SAR_ratio_kobs30,0.0002452526241540909
Wet,26,V_rollstd_E_SAR_diff_kobs30,0.00024120240414049476
Wet,27,A_d_G_API_kobs7,0.00023695315758232027
Wet,28,V_rollcv_E_SAR_diff_kobs30,0.0002335612807655707
Wet,29,C_lag_s2_b11_kobs1,0.00023314317513722926
Wet,30,E_SAR_diff,0.0002250806282972917
