Regime,R2,RMSE,ubRMSE,Bias
Dry,0.9991288945223289,0.0017814936906500659,0.0017814936901600846,-4.178273604487388e-08
Transition,0.9950985679199352,0.0023095668442720155,0.0023095647797795717,-3.0880677347164524e-06
Wet,0.9984382145598604,0.0007677649389940913,0.0007677643534565374,-9.482141455918177e-07
