model_name,cluster,n_train,n_test,r2,rmse,ubrmse,bias,mae,pearson
"Clustering_V0_Full_k2 (Winner c0=0, c1=10)",0,10624,4817,0.8024596525191842,0.04446387751186668,0.04362131563752881,0.008614941987115635,0.03592211636832536,0.9005365766141921
"Clustering_V0_Full_k2 (Winner c0=0, c1=10)",1,3984,1803,0.8440230175443768,0.042050122515125965,0.04204256779972372,0.0007970547928075559,0.027834897141975953,0.9191000306999912
"Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 160 CTX)",0,10624,4817,0.7527265089454707,0.049747150153707315,0.04879382087897091,0.009692367742012488,0.038916264212113555,0.8767662846456798
"Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 160 CTX)",1,3984,1803,0.8171040967580597,0.045534334878634425,0.04516295924928801,0.0058036854400263845,0.02960956038228849,0.9087689011323667
