model_name,strategy_name,candidate_id,pooled_r2,pooled_rmse,pooled_ubrmse,pooled_bias,pooled_mae,pooled_pearson,global_feature_count,cluster_0_additions,cluster_1_additions,cluster_0_feature_count,cluster_1_feature_count,year_2023_r2,year_2024_r2,year_2025_r2,train_time_s
"Clustering_V0_Full_k2 (Winner c0=0, c1=10)",Clustering_V0_Full_k2,Clustering_V0_Full_k2_c0_0_c1_10,0.8149597722232315,0.04381965243544501,0.04333702538939057,0.006485689628907558,0.03371950968175316,0.905594111499078,54,,V_rollmin_F_NDMI_kobs30;V_rollmean_G_API_kobs14;lia_mean_asc_deg;J_bio_bio04;DOY;SMAP_sm_am_interp;J_bio_bio07;SMAP_sm_am_interp_lag1;C_lag_F_NDMI_kobs30;SMAP_sm_pm_interp_lag1,54,64,0.8229703334313689,0.7832562647487351,0.8302894601184518,2.3526250403374434
Global Single Model (54 Backbone),Global_Single,Global_Single_54_Backbone,0.7792302313632956,0.047863632203734,0.04668684567603644,0.010548257133587516,0.0370592410065909,0.8894318695766398,54,,,54,54,0.7507480683026232,0.7700773425497185,0.8135820861796677,4.311068778857589
"Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 160 CTX)",Clustering_V0_Full_k2,Clustering_V0_Full_k2_c0_0_c1_10_160_CTX,0.7720483015769093,0.04863593479684582,0.04786356628776106,0.008633259858254036,0.0363815229726612,0.886388844763541,214,,V_rollmin_F_NDMI_kobs30;V_rollmean_G_API_kobs14;lia_mean_asc_deg;J_bio_bio04;DOY;SMAP_sm_am_interp;J_bio_bio07;SMAP_sm_am_interp_lag1;C_lag_F_NDMI_kobs30;SMAP_sm_pm_interp_lag1,214,224,0.7530585339346548,0.7571310883711818,0.8007826277698613,2.3291261550039053
Global Single Model (54 Backbone + 160 CTX),Global_Single,Global_Single_54_Backbone_160_CTX,0.7601170346308741,0.049892533290659326,0.04894398630201608,0.00968251429266237,0.037290842675234206,0.8807243339825976,214,,,214,214,0.7551450510465757,0.7433294336227547,0.7740100074504074,1.6690041488036513
