station_id,n,share_c0,share_c1,dominant_cluster,purity,longitude,latitude,n_test,share_c0_test,share_c1_test,dominant_cluster_test,purity_test
Quinault,2160,0.2583,0.7417,1,0.7417,-123.81,47.51,1044,0.2931,0.7069,1,0.7069
Darrington,2048,0.3325,0.6675,1,0.6675,-121.45,48.54,999,0.3934,0.6066,1,0.6066
Paradise_WA,2189,0.3664,0.6336,1,0.6336,-121.74767,46.78266,1067,0.3852,0.6148,1,0.6148
BeaverPass_WA_990,2185,0.4247,0.5753,1,0.5753,-121.2555,48.8793,626,0.4201,0.5799,1,0.5799
CayusePass_WA,2042,0.5054,0.4946,0,0.5054,-121.53434,46.86956,1081,0.4838,0.5162,1,0.5162
SourdoughGulch_WA_985,2191,0.7275,0.2725,0,0.7275,-117.4,46.233333,906,0.8422,0.1578,0,0.8422
Spokane,1793,0.9532,0.0468,0,0.9532,-117.53,47.42,897,0.9521,0.0479,0,0.9521
