station_id,cluster,annual_mean_T_C,annual_precip_P_mm,driest_month_precip_mm,precip_seasonality_BIO15,PET_thornthwaite_mm,aridity_index_P_over_PET,AI_class,de_martonne_P_over_Tplus10,DMI_class,longitude
Quinault,0,9.4,3349.0,60.0,62.0,542.2,6.177,humid,172.63,very humid,-123.81
Paradise_WA,0,3.5,2728.0,45.0,61.0,402.0,6.786,humid,202.07,very humid,-121.7477
CayusePass_WA,0,3.4,2435.0,41.0,61.0,402.6,6.048,humid,181.72,very humid,-121.5343
Darrington,0,9.8,2015.0,44.0,60.0,567.5,3.551,humid,101.77,very humid,-121.45
BeaverPass_WA_990,0,4.3,1269.0,39.0,55.0,441.1,2.877,humid,88.74,very humid,-121.2555
SourdoughGulch_WA_985,1,7.4,569.0,19.0,34.0,545.8,1.043,humid,32.7,humid,-117.4
Spokane,1,8.4,432.0,16.0,37.0,573.0,0.754,sub-humid,23.48,sub-humid,-117.53
