station_id,n,share_c0,share_c1,dominant_cluster,purity,longitude,latitude,n_test,share_c0_test,share_c1_test,dominant_cluster_test,purity_test
CayusePass_WA,2042,0.4736,0.5264,1,0.5264,-121.53434,46.86956,1081,0.4968,0.5032,1,0.5032
BeaverPass_WA_990,2185,0.503,0.497,0,0.503,-121.2555,48.8793,626,0.4601,0.5399,1,0.5399
Paradise_WA,2189,0.5034,0.4966,0,0.5034,-121.74767,46.78266,1067,0.4902,0.5098,1,0.5098
Quinault,2160,0.5037,0.4963,0,0.5037,-123.81,47.51,1044,0.523,0.477,0,0.523
SourdoughGulch_WA_985,2191,0.5039,0.4961,0,0.5039,-117.4,46.233333,906,0.4669,0.5331,1,0.5331
Darrington,2048,0.5371,0.4629,0,0.5371,-121.45,48.54,999,0.5506,0.4494,0,0.5506
Spokane,1793,0.6129,0.3871,0,0.6129,-117.53,47.42,897,0.6109,0.3891,0,0.6109
