station_id,n,share_c0,share_c1,dominant_cluster,purity,longitude,latitude,n_test,share_c0_test,share_c1_test,dominant_cluster_test,purity_test
BeaverPass_WA_990,2185,0.1341,0.8659,1,0.8659,-121.2555,48.8793,626,0.0895,0.9105,1,0.9105
Quinault,2160,0.2495,0.7505,1,0.7505,-123.81,47.51,1044,0.2308,0.7692,1,0.7692
SourdoughGulch_WA_985,2191,0.2907,0.7093,1,0.7093,-117.4,46.233333,906,0.234,0.766,1,0.766
Darrington,2048,0.2998,0.7002,1,0.7002,-121.45,48.54,999,0.3263,0.6737,1,0.6737
Paradise_WA,2189,0.3038,0.6962,1,0.6962,-121.74767,46.78266,1067,0.2755,0.7245,1,0.7245
CayusePass_WA,2042,0.308,0.692,1,0.692,-121.53434,46.86956,1081,0.3302,0.6698,1,0.6698
Spokane,1793,0.4484,0.5516,1,0.5516,-117.53,47.42,897,0.5017,0.4983,0,0.5017
