feature,median_cluster0,median_cluster1,rank_biserial_r
V_ema_LST_modis_kobs30,292.4673,274.1565,0.9
V_rollmax_G_API_kobs7,19.9743,101.3853,-0.842
V_ema_G_API_kobs30,18.1371,82.2554,-0.824
V_rollmin_G_API_kobs14,8.4994,48.6017,-0.808
V_rollmax_G_API_kobs30,33.1763,144.7298,-0.808
V_rollrng_G_API_kobs30,25.5925,98.823,-0.773
F_MSI,0.5477,0.3611,0.528
s2_b11,0.1522,0.0912,0.52
V_rollmin_s2_b12_kobs30,0.0663,0.0423,0.494
V_rollmean_F_NDMI_kobs30,0.3017,0.4522,-0.485
C_lag_F_NDMI_kobs30,0.3032,0.4035,-0.391
D_sa_LST_modis,2.5397,-0.5705,0.328
A_grad_LST_modis_kobs30,0.0791,-0.0689,0.321
A_d_LST_modis_kobs30,2.3737,-2.0673,0.321
J_clay_wfrac_b100,18.0,9.0,0.294
V_ema_F_NDVI_kobs30,0.4497,0.3301,0.257
V_rollrng_E_SAR_ratio_kobs30,0.4019,0.6348,-0.246
J_bio_bio02,100.0,97.0,0.242
J_bio_bio15,55.0,61.0,-0.238
K_aspect_cos,-0.7986,-0.5,-0.231
D_z_E_SAR_ratio,0.106,-0.0311,0.202
D_sa_F_NDMI,-0.038,-0.005,-0.177
A_d_LST_modis_kobs14,0.6567,-0.6153,0.16
A_grad_LST_modis_kobs14,0.0469,-0.044,0.16
C_lag_F_NDVI_kobs30,0.4409,0.372,0.158
lia_std_asc_deg,4.6217,4.5682,0.139
A_d_E_SAR_diff_kobs30,0.0006,-0.0015,0.138
A_grad_E_SAR_diff_kobs30,0.0,-0.0,0.138
A_grad_SMAP_sm_interp_kobs30,-0.0,-0.0002,0.12
slope,18.1494,18.1494,-0.12
A_d_SMAP_sm_interp_kobs30,-0.0008,-0.0074,0.12
SMAP_sm_pm_interp_rollrange30,0.0583,0.0667,-0.116
latitude,47.42,47.51,-0.102
V_rollrng_LST_modis_kobs30,7.1653,7.7847,-0.086
V_ema_SMAP_sm_interp_kobs30,0.3274,0.2898,-0.076
V_rollmax_E_SAR_ratio_kobs30,4.8664,5.5172,-0.073
aspect,170.818,170.818,-0.069
V_rollrng_F_NDVI_kobs30,0.1733,0.1424,0.06
A_d_s2_b11_kobs30,0.0004,-0.0037,0.057
A_grad_s2_b11_kobs30,0.0,-0.0001,0.057
SMAP_x_year,0.21,0.2573,-0.051
V_rollrng_F_NDVI_kobs14,0.0779,0.0708,0.049
SMAP_sm_pm_interp_lag30,0.3568,0.3264,-0.045
V_rollmax_E_SAR_ratio_kobs7,4.7369,5.1292,-0.041
s2_b8,0.2426,0.2532,-0.036
A_d_SMAP_sm_interp_kobs5,0.0,0.0,0.028
E_SAR_ratio,4.6742,4.9983,-0.021
K_aspect_sin,0.4848,0.6018,0.013
SMAP_sm_pm_interp_rollmean30,0.3753,0.3116,-0.012
J_aspect_deg,151.0,143.0,0.009
