date,station_id,latitude,longitude,soil_moisture_5cm,LST_modis,NDVI_modis,s1_vv,s1_vh,s1_vv_dB,s1_vh_dB,s2_b2,s2_b3,s2_b4,s2_b8,s2_b11,s2_b12,elev,slope,aspect,SMAP_sm_am,SMAP_sm_pm,SMAP_qual_am,SMAP_qual_pm,rain_mm,precip_mm,precip_mm_mask,elev_mask,slope_mask,aspect_mask,LST_modis_interp,LST_modis_mask,NDVI_modis_mask,s1_vv_interp,s1_vv_mask,s1_vh_interp,s1_vh_mask,s2_b2_interp,s2_b2_mask,s2_b3_interp,s2_b3_mask,s2_b4_interp,s2_b4_mask,s2_b8_interp,s2_b8_mask,s2_b11_interp,s2_b11_mask,s2_b12_interp,s2_b12_mask,SMAP_sm_am_mask,SMAP_sm_pm_mask,NDVI_modis_smooth,DOY,rain_3d,SM_prev,NDVI,NDMI,MSI,SAR_ratio,SAR_diff,slope_norm,SMAP_prev,NDVI_mask,NDMI_mask,MSI_mask,SAR_ratio_mask,SAR_diff_mask,SMAP_prev_mask
2025-03-18,BACKYARD_SENSOR,47.488677,-122.144624,,286.0038408896493,,0.1350660422903144,0.025706462637133175,-8.694538256609693,-15.899576807615652,0.06023013505533969,0.07274595282041385,0.07136152393069382,0.17154285534185348,0.12833482762956167,0.0928742841167461,141.6207565120927,3.292652422465159,185.68251209177677,,,1.0,1.0,0.7,1.3,1,1,1,1,286.0038408896493,1,0,0.1350660422903144,1,0.025706462637133175,1,0.06023013505533969,0,0.07274595282041385,0,0.07136152393069382,0,0.17154285534185348,0,0.12833482762956167,0,0.0928742841167461,0,0,0,-0.0,77,0.7,,0.4124311455856984,0.14408550607752454,0.7481210883065568,5.254166790541244,0.10935957965318123,0.036585026916279545,,1,1,1,1,1,0
2025-03-19,BACKYARD_SENSOR,47.488677,-122.144624,,286.0038408896493,,0.1350660422903144,0.025706462637133175,-8.694538256609693,-15.899576807615652,0.06023013505533969,0.07274595282041385,0.07136152393069382,0.17154285534185348,0.12833482762956167,0.0928742841167461,141.6207565120927,3.292652422465159,185.68251209177677,,,1.0,1.0,1.7000000000000002,1.7000000000000002,1,1,1,1,286.0038408896493,1,0,0.1350660422903144,1,0.025706462637133175,1,0.06023013505533969,0,0.07274595282041385,0,0.07136152393069382,0,0.17154285534185348,0,0.12833482762956167,0,0.0928742841167461,0,0,0,-0.0,78,2.4000000000000004,,0.4124311455856984,0.14408550607752454,0.7481210883065568,5.254166790541244,0.10935957965318123,0.036585026916279545,,1,1,1,1,1,0
2025-03-20,BACKYARD_SENSOR,47.488677,-122.144624,,286.0038408896493,,0.1350660422903144,0.025706462637133175,-8.694538256609693,-15.899576807615652,0.06023013505533969,0.07274595282041385,0.07136152393069382,0.17154285534185348,0.12833482762956167,0.0928742841167461,141.6207565120927,3.292652422465159,185.68251209177677,,,1.0,1.0,8.1,8.1,1,1,1,1,286.0038408896493,1,0,0.1350660422903144,1,0.025706462637133175,1,0.06023013505533969,0,0.07274595282041385,0,0.07136152393069382,0,0.17154285534185348,0,0.12833482762956167,0,0.0928742841167461,0,0,0,-0.0,79,10.5,,0.4124311455856984,0.14408550607752454,0.7481210883065568,5.254166790541244,0.10935957965318123,0.036585026916279545,,1,1,1,1,1,0
2025-03-21,BACKYARD_SENSOR,47.488677,-122.144624,,286.0038408896493,,0.1350660422903144,0.025706462637133175,-8.694538256609693,-15.899576807615652,0.06023013505533969,0.07274595282041385,0.07136152393069382,0.17154285534185348,0.12833482762956167,0.0928742841167461,141.6207565120927,3.292652422465159,185.68251209177677,,,1.0,1.0,5.0,5.0,1,1,1,1,286.0038408896493,1,0,0.1350660422903144,1,0.025706462637133175,1,0.06023013505533969,0,0.07274595282041385,0,0.07136152393069382,0,0.17154285534185348,0,0.12833482762956167,0,0.0928742841167461,0,0,0,-0.0,80,14.8,,0.4124311455856984,0.14408550607752454,0.7481210883065568,5.254166790541244,0.10935957965318123,0.036585026916279545,,1,1,1,1,1,0
2025-03-22,BACKYARD_SENSOR,47.488677,-122.144624,,286.0038408896493,,0.1350660422903144,0.025706462637133175,-8.694538256609693,-15.899576807615652,0.06023013505533969,0.07274595282041385,0.07136152393069382,0.17154285534185348,0.12833482762956167,0.0928742841167461,141.6207565120927,3.292652422465159,185.68251209177677,,,1.0,1.0,1.0,1.0,1,1,1,1,286.0038408896493,1,0,0.1350660422903144,1,0.025706462637133175,1,0.06023013505533969,0,0.07274595282041385,0,0.07136152393069382,0,0.17154285534185348,0,0.12833482762956167,0,0.0928742841167461,0,0,0,-0.0,81,14.1,,0.4124311455856984,0.14408550607752454,0.7481210883065568,5.254166790541244,0.10935957965318123,0.036585026916279545,,1,1,1,1,1,0
2025-03-23,BACKYARD_SENSOR,47.488677,-122.144624,,286.0038408896493,,0.1350660422903144,0.025706462637133175,-8.694538256609693,-15.899576807615652,0.06023013505533969,0.07274595282041385,0.07136152393069382,0.17154285534185348,0.12833482762956167,0.0928742841167461,141.6207565120927,3.292652422465159,185.68251209177677,,,1.0,1.0,27.599999999999998,27.599999999999998,1,1,1,1,286.0038408896493,1,0,0.1350660422903144,1,0.025706462637133175,1,0.06023013505533969,0,0.07274595282041385,0,0.07136152393069382,0,0.17154285534185348,0,0.12833482762956167,0,0.0928742841167461,0,0,0,-0.0,82,33.599999999999994,,0.4124311455856984,0.14408550607752454,0.7481210883065568,5.254166790541244,0.10935957965318123,0.036585026916279545,,1,1,1,1,1,0
2025-03-24,BACKYARD_SENSOR,47.488677,-122.144624,,292.1206159110351,,0.12462411741032317,0.023966275193782034,-9.04397904348763,-16.203994581852697,0.06023013505533969,0.07274595282041385,0.07136152393069382,0.17154285534185348,0.12833482762956167,0.0928742841167461,141.6207565120927,3.292652422465159,185.68251209177677,,,1.0,1.0,9.9,9.9,1,1,1,1,292.1206159110351,1,0,0.12462411741032317,1,0.023966275193782034,1,0.06023013505533969,0,0.07274595282041385,0,0.07136152393069382,0,0.17154285534185348,0,0.12833482762956167,0,0.0928742841167461,0,0,0,-0.0,83,38.5,,0.4124311455856984,0.14408550607752454,0.7481210883065568,5.199978569997246,0.10065784221654114,0.036585026916279545,,1,1,1,1,1,0
2025-03-25,BACKYARD_SENSOR,47.488677,-122.144624,,292.1206159110351,,0.12462411741032317,0.023966275193782034,-9.04397904348763,-16.203994581852697,0.06023013505533969,0.07274595282041385,0.07136152393069382,0.17154285534185348,0.12833482762956167,0.0928742841167461,141.6207565120927,3.292652422465159,185.68251209177677,,,1.0,1.0,3.8,3.8,1,1,1,1,292.1206159110351,1,0,0.12462411741032317,1,0.023966275193782034,1,0.06023013505533969,0,0.07274595282041385,0,0.07136152393069382,0,0.17154285534185348,0,0.12833482762956167,0,0.0928742841167461,0,0,0,-0.0,84,41.3,,0.4124311455856984,0.14408550607752454,0.7481210883065568,5.199978569997246,0.10065784221654114,0.036585026916279545,,1,1,1,1,1,0
2025-03-26,BACKYARD_SENSOR,47.488677,-122.144624,,292.1206159110351,,0.12462411741032317,0.023966275193782034,-9.04397904348763,-16.203994581852697,0.06023013505533969,0.07274595282041385,0.07136152393069382,0.17154285534185348,0.12833482762956167,0.0928742841167461,141.6207565120927,3.292652422465159,185.68251209177677,,,1.0,1.0,6.1,6.1,1,1,1,1,292.1206159110351,1,0,0.12462411741032317,1,0.023966275193782034,1,0.06023013505533969,0,0.07274595282041385,0,0.07136152393069382,0,0.17154285534185348,0,0.12833482762956167,0,0.0928742841167461,0,0,0,-0.0,85,19.8,,0.4124311455856984,0.14408550607752454,0.7481210883065568,5.199978569997246,0.10065784221654114,0.036585026916279545,,1,1,1,1,1,0
2025-03-27,BACKYARD_SENSOR,47.488677,-122.144624,,292.1206159110351,,0.12462411741032317,0.023966275193782034,-9.04397904348763,-16.203994581852697,0.06023013505533969,0.07274595282041385,0.07136152393069382,0.17154285534185348,0.12833482762956167,0.0928742841167461,141.6207565120927,3.292652422465159,185.68251209177677,,,1.0,1.0,5.9,5.9,1,1,1,1,292.1206159110351,1,0,0.12462411741032317,1,0.023966275193782034,1,0.06023013505533969,0,0.07274595282041385,0,0.07136152393069382,0,0.17154285534185348,0,0.12833482762956167,0,0.0928742841167461,0,0,0,-0.0,86,15.8,,0.4124311455856984,0.14408550607752454,0.7481210883065568,5.199978569997246,0.10065784221654114,0.036585026916279545,,1,1,1,1,1,0
