split,MAE,RMSE,R2
train,0.0183389720683368,0.02521702618397979,0.9506360872441277
val,0.03526070977721561,0.045610168326309604,0.8128321188707354
test,0.06801073650265238,0.07931037898888536,-0.07390878228796782
