split,MAE,RMSE,R2
train,0.017752516700149976,0.024585405551207907,0.9408126811050095
val,0.04436918151817428,0.05973058032823618,0.6805817742728798
test,0.04346160535970345,0.057165716953705495,0.6539878156297338
