n_features,candidate_ucb,fold_id,fold_family,validation_year,held_out_stations,beta,n_train,n_validation,rmse,nrmse
100,0.6134423868061931,year_2019_stations_0_beta_0,station_time,2019,['SourdoughGulch_WA_985'],0.0,2717,365,0.06558571154823095,0.8066200526180849
100,0.6134423868061931,year_2019_stations_0_beta_0.2,station_time,2019,['SourdoughGulch_WA_985'],0.2,2717,365,0.06289965561870603,0.7735850130635441
100,0.6134423868061931,year_2019_stations_1_beta_0,station_time,2019,['Quinault'],0.0,2730,364,0.03758205904689498,0.8540549318477815
100,0.6134423868061931,year_2019_stations_1_beta_0.2,station_time,2019,['Quinault'],0.2,2730,364,0.04035310741444225,0.9170272006566672
100,0.6134423868061931,year_2019_stations_2_beta_0,station_time,2019,['Darrington'],0.0,2757,324,0.0488728836281935,0.5852843343025887
100,0.6134423868061931,year_2019_stations_2_beta_0.2,station_time,2019,['Darrington'],0.2,2757,324,0.05176521107313832,0.6199218227732523
100,0.6134423868061931,year_2019_stations_3_beta_0,station_time,2019,"['Spokane', 'Touchet_WA_824']",0.0,2137,639,0.06963094129517554,0.7946368594559287
100,0.6134423868061931,year_2019_stations_3_beta_0.2,station_time,2019,"['Spokane', 'Touchet_WA_824']",0.2,2137,639,0.07428590784080172,0.8477599097534706
100,0.6134423868061931,year_2020_stations_0_beta_0,station_time,2020,['SourdoughGulch_WA_985'],0.0,4044,366,0.08493408525918882,0.9733537686290775
100,0.6134423868061931,year_2020_stations_0_beta_0.2,station_time,2020,['SourdoughGulch_WA_985'],0.2,4044,366,0.0825311965410043,0.945816405009939
100,0.6134423868061931,year_2020_stations_1_beta_0,station_time,2020,['Quinault'],0.0,4058,366,0.02619444086156596,0.4436684986102076
100,0.6134423868061931,year_2020_stations_1_beta_0.2,station_time,2020,['Quinault'],0.2,4058,366,0.026486496273645275,0.44861518889739505
100,0.6134423868061931,year_2020_stations_2_beta_0,station_time,2020,['Darrington'],0.0,4125,363,0.05106910608345172,0.5751988659301323
