Year,Model ID,Configuration,R2,RMSE,ubRMSE,Bias,MAE,Med|Err|,Pearson
2023,0,"w/o Drift, Old Feats, Old HParams",0.8049777078506166,0.04182307492166002,0.04174704803051118,-0.002520630207106962,0.030733903491289887,0.023562293589115144,0.9001540020904404
2024,0,"w/o Drift, Old Feats, Old HParams",0.8401563628452684,0.03570851608408248,0.03563434592773748,0.0023003285046958796,0.027528719380328255,0.02263179981708527,0.9169622106542692
2025,0,"w/o Drift, Old Feats, Old HParams",0.7905609277425321,0.04494583754843244,0.04316262053688769,-0.012534612132759443,0.032282186735264354,0.02330234432220459,0.8995692916994904
2023,1,"w/o Drift, Old Feats, New HParams",0.8085742950670438,0.0414356312229458,0.041434318036559496,0.000329884357314919,0.029370840172961616,0.020576989382505413,0.9013176680937834
2024,1,"w/o Drift, Old Feats, New HParams",0.8274653915607965,0.037099002920522275,0.03707267873883137,0.0013973220188347826,0.02797679029673597,0.021681279182434066,0.9097958061228423
2025,1,"w/o Drift, Old Feats, New HParams",0.8266252873812135,0.04089342650931229,0.0397874063433498,-0.009446408213797126,0.028565187338381037,0.02001944172382355,0.9165544304239981
2023,2,"w/o Drift, New Feats, Old HParams",0.7612360489948753,0.04627625548534129,0.045990481383776836,0.005134923936443121,0.032702411295019246,0.021971352010965353,0.8848151662866903
2024,2,"w/o Drift, New Feats, Old HParams",0.8071766371524804,0.03921967158293459,0.038940462509998705,0.004671511380766671,0.02999138859040132,0.02274076414108278,0.9029935634895568
2025,2,"w/o Drift, New Feats, Old HParams",0.8009609411948229,0.04381570255647898,0.042323673024238166,-0.011336776096193015,0.03105000391050094,0.0229444637298584,0.9028588534604418
2023,3,"w/o Drift, New Feats, New HParams",0.7862525002889941,0.04378489910784958,0.043323327482924855,0.006340874205645042,0.03033440698793902,0.01955031228065492,0.8962583177450804
2024,3,"w/o Drift, New Feats, New HParams",0.7719233880361767,0.04265446536099744,0.042217024314208054,0.006093133289703809,0.03217944383461525,0.022507239818573,0.8890547923490346
2025,3,"w/o Drift, New Feats, New HParams",0.7924917143404457,0.044738183475469644,0.043013784322690145,-0.012301195833165208,0.03169052207175947,0.023407949924468985,0.8990400821209082
2023,4,"w/ Drift, Old Feats, Old HParams",0.8019297463185353,0.042148629775649184,0.042148338316437224,-0.00015674542382618207,0.029538986462269917,0.021001483559608472,0.8994274673129908
2024,4,"w/ Drift, Old Feats, Old HParams",0.8414477239221557,0.035563980769759564,0.03554122076712748,0.0012721456575936632,0.026499157333326116,0.020618466377258282,0.9175697433966173
2025,4,"w/ Drift, Old Feats, Old HParams",0.809714789391044,0.04284134950363938,0.04114124326956934,-0.011949030484817479,0.029671206636901117,0.02017991209030151,0.9094742139525768
2023,5,"w/ Drift, Old Feats, New HParams",0.8145673323577849,0.04078185298579046,0.04077563098505763,0.0007123557573528669,0.028785538364219435,0.020814070940017707,0.905708516771957
2024,5,"w/ Drift, Old Feats, New HParams",0.8328994220041899,0.03651010671614355,0.03649901888867657,0.000899729174930461,0.02723842505229374,0.020576854944229117,0.912753777149224
2025,5,"w/ Drift, Old Feats, New HParams",0.8248562532266523,0.041101525680710835,0.039716512874763646,-0.010579887445094383,0.028536488506133915,0.019816646099090562,0.9164082270010241
2023,6,"w/ Drift, New Feats, Old HParams",0.7823711852632876,0.044180642775593255,0.043552827262224314,0.007421619333503373,0.0303203056607672,0.019790265560150136,0.8970866531368811
2024,6,"w/ Drift, New Feats, Old HParams",0.7856017180387551,0.04135564291487948,0.04099680781041359,0.005436078573662566,0.031197098575577346,0.021643605947494506,0.8958656949317058
2025,6,"w/ Drift, New Feats, Old HParams",0.7906904698518834,0.0449319354643281,0.043463996648169266,-0.01139121678919667,0.03133090392098886,0.023147585868835474,0.8969070839703945
2023,7,"w/ Drift, New Feats, New HParams",0.778738846057075,0.044547816101430424,0.04420296380208098,0.005532260886724528,0.030763419358980786,0.019482041239738457,0.8943600372643997
2024,7,"w/ Drift, New Feats, New HParams",0.7758754891921864,0.042283293102893214,0.04200083393173875,0.004879223776757919,0.031675765825691274,0.021705752730369565,0.8905315358366634
2025,7,"w/ Drift, New Feats, New HParams",0.7919919434255327,0.04479202565466203,0.043322503496560895,-0.011379202653893233,0.03112049608792022,0.023037078499794,0.8975122040177563
