Model ID,Configuration,Features,Weighted,R2,RMSE,ubRMSE,Bias,MAE,Med|Err|,Pearson,Train Time (s)
0,"w/o Drift, Old Feats, Old HParams",OLD,False,0.8130402147221905,0.040715315611893205,0.04053166935697982,-0.003862732777780152,0.030026944367786447,0.02304077571630478,0.9026593252928401,33.91508479999902
1,"w/o Drift, Old Feats, New HParams",OLD,False,0.8222217274633208,0.03970297463455669,0.03963435601518581,-0.002333241970682761,0.028600416348690535,0.02083990734815598,0.9071059676381302,8.83997889999955
2,"w/o Drift, New Feats, Old HParams",NEW,False,0.7916026586994835,0.042986272984825935,0.04298583987364492,-0.00019296497955502727,0.031177353281987855,0.022443157434463498,0.892229949275827,34.817079500000546
3,"w/o Drift, New Feats, New HParams",NEW,False,0.7849052713432982,0.04367154826021656,0.043669587378497965,0.00041384252579326145,0.03144478464542157,0.021859803915023804,0.8896267866172262,9.14173049999954
4,"w/ Drift, Old Feats, Old HParams",OLD,True,0.8190217718219329,0.040058701851845374,0.03992117774368581,-0.0033164983962131927,0.028450275274520494,0.02056684124469756,0.905894804019195,21.35426870000083
5,"w/ Drift, Old Feats, New HParams",OLD,True,0.8253479076167946,0.03935234362596406,0.039255968315083746,-0.0027524353763704514,0.028132426848701868,0.020375350356101996,0.9090412229945709,8.367988699999842
6,"w/ Drift, New Feats, Old HParams",NEW,True,0.7876292078624948,0.04339414130288933,0.04338685669079415,0.0007950886162035026,0.03096258002204962,0.021262449711561195,0.8914164149081582,18.256914600002347
7,"w/ Drift, New Feats, New HParams",NEW,True,0.7836610207104218,0.043797678723984164,0.04379767856185569,-3.768514604325673e-06,0.03121436027608129,0.021436311006546027,0.8895175502846925,9.462900899998203
