station_id,input_abs_mean,projected_norm_mean,recurrent_norm_mean,final_hidden_norm,embedding_norm,embedding_ood_score
Darrington,0.6682102070012206,6.863473500506673,1.828022708218656,2.0620589534318605,7.910883344486894,1.0171779274817467
Quinault,0.8822016023113833,6.882764974461303,2.0648944592337544,2.3361771349980707,7.915813946401127,0.9041979466231694
SourdoughGulch_WA_985,0.7163675462633832,6.894121143202119,2.1004082134227877,2.4183857892259595,7.906095166869511,1.007016659769791
Spokane,0.8157542608282501,6.88877404707241,2.110138313970149,2.4100326607894447,7.910115124906249,0.9882431489799212
Touchet_WA_824,0.7119545124471187,6.864976331591606,1.924241554737091,2.23471909314394,7.900461408495903,1.0214684303849937
