n_features,candidate_ucb,fold_id,fold_family,validation_year,held_out_stations,beta,n_train,n_validation,rmse,nrmse
55,0.7773572863185888,year_2019_stations_0_beta_0,station_time,2019,['SourdoughGulch_WA_985'],0.0,580,365,0.0767481262995268,0.9439034236677966
55,0.7773572863185888,year_2019_stations_0_beta_0.2,station_time,2019,['SourdoughGulch_WA_985'],0.2,580,365,0.07984357041851109,0.9819734123770796
55,0.7773572863185888,year_2019_stations_1_beta_0,station_time,2019,['Spokane'],0.0,730,274,0.07792380805269607,0.823599699090979
55,0.7773572863185888,year_2019_stations_1_beta_0.2,station_time,2019,['Spokane'],0.2,730,274,0.08385293861800211,0.8862664279314751
55,0.7773572863185888,year_2020_stations_0_beta_0,station_time,2020,['SourdoughGulch_WA_985'],0.0,854,366,0.08755579429574431,1.0033988366744075
55,0.7773572863185888,year_2020_stations_0_beta_0.2,station_time,2020,['SourdoughGulch_WA_985'],0.2,854,366,0.08772245233321004,1.0053087557409939
55,0.7773572863185888,year_2020_stations_1_beta_0,station_time,2020,['Spokane'],0.0,1095,332,0.0675459506988749,0.6650956358954725
55,0.7773572863185888,year_2020_stations_1_beta_0.2,station_time,2020,['Spokane'],0.2,1095,332,0.06742531743872864,0.6639078125835347
55,0.7773572863185888,year_2021_stations_0_beta_0,station_time,2021,['SourdoughGulch_WA_985'],0.0,1186,365,0.049602731541558746,0.45202687465006275
55,0.7773572863185888,year_2021_stations_0_beta_0.2,station_time,2021,['SourdoughGulch_WA_985'],0.2,1186,365,0.0507785479518045,0.4627420227995217
55,0.7773572863185888,year_2021_stations_1_beta_0,station_time,2021,['Spokane'],0.0,1461,330,0.07641863235700659,0.7480174157241372
55,0.7773572863185888,year_2021_stations_1_beta_0.2,station_time,2021,['Spokane'],0.2,1461,330,0.0714118738114778,0.6990091768579282
55,0.7773572863185888,year_2022_stations_0_beta_0,station_time,2022,['SourdoughGulch_WA_985'],0.0,1516,365,0.05150317408393384,0.5351407970430372
55,0.7773572863185888,year_2022_stations_0_beta_0.2,station_time,2022,['SourdoughGulch_WA_985'],0.2,1516,365,0.04874417372783055,0.5064735609771398
55,0.7773572863185888,year_2022_stations_1_beta_0,station_time,2022,['Spokane'],0.0,1826,277,0.07001677259631243,0.6312371214552303
55,0.7773572863185888,year_2022_stations_1_beta_0.2,station_time,2022,['Spokane'],0.2,1826,277,0.07330753073942507,0.6609049941753902
50,0.7694925885781088,year_2019_stations_0_beta_0,station_time,2019,['SourdoughGulch_WA_985'],0.0,580,365,0.07927027048720704,0.9749225592287633
50,0.7694925885781088,year_2019_stations_0_beta_0.2,station_time,2019,['SourdoughGulch_WA_985'],0.2,580,365,0.08062976075185259,0.9916425441601723
50,0.7694925885781088,year_2019_stations_1_beta_0,station_time,2019,['Spokane'],0.0,730,274,0.07666514406563009,0.8102965083600644
50,0.7694925885781088,year_2019_stations_1_beta_0.2,station_time,2019,['Spokane'],0.2,730,274,0.07341523348200656,0.7759472453346375
