model,station_id,period,n_obs,target_mean,target_std,target_var,pred_mean,pred_std,bias,mae,rmse,ubrmse,pearson_r,r2,r2_classification
Clustering_V0_Full_k2,CayusePass_WA,2025-07-20 to 2025-08-19,31,0.04329032258064517,0.02462815942288704,0.0006065462365591397,0.04119777698670664,0.009706799034027401,-0.00209254559393852,0.007827504911730367,0.017922924577358623,0.017800350511801004,0.7808772454468323,0.47039284716695307,Positive Skill (R² >= 0)
Clustering_V0_Full_k2,Darrington,2025-07-20 to 2025-08-19,31,0.061580645161290325,0.03224466280750804,0.0010397182795698924,0.0974597264682093,0.03543999483811331,0.03587908130691897,0.03597805911110293,0.03934627822922628,0.016149957741838954,0.8865434823767185,-0.4889895089005376,Moderate Negative (-10 <= R² < 0)
Clustering_V0_Full_k2,Paradise_WA,2025-07-20 to 2025-08-19,31,0.028967741935483876,0.0036831496572701833,1.3565591397849468e-05,0.046847382860798994,0.008851176356900381,0.017879640925315122,0.017879640925315122,0.019752109390008935,0.008394299597743446,0.2928791158807411,-27.75995700539295,Severe Negative (-50 <= R² < -10)
Clustering_V0_Full_k2,Quinault,2025-07-20 to 2025-08-19,31,0.14174193548387096,0.05021949670658166,0.0025219978494623657,0.14658174264815546,0.041082057626464864,0.004839807164284495,0.010718900765142135,0.012561798238653166,0.011592024913757314,0.9865830853761834,0.9374310430033599,Positive Skill (R² >= 0)
Clustering_V0_Full_k2,Spokane,2025-07-20 to 2025-08-19,31,0.025870967741935487,0.006756438585940924,4.56494623655914e-05,0.03846380364510321,0.006605587805078112,0.012592835903167727,0.013464632126592822,0.015249402803875106,0.00860027730894323,0.14399416293120382,-4.0941297843217495,Moderate Negative (-10 <= R² < 0)
Clustering_V0_Full_k2,[All 5 Stations Pooled],2025-07-20 to 2025-08-19,155,0.06029032258064518,0.05151219345524505,0.0026535060745705905,0.07411008652179472,0.04905117186537519,0.013819763941149558,0.017173747567976672,0.023021076091771706,0.018411520008789206,0.9336834210892614,0.8002755865147562,Pooled (Spatial Masked)
Clustering_Dynamic_k2,CayusePass_WA,2025-07-20 to 2025-08-19,31,0.04329032258064517,0.02462815942288704,0.0006065462365591397,0.052230000351705864,0.013510746548010419,0.008939677771060694,0.02172503916102071,0.02909612963217269,0.027688750801034723,-0.004712283890238502,-0.39574645516682505,Moderate Negative (-10 <= R² < 0)
Clustering_Dynamic_k2,Darrington,2025-07-20 to 2025-08-19,31,0.061580645161290325,0.03224466280750804,0.0010397182795698924,0.10058278576020271,0.035813632314190144,0.03900214059891239,0.039075104821112844,0.04464028155509396,0.021716071606548273,0.794522673976572,-0.9166295105847511,Moderate Negative (-10 <= R² < 0)
Clustering_Dynamic_k2,Paradise_WA,2025-07-20 to 2025-08-19,31,0.028967741935483876,0.0036831496572701833,1.3565591397849468e-05,0.054394769091759956,0.008491574676595783,0.02542702715627609,0.02542702715627609,0.026250785286128703,0.006524570340829302,0.666385714130075,-49.79791274324198,Severe Negative (-50 <= R² < -10)
Clustering_Dynamic_k2,Quinault,2025-07-20 to 2025-08-19,31,0.14174193548387096,0.05021949670658166,0.0025219978494623657,0.1351892707809325,0.049349994293863164,-0.006552664702938447,0.009848726330264918,0.011170504802049865,0.009046699001485773,0.9830904768472373,0.9505232815487057,Positive Skill (R² >= 0)
Clustering_Dynamic_k2,Spokane,2025-07-20 to 2025-08-19,31,0.025870967741935487,0.006756438585940924,4.56494623655914e-05,0.053356415465954814,0.008806057198324297,0.027485447724019323,0.027485447724019323,0.02915071822632388,0.009711567150606138,0.21629240493261367,-17.614991920497335,Severe Negative (-50 <= R² < -10)
Clustering_Dynamic_k2,[All 5 Stations Pooled],2025-07-20 to 2025-08-19,155,0.06029032258064518,0.05151219345524505,0.0026535060745705905,0.07915064829011118,0.04378125748138312,0.01886032570946601,0.024712269038538782,0.030009957599676285,0.023342786236163492,0.8916633442768316,0.6606009069415417,Pooled (Spatial Masked)
Global_Single_54,CayusePass_WA,2025-07-20 to 2025-08-19,31,0.04329032258064517,0.02462815942288704,0.0006065462365591397,0.05918555432750332,0.03254991174250276,0.015895231746858165,0.02798036623001099,0.039630770842891995,0.0363034379269442,0.18971757277528253,-1.5894118254061267,Moderate Negative (-10 <= R² < 0)
Global_Single_54,Darrington,2025-07-20 to 2025-08-19,31,0.061580645161290325,0.03224466280750804,0.0010397182795698924,0.10178094780252825,0.03792790731445373,0.04020030264123793,0.04020030264123793,0.045497704159746424,0.021306730189324816,0.8214146220781742,-0.9909634412353852,Moderate Negative (-10 <= R² < 0)
Global_Single_54,Paradise_WA,2025-07-20 to 2025-08-19,31,0.028967741935483876,0.0036831496572701833,1.3565591397849468e-05,0.060664517889099726,0.027631954500209485,0.03169677595361586,0.03169677595361586,0.04047156147249029,0.025164691179663617,0.6029130991926674,-119.7427851823122,Extreme Negative (R² < -50)
Global_Single_54,Quinault,2025-07-20 to 2025-08-19,31,0.14174193548387096,0.05021949670658166,0.0025219978494623657,0.1345841089563985,0.054926055069999,-0.007157826527472465,0.010731887229027286,0.012424165521167822,0.010155068109076707,0.9846990121434103,0.9387945993172511,Positive Skill (R² >= 0)
Global_Single_54,Spokane,2025-07-20 to 2025-08-19,31,0.025870967741935487,0.006756438585940924,4.56494623655914e-05,0.056562000416940254,0.016490431824286035,0.03069103267500477,0.03069103267500477,0.034540705928669924,0.01584679397836178,0.2606982892271535,-25.135255580800244,Severe Negative (-50 <= R² < -10)
Global_Single_54,[All 5 Stations Pooled],2025-07-20 to 2025-08-19,155,0.06029032258064518,0.05151219345524505,0.0026535060745705905,0.08255542587849402,0.047305102561983586,0.022265103297848858,0.02826007294577937,0.036403314751213015,0.028800460065978167,0.8323299980135827,0.5005847781636088,Pooled (Spatial Masked)
Baseline_V0_50,CayusePass_WA,2025-07-20 to 2025-08-19,31,0.04329032258064517,0.02462815942288704,0.0006065462365591397,0.04555033089653139,0.013115138030138095,0.0022600083158862204,0.018562066243540853,0.024831831963331604,0.024728773545553414,0.22702217204168934,-0.01660820146728459,Moderate Negative (-10 <= R² < 0)
Baseline_V0_50,Darrington,2025-07-20 to 2025-08-19,31,0.061580645161290325,0.03224466280750804,0.0010397182795698924,0.08638989185133289,0.029759437150449274,0.024809246690042558,0.026678068480184,0.0285818670392135,0.014192406495020198,0.8947656435821447,0.21428415802670941,Positive Skill (R² >= 0)
Baseline_V0_50,Paradise_WA,2025-07-20 to 2025-08-19,31,0.028967741935483876,0.0036831496572701833,1.3565591397849468e-05,0.06527892408832427,0.017872893548616726,0.0363111821528404,0.03677011917483422,0.040854900036024565,0.018724874034737993,-0.22256573841604751,-122.04092081220753,Extreme Negative (R² < -50)
