,split,MAE,RMSE,R2
0,train,0.012753879060240648,0.01793483721099767,0.9689810734249508
1,val,0.039757879124259134,0.05128213384277615,0.7721380827070196
2,test,0.043800440685526236,0.056700687169027736,0.6281253849501547
