split,MAE,RMSE,R2
train,0.012255317773279035,0.017277618425882966,0.9714499873491262
val,0.03680331423779507,0.047995963678607464,0.7729119439914907
test,0.04171990849482756,0.053383220461510804,0.6742284899294613
