family,ece_input,policy,seed,station,n,r2,rmse,ubrmse,bias,mae,pearson
Clustering_V0_Full_k2,zero,as_routed,42,ECE_BBG_Lost_Meadow,30,-475.0392572317012,0.16655624458211732,0.015902527320762302,0.16579533236527044,0.16579533236527044,-0.3228799005119794
Clustering_V0_Full_k2,zero,as_routed,42,ECE_BBG_Main_St,30,-76.69437287313086,0.04937580288683212,0.026403974282235357,0.041722896026310935,0.041722896026310935,0.4581081183762744
Clustering_V0_Full_k2,zero,as_routed,42,ECE_Renton_Garden_North,30,-4.594487310734243,0.06128153654068814,0.023500256140018053,-0.05659650768502628,0.0581949479937115,0.47848616106322744
Clustering_V0_Full_k2,zero,as_routed,42,ECE_Renton_Garden_Shed,30,-38.92109670042384,0.02855366517471063,0.0176399421073311,0.02245315651215859,0.02245315651215859,0.26700298866223315
Clustering_V0_Full_k2,zero,as_routed,42,ECE_Renton_Home,30,-5849.492182469384,0.19065365508394297,0.04121714007490431,0.18614500681165963,0.18614500681165963,0.2869521433990164
Clustering_V0_Full_k2,zero,c0_only,42,ECE_BBG_Lost_Meadow,30,-20.77229531881624,0.03561981371246801,0.01748689833185278,0.03103191124701101,0.03241047951899614,-0.552957672598835
Clustering_V0_Full_k2,zero,c0_only,42,ECE_BBG_Main_St,30,-39.13490717664967,0.03548791786466997,0.008000063063815973,0.034574431381362285,0.034574431381362285,0.7528022636087589
Clustering_V0_Full_k2,zero,c0_only,42,ECE_Renton_Garden_North,30,-4.985613849865909,0.06338753266253234,0.01904082631126035,-0.06046012099250232,0.06046012099250232,0.6829179022893814
Clustering_V0_Full_k2,zero,c0_only,42,ECE_Renton_Garden_Shed,30,-24.14885510374795,0.022663122180656376,0.012966580416749212,0.018587224087295413,0.01985184627374696,0.6806560978370068
Clustering_V0_Full_k2,zero,c0_only,42,ECE_Renton_Home,30,-976.5010633598641,0.07793051625579488,0.013875184034097324,0.07668536126220336,0.07668536126220336,0.7074500905849568
Clustering_V0_Full_k2,zero,c1_only,42,ECE_BBG_Lost_Meadow,30,-475.0392572317012,0.16655624458211732,0.015902527320762302,0.16579533236527044,0.16579533236527044,-0.3228799005119794
Clustering_V0_Full_k2,zero,c1_only,42,ECE_BBG_Main_St,30,-933.7761104542647,0.17126680275184128,0.016422363738585695,0.1704776339995241,0.1704776339995241,0.1361601860783748
Clustering_V0_Full_k2,zero,c1_only,42,ECE_Renton_Garden_North,30,-6.9814359500063485,0.07319644956712869,0.023601237209853607,0.06928709714945082,0.06928709714945082,0.4144027199002992
Clustering_V0_Full_k2,zero,c1_only,42,ECE_Renton_Garden_Shed,30,-1082.2405449626697,0.14873839277128714,0.010524813007467614,0.14836555461205786,0.14836555461205786,0.4457651405801163
Clustering_V0_Full_k2,zero,c1_only,42,ECE_Renton_Home,30,-6429.002532158149,0.19987317254297957,0.011229244188425669,0.1995574833910079,0.1995574833910079,0.3289729523016564
Clustering_V0_Full_k2,zero,gapi_transplant,42,ECE_BBG_Lost_Meadow,30,-20.77229531881624,0.03561981371246801,0.01748689833185278,0.03103191124701101,0.03241047951899614,-0.552957672598835
Clustering_V0_Full_k2,zero,gapi_transplant,42,ECE_BBG_Main_St,30,-39.13490717664967,0.03548791786466997,0.008000063063815973,0.034574431381362285,0.034574431381362285,0.7528022636087589
Clustering_V0_Full_k2,zero,gapi_transplant,42,ECE_Renton_Garden_North,30,-4.985613849865909,0.06338753266253234,0.01904082631126035,-0.06046012099250232,0.06046012099250232,0.6829179022893814
Clustering_V0_Full_k2,zero,gapi_transplant,42,ECE_Renton_Garden_Shed,30,-24.14885510374795,0.022663122180656376,0.012966580416749212,0.018587224087295413,0.01985184627374696,0.6806560978370068
Clustering_V0_Full_k2,zero,gapi_transplant,42,ECE_Renton_Home,30,-976.5010633598641,0.07793051625579488,0.013875184034097324,0.07668536126220336,0.07668536126220336,0.7074500905849568
Clustering_V0_Full_k2,zero,dynamic_transplant,42,ECE_BBG_Lost_Meadow,30,-20.77229531881624,0.03561981371246801,0.01748689833185278,0.03103191124701101,0.03241047951899614,-0.552957672598835
Clustering_V0_Full_k2,zero,dynamic_transplant,42,ECE_BBG_Main_St,30,-39.13490717664967,0.03548791786466997,0.008000063063815973,0.034574431381362285,0.034574431381362285,0.7528022636087589
Clustering_V0_Full_k2,zero,dynamic_transplant,42,ECE_Renton_Garden_North,30,-4.985613849865909,0.06338753266253234,0.01904082631126035,-0.06046012099250232,0.06046012099250232,0.6829179022893814
Clustering_V0_Full_k2,zero,dynamic_transplant,42,ECE_Renton_Garden_Shed,30,-24.14885510374795,0.022663122180656376,0.012966580416749212,0.018587224087295413,0.01985184627374696,0.6806560978370068
Clustering_V0_Full_k2,zero,dynamic_transplant,42,ECE_Renton_Home,30,-976.5010633598641,0.07793051625579488,0.013875184034097324,0.07668536126220336,0.07668536126220336,0.7074500905849568
Clustering_V0_Full_k2,zero,seasonal,42,ECE_BBG_Lost_Meadow,30,-20.77229531881624,0.03561981371246801,0.01748689833185278,0.03103191124701101,0.03241047951899614,-0.552957672598835
Clustering_V0_Full_k2,zero,seasonal,42,ECE_BBG_Main_St,30,-39.13490717664967,0.03548791786466997,0.008000063063815973,0.034574431381362285,0.034574431381362285,0.7528022636087589
Clustering_V0_Full_k2,zero,seasonal,42,ECE_Renton_Garden_North,30,-4.985613849865909,0.06338753266253234,0.01904082631126035,-0.06046012099250232,0.06046012099250232,0.6829179022893814
Clustering_V0_Full_k2,zero,seasonal,42,ECE_Renton_Garden_Shed,30,-24.14885510374795,0.022663122180656376,0.012966580416749212,0.018587224087295413,0.01985184627374696,0.6806560978370068
Clustering_V0_Full_k2,zero,seasonal,42,ECE_Renton_Home,30,-976.5010633598641,0.07793051625579488,0.013875184034097324,0.07668536126220336,0.07668536126220336,0.7074500905849568
Clustering_V0_Full_k2,zero,margin_fallback,42,ECE_BBG_Lost_Meadow,30,-48.24122341516344,0.05356781756321601,0.01996646041458389,0.04970766074760356,0.04970766074760356,-0.5129772862061721
Clustering_V0_Full_k2,zero,margin_fallback,42,ECE_BBG_Main_St,30,-38.870464433542175,0.03537081242653956,0.01790246565003953,0.030505673166848823,0.03087517787942884,0.7692951051361478
Clustering_V0_Full_k2,zero,margin_fallback,42,ECE_Renton_Garden_North,30,-6.838404076539684,0.07253762357778967,0.01597586890611596,-0.07075647282763398,0.07075647282763398,0.7884668099192753
Clustering_V0_Full_k2,zero,margin_fallback,42,ECE_Renton_Garden_Shed,30,-20.961576899127834,0.021178363151159257,0.01947351971007855,0.008324968219973129,0.013876141182976405,0.5450794099309437
Clustering_V0_Full_k2,zero,margin_fallback,42,ECE_Renton_Home,30,-778.3629443309901,0.06958550934252511,0.020056872298953563,0.06663231186175457,0.06663231186175457,0.6359576041225995
Clustering_Backbone54_k2,zero,as_routed,42,ECE_BBG_Lost_Meadow,30,-280.3745543029466,0.1280506966759543,0.05666401713803502,0.11483105016056297,0.11483105016056297,0.4240107557749735
Clustering_Backbone54_k2,zero,as_routed,42,ECE_BBG_Main_St,30,-933.7761104542647,0.17126680275184128,0.016422363738585695,0.1704776339995241,0.1704776339995241,0.1361601860783748
Clustering_Backbone54_k2,zero,as_routed,42,ECE_Renton_Garden_North,30,-8.624936613075635,0.08038008081374054,0.06905124327046885,0.04114466179744329,0.07833070464663659,-0.7642132896045738
Clustering_Backbone54_k2,zero,as_routed,42,ECE_Renton_Garden_Shed,30,-823.5106168464555,0.12976535432536304,0.048831634710931424,0.1202269463749503,0.1202269463749503,-0.31821719252503755
Clustering_Backbone54_k2,zero,as_routed,42,ECE_Renton_Home,30,-6429.002532158149,0.19987317254297957,0.011229244188425669,0.1995574833910079,0.1995574833910079,0.3289729523016564
Clustering_Backbone54_k2,zero,c0_only,42,ECE_BBG_Lost_Meadow,30,-20.77229531881624,0.03561981371246801,0.01748689833185278,0.03103191124701101,0.03241047951899614,-0.552957672598835
Clustering_Backbone54_k2,zero,c0_only,42,ECE_BBG_Main_St,30,-39.13490717664967,0.03548791786466997,0.008000063063815973,0.034574431381362285,0.034574431381362285,0.7528022636087589
Clustering_Backbone54_k2,zero,c0_only,42,ECE_Renton_Garden_North,30,-4.985613849865909,0.06338753266253234,0.01904082631126035,-0.06046012099250232,0.06046012099250232,0.6829179022893814
Clustering_Backbone54_k2,zero,c0_only,42,ECE_Renton_Garden_Shed,30,-24.14885510374795,0.022663122180656376,0.012966580416749212,0.018587224087295413,0.01985184627374696,0.6806560978370068
Clustering_Backbone54_k2,zero,c0_only,42,ECE_Renton_Home,30,-976.5010633598641,0.07793051625579488,0.013875184034097324,0.07668536126220336,0.07668536126220336,0.7074500905849568
Clustering_Backbone54_k2,zero,c1_only,42,ECE_BBG_Lost_Meadow,30,-475.0392572317012,0.16655624458211732,0.015902527320762302,0.16579533236527044,0.16579533236527044,-0.3228799005119794
Clustering_Backbone54_k2,zero,c1_only,42,ECE_BBG_Main_St,30,-933.7761104542647,0.17126680275184128,0.016422363738585695,0.1704776339995241,0.1704776339995241,0.1361601860783748
Clustering_Backbone54_k2,zero,c1_only,42,ECE_Renton_Garden_North,30,-6.9814359500063485,0.07319644956712869,0.023601237209853607,0.06928709714945082,0.06928709714945082,0.4144027199002992
Clustering_Backbone54_k2,zero,c1_only,42,ECE_Renton_Garden_Shed,30,-1082.2405449626697,0.14873839277128714,0.010524813007467614,0.14836555461205786,0.14836555461205786,0.4457651405801163
Clustering_Backbone54_k2,zero,c1_only,42,ECE_Renton_Home,30,-6429.002532158149,0.19987317254297957,0.011229244188425669,0.1995574833910079,0.1995574833910079,0.3289729523016564
Clustering_Backbone54_k2,zero,gapi_transplant,42,ECE_BBG_Lost_Meadow,30,-20.77229531881624,0.03561981371246801,0.01748689833185278,0.03103191124701101,0.03241047951899614,-0.552957672598835
Clustering_Backbone54_k2,zero,gapi_transplant,42,ECE_BBG_Main_St,30,-39.13490717664967,0.03548791786466997,0.008000063063815973,0.034574431381362285,0.034574431381362285,0.7528022636087589
Clustering_Backbone54_k2,zero,gapi_transplant,42,ECE_Renton_Garden_North,30,-4.985613849865909,0.06338753266253234,0.01904082631126035,-0.06046012099250232,0.06046012099250232,0.6829179022893814
Clustering_Backbone54_k2,zero,gapi_transplant,42,ECE_Renton_Garden_Shed,30,-24.14885510374795,0.022663122180656376,0.012966580416749212,0.018587224087295413,0.01985184627374696,0.6806560978370068
Clustering_Backbone54_k2,zero,gapi_transplant,42,ECE_Renton_Home,30,-976.5010633598641,0.07793051625579488,0.013875184034097324,0.07668536126220336,0.07668536126220336,0.7074500905849568
