family,ece_input,policy,seed,r2,rmse,ubrmse,bias,mae,pearson
Clustering_V0_Full_k2,zero,as_routed,42,-5.423785785107636,0.11924638965820444,0.09512896281358166,0.07190397680607467,0.09486226794182223,-0.4906605861586785
Clustering_V0_Full_k2,zero,c0_only,42,-0.18656637913053786,0.05125021992380942,0.04715111420087795,0.020083761397073956,0.04479644788576222,0.14548987559616344
Clustering_V0_Full_k2,zero,c1_only,42,-10.248945998560984,0.15779950262909626,0.046810379822260474,0.15069662030346223,0.15069662030346223,0.15744702884504536
Clustering_V0_Full_k2,zero,gapi_transplant,42,-0.18656637913053786,0.05125021992380942,0.04715111420087795,0.020083761397073956,0.04479644788576222,0.14548987559616344
Clustering_V0_Full_k2,zero,dynamic_transplant,42,-0.18656637913053786,0.05125021992380942,0.04715111420087795,0.020083761397073956,0.04479644788576222,0.14548987559616344
Clustering_V0_Full_k2,zero,seasonal,42,-0.18656637913053786,0.05125021992380942,0.04715111420087795,0.020083761397073956,0.04479644788576222,0.14548987559616344
Clustering_V0_Full_k2,zero,margin_fallback,42,-0.32571096257921206,0.05417190869949771,0.05147393323788057,0.016882828233709225,0.04636955289987947,0.032184311873798575
Clustering_Backbone54_k2,zero,as_routed,42,-8.846270108724317,0.14763372807136013,0.07134975230066767,0.1292475551446977,0.1366847637145364,-0.20062003438281528
Clustering_Backbone54_k2,zero,c0_only,42,-0.18656637913053786,0.05125021992380942,0.04715111420087795,0.020083761397073956,0.04479644788576222,0.14548987559616344
Clustering_Backbone54_k2,zero,c1_only,42,-10.248945998560984,0.15779950262909626,0.046810379822260474,0.15069662030346223,0.15069662030346223,0.15744702884504536
Clustering_Backbone54_k2,zero,gapi_transplant,42,-0.18656637913053786,0.05125021992380942,0.04715111420087795,0.020083761397073956,0.04479644788576222,0.14548987559616344
Clustering_Backbone54_k2,zero,dynamic_transplant,42,-0.18656637913053786,0.05125021992380942,0.04715111420087795,0.020083761397073956,0.04479644788576222,0.14548987559616344
Clustering_Backbone54_k2,zero,seasonal,42,-0.18656637913053786,0.05125021992380942,0.04715111420087795,0.020083761397073956,0.04479644788576222,0.14548987559616344
Clustering_Backbone54_k2,zero,margin_fallback,42,-0.43355975477190434,0.05633231695528246,0.05245320084714996,0.020542435455392093,0.048273140917090306,0.02764619777524388
Clustering_V0_Full_k2,native,as_routed,42,-1.4494853254904343,0.07363548218783177,0.05248606513213474,0.051646850862175506,0.06455461321346621,-0.000304605921102083
Clustering_V0_Full_k2,native,c0_only,42,-1.038970673891321,0.06718235195526791,0.046820774896000915,0.04817969958789179,0.06108746193918247,0.15054112351183335
Clustering_V0_Full_k2,native,c1_only,42,-14.805614541475826,0.18704900712291853,0.04863565892764279,0.18061534748283056,0.18061534748283056,-0.13741026183663654
Clustering_V0_Full_k2,native,gapi_transplant,42,-1.038970673891321,0.06718235195526791,0.046820774896000915,0.04817969958789179,0.06108746193918247,0.15054112351183335
Clustering_V0_Full_k2,native,dynamic_transplant,42,-1.038970673891321,0.06718235195526791,0.046820774896000915,0.04817969958789179,0.06108746193918247,0.15054112351183335
Clustering_V0_Full_k2,native,seasonal,42,-1.038970673891321,0.06718235195526791,0.046820774896000915,0.04817969958789179,0.06108746193918247,0.15054112351183335
Clustering_V0_Full_k2,native,margin_fallback,42,-0.5867929163854988,0.05926657641818868,0.05192849844116862,0.028564980832805523,0.05254025727740396,0.022474268033610613
Clustering_Backbone54_k2,native,as_routed,42,-6.508391931601289,0.12892085623066407,0.09176863585134916,0.0905489074767334,0.1027523251579102,-0.39028794980113685
Clustering_Backbone54_k2,native,c0_only,42,-1.038970673891321,0.06718235195526791,0.046820774896000915,0.04817969958789179,0.06108746193918247,0.15054112351183335
Clustering_Backbone54_k2,native,c1_only,42,-14.805614541475826,0.18704900712291853,0.04863565892764279,0.18061534748283056,0.18061534748283056,-0.13741026183663654
Clustering_Backbone54_k2,native,gapi_transplant,42,-1.038970673891321,0.06718235195526791,0.046820774896000915,0.04817969958789179,0.06108746193918247,0.15054112351183335
Clustering_Backbone54_k2,native,dynamic_transplant,42,-1.038970673891321,0.06718235195526791,0.046820774896000915,0.04817969958789179,0.06108746193918247,0.15054112351183335
Clustering_Backbone54_k2,native,seasonal,42,-1.038970673891321,0.06718235195526791,0.046820774896000915,0.04817969958789179,0.06108746193918247,0.15054112351183335
Clustering_Backbone54_k2,native,margin_fallback,42,-0.5281852186874574,0.05816178295474232,0.05109291116446399,0.027790419666042218,0.05176569611064065,0.03768889795475391
Clustering_V0_Full_k2,zero,as_routed,7,-5.089700694465113,0.11610413519640639,0.0924315505424537,0.07026079044547706,0.09292032045184534,-0.4856499879509023
Clustering_V0_Full_k2,zero,c0_only,7,-0.19727685137438833,0.05148100386542081,0.04713412817389838,0.020704292315314503,0.045046623754233676,0.14924862047831067
Clustering_V0_Full_k2,zero,c1_only,7,-9.560398430599832,0.15289379694393965,0.046947755716638145,0.145507461585671,0.145507461585671,0.14200283062430802
Clustering_V0_Full_k2,zero,gapi_transplant,7,-0.19727685137438833,0.05148100386542081,0.04713412817389838,0.020704292315314503,0.045046623754233676,0.14924862047831067
Clustering_V0_Full_k2,zero,dynamic_transplant,7,-0.19727685137438833,0.05148100386542081,0.04713412817389838,0.020704292315314503,0.045046623754233676,0.14924862047831067
Clustering_V0_Full_k2,zero,seasonal,7,-0.19727685137438833,0.05148100386542081,0.04713412817389838,0.020704292315314503,0.045046623754233676,0.14924862047831067
Clustering_V0_Full_k2,zero,margin_fallback,7,-0.32287874748042467,0.054114012018454435,0.0511110935888639,0.017775894038945726,0.04640627669410687,0.049472831377750534
Clustering_Backbone54_k2,zero,as_routed,7,-8.27469507522592,0.14328460611174745,0.06966451480876558,0.12520915990876186,0.1325516921628161,-0.2050786945979791
Clustering_Backbone54_k2,zero,c0_only,7,-0.19727685137438833,0.05148100386542081,0.04713412817389838,0.020704292315314503,0.045046623754233676,0.14924862047831067
Clustering_Backbone54_k2,zero,c1_only,7,-9.560398430599832,0.15289379694393965,0.046947755716638145,0.145507461585671,0.145507461585671,0.14200283062430802
Clustering_Backbone54_k2,zero,gapi_transplant,7,-0.19727685137438833,0.05148100386542081,0.04713412817389838,0.020704292315314503,0.045046623754233676,0.14924862047831067
Clustering_Backbone54_k2,zero,dynamic_transplant,7,-0.19727685137438833,0.05148100386542081,0.04713412817389838,0.020704292315314503,0.045046623754233676,0.14924862047831067
Clustering_Backbone54_k2,zero,seasonal,7,-0.19727685137438833,0.05148100386542081,0.04713412817389838,0.020704292315314503,0.045046623754233676,0.14924862047831067
Clustering_Backbone54_k2,zero,margin_fallback,7,-0.4345684127298377,0.056352131284058644,0.05212005497147333,0.02142574549523025,0.04838678909992505,0.04380384045171419
Clustering_V0_Full_k2,native,as_routed,7,-1.5819838669164676,0.07560081480228249,0.05241282604213867,0.054482830919891874,0.06630185920072257,0.002779913974618964
Clustering_V0_Full_k2,native,c0_only,7,-1.1855036756470496,0.06955454030854415,0.04726771409670142,0.05102545719153711,0.0628444854723678,0.1354315010012936
Clustering_V0_Full_k2,native,c1_only,7,-13.703399179282096,0.18040916150726885,0.048941270420250406,0.17364393915541002,0.17364393915541002,-0.14044625428928098
Clustering_V0_Full_k2,native,gapi_transplant,7,-1.1855036756470496,0.06955454030854415,0.04726771409670142,0.05102545719153711,0.0628444854723678,0.1354315010012936
Clustering_V0_Full_k2,native,dynamic_transplant,7,-1.1855036756470496,0.06955454030854415,0.04726771409670142,0.05102545719153711,0.0628444854723678,0.1354315010012936
Clustering_V0_Full_k2,native,seasonal,7,-1.1855036756470496,0.06955454030854415,0.04726771409670142,0.05102545719153711,0.0628444854723678,0.1354315010012936
Clustering_V0_Full_k2,native,margin_fallback,7,-0.6442316879490833,0.06032970767060094,0.0513616930450066,0.03164885645913114,0.05399932789874731,0.04216555520230729
Clustering_Backbone54_k2,native,as_routed,7,-6.234288692584744,0.12654576977285717,0.08827739296834076,0.09066936493721632,0.10171390689471325,-0.37875054325569135
Clustering_Backbone54_k2,native,c0_only,7,-1.1855036756470496,0.06955454030854415,0.04726771409670142,0.05102545719153711,0.0628444854723678,0.1354315010012936
Clustering_Backbone54_k2,native,c1_only,7,-13.703399179282096,0.18040916150726885,0.048941270420250406,0.17364393915541002,0.17364393915541002,-0.14044625428928098
Clustering_Backbone54_k2,native,gapi_transplant,7,-1.1855036756470496,0.06955454030854415,0.04726771409670142,0.05102545719153711,0.0628444854723678,0.1354315010012936
Clustering_Backbone54_k2,native,dynamic_transplant,7,-1.1855036756470496,0.06955454030854415,0.04726771409670142,0.05102545719153711,0.0628444854723678,0.1354315010012936
Clustering_Backbone54_k2,native,seasonal,7,-1.1855036756470496,0.06955454030854415,0.04726771409670142,0.05102545719153711,0.0628444854723678,0.1354315010012936
Clustering_Backbone54_k2,native,margin_fallback,7,-0.6099814549381564,0.059698050743729865,0.050870788505695735,0.031241321025361913,0.053591792464978076,0.05152781244993959
Clustering_V0_Full_k2,zero,as_routed,13,-5.207862923141568,0.11722514358674324,0.09360603864027792,0.07056659138010968,0.09351040415027699,-0.4880261398335398
