date,soil_moisture_5cm,SMAP_sm_am,SMAP_sm_pm,LST_modis,s2_b8,s2_b11,s1_vv_dB,s1_vh_dB,s1_vv,s1_vh,precip_mm,SMAP_sm_am_interp,SMAP_sm_pm_interp,LST_modis_interp,s2_b11_interp,s2_b8_interp,s1_vv_dB_interp,s1_vh_dB_interp,s1_vv_interp,s1_vh_interp,SMAP_sm_interp,SMAP_sm_pm_interp_ema02,SMAP_sm_interp_grad7,SMAP_ampm_diff_interp,SMAP_sm_interp_diff1,SMAP_sm_interp_rollstd7,SMAP_sm_interp_rollrange7,SMAP_sm_interp_pctchg,A_pct_SMAP_sm_interp,A_d_SMAP_sm_interp_kobs7,A_d_SMAP_sm_interp_kobs14,A_grad_SMAP_sm_interp_kobs7,G_API,G_rain_sum_3d,G_rain_sum_7d,V_ema_G_API_kobs7,V_ema_G_API_kobs14,V_ema_G_API_kobs30,V_rollmean_G_API_kobs7,V_rollmean_G_API_kobs14,V_rollstd_G_API_kobs7,V_rollcv_G_API_kobs7,A_d_G_API_kobs7,C_lag_G_API_kobs1,E_SAR_diff,E_SAR_ratio,A_d_E_SAR_diff_kobs1,A_d_E_SAR_diff_kobs7,A_d_E_SAR_diff_kobs14,A_grad_E_SAR_diff_kobs7,A_grad_E_SAR_ratio_kobs7,V_rollstd_E_SAR_diff_kobs7,V_rollstd_E_SAR_ratio_kobs7,V_ema_LST_modis_kobs7,A_d_LST_modis_kobs14,V_rollmin_LST_modis_kobs30,F_NDMI,A_d_F_NDMI_kobs7,V_rollstd_F_NDMI_kobs7,V_rollmean_s2_b11_kobs7,year_frac,sin_year,cos_year,API_x_year,SMAP_x_year,elev,slope,K_slope_sin,K_slope_cos,K_aspect_cos,J_clay_wfrac_b0,J_sand_wfrac_b0,station_id,latitude,longitude
2023-01-01,,,0.20636815766920336,,,,,,,,28.7,0.22643852172472878,0.20636815766920336,269.7509614570097,0.14052242848432167,0.3809984425932753,-11.256517849347942,-19.74269225886596,0.0763177079351723,0.011144043354113833,0.22643852172472878,0.16978551298827155,0.008833502705342293,0.020070364055525425,-0.0018633942847848806,0.05190067764749735,0.12391851645508842,-0.00816193817124627,-0.00816193817124627,0.061834518937396055,0.1291127006940816,0.008833502705342293,48.72495906792745,38.7,46.699999999999996,23.847099118094953,16.693403507807112,11.652654502993043,20.091395155841408,12.930975647864562,12.338029551481243,0.6140951806325348,36.26224821212335,22.249954519919388,8.48617440951802,6.847681566622358,0.0,0.0,-0.22353003854991904,0.0,0.0,0.0,0.0,270.49339289968725,-6.243168149089399,268.6145156482861,0.4611043705838625,0.0,0.0,0.14052242848432167,0.0027378507871321013,0.017201575418260506,0.9998520419557735,0.13340166753710458,0.00046484740037856684,2017.1823587710605,4.977205153617442,0.0867594046595152,0.9962292937387087,-0.21489412886843165,17.890981169474728,46.14568880079286,NV_Baker_5_W,39.01,-114.21
2023-01-01,,,0.2065616176114418,,,,,,,,28.7,0.22457512743994393,0.2065616176114418,269.7509614570097,0.14052242848432167,0.3809984425932753,-11.256517849347942,-19.74269225886596,0.0763177079351723,0.011144043354113833,0.22457512743994393,0.1771407339129056,0.01696417596558821,0.01801350982850214,-0.0018633942847848528,0.04508195005408868,0.12303894531448857,-0.008229103606083784,-0.008229103606083784,0.11874923175911747,0.12440663066704039,0.01696417596558821,72.55246316113471,62.400000000000006,75.3,36.023440128854894,24.141278128250793,15.581674416421539,28.839398497400122,18.037878083078105,21.39779591280219,0.7419639897401888,61.23602339091103,48.72495906792745,8.48617440951802,6.847681566622358,0.0,0.0,-0.1788240308399338,0.0,0.0,0.0,0.0,270.30778503901786,-6.243168149089399,269.7509614570097,0.4611043705838625,0.0,0.0,0.14052242848432167,0.0027378507871321013,0.017201575418260506,0.9998520419557735,0.19863781837408545,0.00048498489777660674,2017.1823587710605,4.977205153617442,0.0867594046595152,0.9962292937387087,-0.21489412886843165,17.890981169474728,46.14568880079286,NV_Baker_5_W,39.01,-114.21
2023-01-02,,0.22271173315515905,,266.629377382465,,,,,,,0.6,0.22271173315515905,0.209104371476277,266.629377382465,0.14052242848432167,0.3809984425932753,-11.256517849347942,-19.74269225886596,0.0763177079351723,0.011144043354113833,0.22271173315515905,0.1835334614255799,0.01657232376196182,0.013607361678882046,-0.0018633942847848806,0.02853554504178859,0.08202596354299238,-0.008297383635681351,-0.008297383635681351,0.11600626633373275,0.11970056063999915,0.01657232376196182,65.89721684502123,58.0,75.8,43.49188430789648,29.708736623820187,18.827838444073134,36.78403007623154,22.67694741762744,23.275517831258423,0.632761476930629,55.612421051819915,72.55246316113471,8.48617440951802,6.847681566622358,0.0,0.0,-0.1341180231299539,0.0,0.0,0.0,0.0,269.3881831248797,-8.740435408725148,266.629377382465,0.4611043705838625,0.0,0.0,0.14052242848432167,0.0054757015742642025,0.03439806061360801,0.9994082116062598,0.3608334940179123,0.0010049744636582063,2017.1823587710605,4.977205153617442,0.0867594046595152,0.9962292937387087,-0.21489412886843165,17.890981169474728,46.14568880079286,NV_Baker_5_W,39.01,-114.21
2023-01-02,,,,266.629377382465,,,,,,,0.6,0.21335222360364728,0.21164712534111224,266.629377382465,0.14052242848432167,0.3809984425932753,-11.256517849347942,-19.74269225886596,0.0763177079351723,0.011144043354113833,0.21335222360364728,0.1891561942086864,0.009376253572960683,0.0017050982625350375,-0.009359509551511769,0.01336379871598678,0.041012981771496176,-0.04202503116420921,-0.04202503116420921,0.06563377501072479,0.11080024381796925,0.009376253572960683,59.90749516051911,29.900000000000002,72.5,47.59578702105214,33.73523776204671,21.47813887739223,43.46276992575124,26.89496696157898,22.22108048515073,0.511266999591712,46.75117894663793,65.89721684502123,8.48617440951802,6.847681566622358,0.0,0.0,-0.08941201541996868,0.0,0.0,0.0,0.0,268.69848168927604,-8.116118593816168,266.629377382465,0.4611043705838625,0.0,0.0,0.14052242848432167,0.0054757015742642025,0.03439806061360801,0.9994082116062598,0.3280355655606796,0.0010357628704103293,2017.1823587710605,4.977205153617442,0.0867594046595152,0.9962292937387087,-0.21489412886843165,17.890981169474728,46.14568880079286,NV_Baker_5_W,39.01,-114.21
2023-01-03,,,,268.01860228716646,,,-10.294923599404067,-18.199919908692294,0.09343458050188652,0.01513589161343813,0.0,0.2039927140521355,0.21418987920594745,268.01860228716646,0.14052242848432167,0.3809984425932753,-10.294923599404067,-18.199919908692294,0.09343458050188652,0.01513589161343813,0.2039927140521355,0.1941629312081386,0.0021801833839595447,-0.010197165153811943,-0.009359509551511769,0.008636864814961313,0.025751698083779362,-0.04386861090460584,-0.04386861090460584,0.015261283687716815,0.08093560840334775,0.0021801833839595447,53.9167456444672,1.2000000000000035,68.60000000000001,49.176026676905906,36.42610547970278,23.57095221720352,48.916492933176116,30.376898836849655,19.231688344663535,0.39315344985549405,38.17606105197413,59.90749516051911,7.904996309288228,6.172639858168621,-0.581178100229792,-0.581178100229792,-0.6258841079397772,-0.08302544288997028,-0.09643452977910526,0.20336997074902316,0.23621539154402713,268.5285118387486,-6.102576874205795,266.629377382465,0.4611043705838625,0.0,0.0,0.14052242848432167,0.008213552361396304,0.05158436686940837,0.9986686402879997,0.44284801350691744,0.0015947674021202349,2017.1823587710605,4.977205153617442,0.0867594046595152,0.9962292937387087,-0.21489412886843165,17.890981169474728,46.14568880079286,NV_Baker_5_W,39.01,-114.21
2023-01-03,,,,268.01860228716646,,,-10.294923599404067,-18.199919908692294,0.09343458050188652,0.01513589161343813,0.0,0.19463320450062374,0.2167326330707827,268.01860228716646,0.14052242848432167,0.3809984425932753,-10.294923599404067,-18.199919908692294,0.09343458050188652,0.01513589161343813,0.19463320450062374,0.19867687158066744,-0.0050158868050415905,-0.022099428570158952,-0.009359509551511769,0.011868512301777993,0.03366871150888992,-0.045881362545905316,-0.045881362545905316,-0.03511120763529113,0.05107097298872623,-0.0050158868050415905,48.52507108002048,0.6000000000000035,63.599999999999994,49.01328777768455,38.039300893078476,25.180895369643324,53.11055792557279,33.19635181030755,15.028409427465386,0.28296462570702097,29.358454946776718,53.9167456444672,7.904996309288228,6.172639858168621,0.0,-0.581178100229792,-0.581178100229792,-0.08302544288997028,-0.09643452977910526,0.26254950327654725,0.3049527591893003,268.4010344508531,-5.478260059296872,266.629377382465,0.4611043705838625,0.0,0.0,0.14052242848432167,0.008213552361396304,0.05158436686940837,0.9986686402879997,0.39856321215622575,0.0016318428877262212,2017.1823587710605,4.977205153617442,0.0867594046595152,0.9962292937387087,-0.21489412886843165,17.890981169474728,46.14568880079286,NV_Baker_5_W,39.01,-114.21
2023-01-04,,,,,,,,,,,0.1,0.18527369494911197,0.2192753869356179,269.4573062261754,0.14052242848432167,0.3809984425932753,-10.32598023560978,-18.207270181975026,0.09281847935117339,0.015110766861092516,0.18527369494911197,0.20279657465165754,-0.006146888722914527,-0.03400169198650593,-0.009359509551511769,0.014827409592598232,0.04116482677561681,-0.04808769134657302,-0.04808769134657302,-0.04302822106040169,0.021206337574104728,-0.006146888722914527,43.77256397201844,0.10000000000000356,58.699999999999996,47.70310682626803,38.803735970270466,26.38035786011914,56.1852164187298,35.54814520070537,9.63341093727974,0.17145810552774268,21.52260945209905,48.52507108002048,7.881289946365246,6.142132829626186,-0.023706362922981228,-0.6048844631527732,-0.6048844631527732,-0.08641206616468189,-0.10079267671373884,0.29161089226299086,0.33922203624709113,268.6651023946837,-3.415239305379032,266.629377382465,0.4611043705838625,0.0,0.0,0.14052242848432167,0.010951403148528405,0.06875540848113941,0.9976335468520451,0.47937099490232377,0.002220907046150938,2017.1823587710605,4.977205153617442,0.0867594046595152,0.9962292937387087,-0.21489412886843165,17.890981169474728,46.14568880079286,NV_Baker_5_W,39.01,-114.21
2023-01-04,,,,,,,,,,,0.1,0.1759141853976002,0.22181814080045315,270.89601016518424,0.14052242848432167,0.3809984425932753,-10.357036871815495,-18.21462045525776,0.09220237820046027,0.0150856421087469,0.1759141853976002,0.20660088788141667,-0.00721776233244694,-0.04590395540285294,-0.009359509551511769,0.0172378997341213,0.048660942042343724,-0.050516934080406806,-0.050516934080406806,-0.05052433632712858,0.011310182610267477,-0.00721776233244694,39.4953075748166,0.20000000000000356,30.099999999999998,45.65115701340517,38.89594551754328,27.22648364816414,54.866694776856825,37.47904496634912,11.086325980638273,0.20205929705930217,-9.22965149311085,43.77256397201844,7.857583583442263,6.111524190462727,-0.023706362922983004,-0.6285908260757562,-0.6285908260757562,-0.08979868943939374,-0.10516533945137585,0.2967794733524519,0.3459248606985662,269.22282933730884,-1.352218551461192,266.629377382465,0.4611043705838625,0.0,0.0,0.14052242848432167,0.010951403148528405,0.06875540848113941,0.9976335468520451,0.4325290357269443,0.0022625696140333106,2017.1823587710605,4.977205153617442,0.0867594046595152,0.9962292937387087,-0.21489412886843165,17.890981169474728,46.14568880079286,NV_Baker_5_W,39.01,-114.21
2023-01-05,,,,272.33471410419315,,,,,,,4.4,0.1665546758460884,0.22436089466528836,272.33471410419315,0.14052242848432167,0.3809984425932753,-10.388093508021209,-18.22197072854049,0.09158627704974714,0.015060517356401286,0.1665546758460884,0.21015288923819103,-0.00828863594197936,-0.05780621881919995,-0.009359509551511797,0.0187190191030231,0.05615705730907064,-0.05320467093478945,-0.05320467093478945,-0.05802045159385552,0.06072878016526195,-0.00828863594197936,39.94577681733494,4.600000000000004,5.800000000000001,44.22481196438761,39.03592302418217,28.047083207465484,50.208596727742574,39.52399761257134,9.398393583169657,0.18718693627200447,-32.60668634379977,39.4953075748166,7.833877220519282,6.080813432175352,-0.023706362922981228,-0.6522971889987375,-0.6522971889987375,-0.09318531271410535,-0.10955259063528645,0.27639022173783173,0.3229389279984183,270.0008005290299,0.710802202456648,266.629377382465,0.4611043705838625,0.0,0.0,0.14052242848432167,0.013689253935660506,0.08590610426133272,0.9963032375991965,0.5468278825097185,0.002876836266094333,2017.1823587710605,4.977205153617442,0.0867594046595152,0.9962292937387087,-0.21489412886843165,17.890981169474728,46.14568880079286,NV_Baker_5_W,39.01,-114.21
2023-01-05,,,,272.33471410419315,,,,,,,4.4,0.15719516629457664,0.22690364853012357,272.33471410419315,0.14052242848432167,0.3809984425932753,-10.419150144226924,-18.229321001823223,0.09097017589903403,0.015035392604055672,0.15719516629457664,0.21350304109657756,-0.009359509551511772,-0.06970848223554693,-0.009359509551511769,0.01871901910302308,0.05615705730907064,-0.056194479737578865,-0.056194479737578865,-0.06551656686058241,0.05048969947315034,-0.009359509551511772,40.35119913560144,8.900000000000006,9.600000000000001,43.25640875719107,39.211293172371406,28.840897138312968,46.55916562639688,41.67159785131422,7.330130267504874,0.15743688726913405,-25.546017709419793,39.94577681733494,7.810170857596299,6.050000042862489,-0.023706362922983004,-0.6760035519217205,-0.6760035519217205,-0.0965719359888172,-0.1139545033942669,0.21964625387353906,0.2575636221373178,270.5842789228207,1.335119017365571,266.629377382465,0.4611043705838625,0.0,0.0,0.14052242848432167,0.013689253935660506,0.08590610426133272,0.9963032375991965,0.5523778115756528,0.002922697345606811,2017.1823587710605,4.977205153617442,0.0867594046595152,0.9962292937387087,-0.21489412886843165,17.890981169474728,46.14568880079286,NV_Baker_5_W,39.01,-114.21
2023-01-06,0.134,,0.2294464023949588,271.710749682338,,,,,,,0.0,0.14783565674306487,0.2294464023949588,271.710749682338,0.14052242848432167,0.3809984425932753,-10.450206780432637,-18.236671275105955,0.0903540747483209,0.015010267851710056,0.14783565674306487,0.2166917133562538,-0.009359509551511772,-0.08161074565189394,-0.009359509551511769,0.01871901910302306,0.05615705730907064,-0.0595403168673502,-0.0595403168673502,-0.06551656686058241,0.00011720815014237829,-0.009359509551511772,36.316079222041296,8.800000000000004,9.000000000000002,41.521326373403625,38.825264645660724,29.32316695016641,43.18896334947148,43.32586663761136,5.648650182552598,0.13078920200182395,-23.591415938477816,40.35119913560144,7.786464494673318,6.019083507195425,-0.023706362922981228,-0.6997099148447017,-0.6997099148447017,-0.09995855926352881,-0.1183711513467046,0.04283777250019022,0.055466853915425926,270.86589661270006,1.335471410419359,266.629377382465,0.4611043705838625,0.0,0.0,0.14052242848432167,0.01642710472279261,0.1030313790431788,0.9946781061893646,0.5965680365017051,0.003559617467864539,2017.1823587710605,4.977205153617442,0.0867594046595152,0.9962292937387087,-0.21489412886843165,17.890981169474728,46.14568880079286,NV_Baker_5_W,39.01,-114.21
