n,r2,rmse,mae,ubrmse,bias,pearson_r,med_ae,p90_ae,station_id,strategy,seed
30,-61.96872713735604,0.060576195351605785,0.057949904365906434,0.01845033692859263,-0.057698011321858554,-0.4267302899159814,0.05848328168201299,0.08222038144821996,ECE_BBG_Lost_Meadow,zero_filled_existing_policy,42
30,-97.06839312649434,0.05547328921311648,0.05338565416564145,0.019792621397698332,-0.05182217627936365,0.7083802593317369,0.05178852693441699,0.07159984331090638,ECE_BBG_Main_St,zero_filled_existing_policy,42
30,-2.371084184284956,0.04757012564388048,0.03871332446857835,0.028472217040633095,0.03810839422706837,0.3443885306731955,0.031631141302027446,0.08268410780550377,ECE_Renton_Garden_North,zero_filled_existing_policy,42
30,-102.20887003731504,0.045911252666959036,0.042641162277268246,0.020777849318201633,-0.04094049461302906,0.6984623388736098,0.04228449007869322,0.06644282622762172,ECE_Renton_Garden_Shed,zero_filled_existing_policy,42
30,-1616.4211370531646,0.10024448549597631,0.09798034821554137,0.021185094663802327,-0.09798034821554137,0.6279080716803259,0.09535609582471355,0.1244361281575717,ECE_Renton_Home,zero_filled_existing_policy,42
30,-69.78883234001204,0.06422763193981736,0.06203649210238058,0.01663317023985263,-0.06203649210238058,-0.4429265149262909,0.06324148827870955,0.08187911478506174,ECE_BBG_Lost_Meadow,native_missing_existing_training,42
30,-121.17188090168179,0.061916303149791886,0.060375988932189956,0.013724742481992371,-0.060375988932189956,0.7183844181226058,0.06242967165724116,0.07284425512821271,ECE_BBG_Main_St,native_missing_existing_training,42
30,-1.3864365467451867,0.04002436451339942,0.03190518835616115,0.02528226270427456,0.031028324918588743,0.422670861692439,0.024395857032318585,0.06975409597799928,ECE_Renton_Garden_North,native_missing_existing_training,42
30,-126.83482647146467,0.05109580243519361,0.04801748857019096,0.017467163991556237,-0.04801748857019096,0.699826232335902,0.04343667598581002,0.07172602323495457,ECE_Renton_Garden_Shed,native_missing_existing_training,42
30,-1829.3020150260118,0.10663758789453782,0.10511253421112013,0.01797026164754932,-0.10511253421112013,0.6630521059272724,0.09724107036399349,0.13114467957957252,ECE_Renton_Home,native_missing_existing_training,42
30,-51.90802171615059,0.05552649970601737,0.052440655493308425,0.019424327187598546,-0.052018147630528595,-0.534489111018634,0.05179178991993537,0.07911738792106335,ECE_BBG_Lost_Meadow,training_month_climatology,42
30,-66.72950926091143,0.046100788369656004,0.04403823186883925,0.01797288489597891,-0.042453010456500066,0.7373508758210039,0.042862975842930875,0.060817825349022046,ECE_BBG_Main_St,training_month_climatology,42
30,-3.6212571988271165,0.05569671350461682,0.048592528881272426,0.027219295217512013,0.048592528881272426,0.3553007532987631,0.04181982629782016,0.09707198490791628,ECE_Renton_Garden_North,training_month_climatology,42
30,-61.655231060175424,0.03577167684541639,0.03220651164750941,0.018767250348464135,-0.030453295038320106,0.6874073021823273,0.027685837829071247,0.05511647263919528,ECE_Renton_Garden_Shed,training_month_climatology,42
30,-1283.4110262930822,0.0893307430823075,0.087204455779037,0.019374327134618383,-0.087204455779037,0.6204137075470523,0.08245654428410037,0.11467990992405692,ECE_Renton_Home,training_month_climatology,42
