strategy,rmse_mean,rmse_std,mae_mean,bias_mean,ubrmse_mean,r2_mean,pearson_r_mean,rmse_change_vs_zero
zero_filled_existing_policy,0.07450416264412611,0.0072521287264893045,0.06709256277405139,-0.055492500459720984,0.049305848856762265,-1.5266269049304584,0.08998683013957967,0.0
native_missing_existing_training,0.07253918140660914,0.003957736010996702,0.06502625675643794,-0.05419493256317605,0.048075345441463455,-1.3827522379791168,0.11734204838291051,-0.001964981237516969
training_month_climatology,0.06933544790574239,0.007528402527854791,0.0625132964307292,-0.0484856957327031,0.04897376989911357,-1.1922400890786666,0.08749166394466809,-0.00516871473838372
no_smap_retrained,0.07062478273876215,0.004368984247083099,0.06333651763365425,-0.05078696644611188,0.04897582574891765,-1.2601766837431398,0.10409379572122276,-0.0038793799053639666
block_masked_retrained,0.07012051827487602,0.01125962857058382,0.06279004478829066,-0.048458752620290015,0.04959399761643511,-1.2670343392096572,0.07991666375031933,-0.004383644369250095
