id,group,track,Configuration,year,R2,RMSE,ubRMSE,Bias,MAE,Med|Err|,Pearson
0,SR,single,SR 8.4-eval Baseline (d9 LR=0.005 MCW=8 L2=0.75 L1=0.03 Est=2500),2023,0.7507480683026232,0.05165164638512805,0.046498043483754414,-0.02249054306972921,0.040660192581025434,0.03271248322725297,0.8936867517722554
0,SR,single,SR 8.4-eval Baseline (d9 LR=0.005 MCW=8 L2=0.75 L1=0.03 Est=2500),2024,0.7700773425497185,0.04570392407929831,0.045562800862250716,-0.0035888515070630284,0.03591253750006418,0.030227718710899354,0.8854827626416439
0,SR,single,SR 8.4-eval Baseline (d9 LR=0.005 MCW=8 L2=0.75 L1=0.03 Est=2500),2025,0.8135820861796677,0.04558729673194837,0.045366769120427225,-0.0044786027128185715,0.03408616180143997,0.027579528510570536,0.903880130074984
1,SR,single,SR Lean Ref (d9 LR=0.005 MCW=8 L2=0.75 L1=0.03 Est=1000),2023,0.7487831964669447,0.051854833654222526,0.04664338296086066,-0.022656535513959474,0.04089336881698295,0.03301763188838958,0.8928135796910279
1,SR,single,SR Lean Ref (d9 LR=0.005 MCW=8 L2=0.75 L1=0.03 Est=1000),2024,0.7711324740783295,0.04559893420015621,0.04544760677094663,-0.003711850817026139,0.03598173696459566,0.030520157277584087,0.8850005427724719
1,SR,single,SR Lean Ref (d9 LR=0.005 MCW=8 L2=0.75 L1=0.03 Est=1000),2025,0.8105047688625163,0.04596202562737558,0.04574786600688718,-0.004431766685654709,0.03442343274660477,0.02798828470706939,0.9025468484042988
2,SR,single,SR 1.5 SOTA Params (d9 LR=0.005 MCW=8 L2=0.75 L1=0.03 Est=2500),2023,0.7507480683026232,0.05165164638512805,0.046498043483754414,-0.02249054306972921,0.040660192581025434,0.03271248322725297,0.8936867517722554
2,SR,single,SR 1.5 SOTA Params (d9 LR=0.005 MCW=8 L2=0.75 L1=0.03 Est=2500),2024,0.7700773425497185,0.04570392407929831,0.045562800862250716,-0.0035888515070630284,0.03591253750006418,0.030227718710899354,0.8854827626416439
2,SR,single,SR 1.5 SOTA Params (d9 LR=0.005 MCW=8 L2=0.75 L1=0.03 Est=2500),2025,0.8135820861796677,0.04558729673194837,0.045366769120427225,-0.0044786027128185715,0.03408616180143997,0.027579528510570536,0.903880130074984
3,SR,single,SR MAE Objective,2023,0.7399180670187498,0.05276184756599428,0.047676062348032455,-0.022601009657932006,0.04195339544670686,0.03620071870088577,0.8875106956222345
3,SR,single,SR MAE Objective,2024,0.7583825291735271,0.04685185293653417,0.04627032805445037,-0.007358863751817732,0.03676183853671594,0.02902817589044572,0.8776626932707589
3,SR,single,SR MAE Objective,2025,0.7976478752775958,0.047495657324338254,0.047086055135697934,-0.006224216852555807,0.034682403845887104,0.026058282077312464,0.899087100775987
