id,group,track,Configuration,R2,RMSE,ubRMSE,Bias,MAE,Med|Err|,Pearson,Train Time (s),Inference Time (s)
398,TE,two_regime,TE MCW=9 L2=0.5 L1=0.03 (d9 LR0.005),0.8152409472694353,0.04378634703734379,0.04329777611408904,-0.00652278854853707,0.0337983494720025,0.027478692591190346,0.9054914008203567,28.046221310272813,0.010179509408771992
353,TD,two_regime,TD d=10 LR=0.008 Est=1500 MCW=8,0.8151277751508931,0.04379975540617232,0.04331839372516113,-0.0064757500501827865,0.03367919902696621,0.02727712388336659,0.9054806975467413,47.347615614533424,0.017231138423085213
357,TD,two_regime,TD d=10 LR=0.008 Est=2000 MCW=8,0.8151169171840144,0.04380104161698946,0.043319920569560674,-0.006474235752596323,0.03367937857963122,0.027278258115053185,0.90547916049336,62.26008925586939,0.020210775546729565
361,TD,two_regime,TD d=10 LR=0.008 Est=3000 MCW=8,0.8151009737009463,0.043802930178397974,0.043321487408658245,-0.0064765284616894025,0.03368335078949969,0.027338983118534083,0.905470391736287,83.2984545910731,0.025409416295588017
349,TD,two_regime,TD d=10 LR=0.008 Est=1000 MCW=8,0.8150308228405084,0.043811238826370454,0.043332677908098645,-0.006457838091362278,0.03369662959911041,0.02723027968406677,0.9053861595024789,31.523017305880785,0.01335712056607008
259,TA,two_regime,TA d=10 LR=0.008 MCW=10 Est=750,0.8149901923958518,0.04381605036416209,0.04331101330211921,-0.006633430203027864,0.033729887387788995,0.027441136360168455,0.9054128628109351,24.168284380808473,0.010547338053584099
200,TR,two_regime,TR 8.4-eval Baseline (d9 LR=0.005 MCW=8 L2=0.75 L1=0.03 Est=2500),0.8149597722232315,0.04381965243544501,0.04333702538939057,-0.006485689628907558,0.03371950968175316,0.02742869168519975,0.9055941114990778,66.4533675191924,0.021855522878468037
202,TR,two_regime,TR 1.5 SOTA Params (d9 LR=0.005 MCW=8 L2=0.75 L1=0.03 Est=2500),0.8149597722232315,0.04381965243544501,0.04333702538939057,-0.006485689628907558,0.03371950968175316,0.02742869168519975,0.9055941114990778,66.37082047946751,0.021140762604773045
358,TD,two_regime,TD d=9 LR=0.005 Est=3000 MCW=8,0.8149333381442483,0.043822782270513116,0.043341393678503176,-0.00647764154100886,0.03372108309559321,0.02746367287635801,0.9055787665756216,80.18979947455227,0.0255080359056592
345,TD,two_regime,TD d=10 LR=0.008 Est=800 MCW=8,0.8149047790225376,0.043826163462673665,0.04334481992848488,-0.006477591313459991,0.03372867677067026,0.027142170190811162,0.905274364111916,25.727732667699456,0.010240545496344566
354,TD,two_regime,TD d=9 LR=0.005 Est=2000 MCW=8,0.8148574405882408,0.043831767414293635,0.04334957656868917,-0.0064836753447475364,0.03373356039546588,0.027452919721603405,0.9055246241902397,57.90926349069923,0.01947944611310959
393,TE,two_regime,TE Est=2000 d9 LR=0.005 MCW=8,0.8148574405882408,0.043831767414293635,0.04334957656868917,-0.0064836753447475364,0.03373356039546588,0.027452919721603405,0.9055246241902397,39.89720074273646,0.01275116391479969
268,TB,two_regime,TB L2=0.25 L1=0.03 (d9 LR0.005 MCW8),0.8148446614488039,0.04383328009350724,0.043358053549479136,-0.006437051821785928,0.03380101392285341,0.027393750846385942,0.9052897339136791,30.370747045613825,0.01168539933860302
341,TD,two_regime,TD d=10 LR=0.008 Est=500 MCW=8,0.8148382488126006,0.04383403914384654,0.04334938978996597,-0.006500260956443596,0.03396032747642286,0.0275281993150711,0.9049604192431412,16.3540873946622,0.009782337583601475
258,TA,two_regime,TA d=10 LR=0.008 MCW=8 Est=750,0.8148369013723151,0.043834198635864685,0.04335356332326271,-0.006473447089788595,0.03374456234170051,0.027224752679467206,0.9052065877003038,24.85601673554629,0.010110961273312569
273,TB,two_regime,TB L2=0.5 L1=0.01 (d9 LR0.005 MCW8),0.8148239562342119,0.04383573087917292,0.04336456006517992,-0.006409854293560602,0.03376858242481632,0.02748218834400177,0.9053054619533568,27.030367067083716,0.012725372798740864
333,TC,two_regime,TC sub=1.0 col=0.7 (d9 LR0.005 MCW8),0.8147048032449571,0.04384983183498178,0.04335283614594475,-0.006583262873305923,0.03400304037998135,0.027632083952426903,0.905033031575379,30.363182538188994,0.016167480498552322
267,TB,two_regime,TB L2=0.25 L1=0.01 (d9 LR0.005 MCW8),0.8146960241539432,0.04385087060207264,0.043356205406920076,-0.006567975736303629,0.033824766096612294,0.02769544517993927,0.9053657422064699,31.088624145835638,0.011862698942422867
350,TD,two_regime,TD d=9 LR=0.005 Est=1500 MCW=8,0.8146452356598114,0.04385687955868461,0.043373331799028844,-0.00649461109507885,0.03376709206629871,0.02728736466169357,0.9053784627591245,44.79597700946033,0.01561063714325428
272,TB,two_regime,TB L2=0.5 L1=0.0 (d9 LR0.005 MCW8),0.8146355336925242,0.043858027337228454,0.043383751951354535,-0.006432466753619493,0.03377548212524267,0.02760284835100174,0.9053049001180102,27.47220855858177,0.011151114478707314
