id,group,track,Configuration,R2,RMSE,ubRMSE,Bias,MAE,Med|Err|,Pearson,Train Time (s),Inference Time (s)
114,SC,single,SC sub=0.8 col=0.7 (d9 LR0.005 MCW8),0.7854160013647118,0.04718832026339312,0.046148382255390114,-0.00985212591543028,0.036753041088148905,0.030242449283599863,0.8916183648383625,14.688414631411433,1.3662610808387399
119,SC,single,SC sub=0.85 col=0.7 (d9 LR0.005 MCW8),0.7834997533101851,0.047398549240691375,0.04632844434862048,-0.01001487469093992,0.0368197298242809,0.029890878200531018,0.8907375978607373,16.880909052677453,0.9646956576034427
124,SC,single,SC sub=0.9 col=0.7 (d9 LR0.005 MCW8),0.783407665263545,0.04740862861896943,0.04630597874212111,-0.010165352930817356,0.0369075485279778,0.030318809509277338,0.8908278971242216,16.952319249510765,0.7659139120951295
115,SC,single,SC sub=0.8 col=0.75 (d9 LR0.005 MCW8),0.7831080406527551,0.04744140882500554,0.04636960099617477,-0.010027331426091421,0.0368164592436253,0.03002185320854188,0.890610888181017,15.361976375803351,1.072975903749466
128,SC,single,SC sub=0.95 col=0.7 (d9 LR0.005 MCW8),0.782542101240367,0.04750326328834645,0.04646866153813323,-0.009860198634138097,0.03695866247709964,0.03039884507656097,0.8900872769160326,17.158762408420444,0.7650220757350326
160,SD,single,SD d=10 LR=0.005 Est=3000 MCW=8,0.7824663829889418,0.04751153282236573,0.04652836915314124,-0.009615436301517698,0.03673674663407925,0.03001088076829911,0.8901052323745007,49.99177356529981,2.22958620544523
57,SA,single,SA d=10 LR=0.008 MCW=6 Est=750,0.7823100497035804,0.04752860213815526,0.04652445397849642,-0.009718189273956946,0.03674917201231658,0.0301520379781723,0.8899070007048635,16.18953199312091,0.9657682189717889
174,SE,single,SE d=11 LR=0.003 MCW=8 Est=1500,0.7822951802914635,0.04753022534194518,0.04666876621542287,-0.009008250748726262,0.03687122529743526,0.030219299197196958,0.8889849928430924,30.005233963020146,0.6796570690348744
175,SE,single,SE d=11 LR=0.003 MCW=12 Est=1500,0.7822685409967413,0.04753313325402451,0.046626175399192,-0.009241132281702626,0.036814499761420795,0.029754907310009,0.8892492565670078,28.15996972285211,1.0784856993705034
156,SD,single,SD d=10 LR=0.005 Est=2000 MCW=8,0.7822323542728751,0.04753708306658952,0.04654939910556131,-0.009639901942124985,0.0367622694781292,0.029956745266914386,0.8899914142702061,36.745200699195266,2.0047069434076548
177,SE,single,SE d=11 LR=0.005 MCW=12 Est=1000,0.7821582273339482,0.047545173062290384,0.0466330793994388,-0.009268192271028396,0.03679342596289164,0.029796544156968585,0.8892992155153696,19.460201270878315,1.0266836574301124
64,SA,single,SA d=10 LR=0.01 MCW=10 Est=500,0.7820993548813715,0.04755159724765463,0.04655226823361711,-0.009697459649332878,0.03679125681279559,0.02966098082065581,0.8897353082906476,9.580524825491011,0.48087393306195736
62,SA,single,SA d=10 LR=0.01 MCW=6 Est=500,0.7820662717860648,0.047555206907267576,0.04661594380371003,-0.009404864979816702,0.03687083223544939,0.030411758065223685,0.8893921259097639,9.778803584165871,0.7521274844184518
133,SC,single,SC sub=1.0 col=0.7 (d9 LR0.005 MCW8),0.7819147424086508,0.047571736608302065,0.04651680838245391,-0.009962763817056875,0.03688478323306517,0.030128718018531814,0.8898384156527364,17.250546441413462,0.7940646354109049
152,SD,single,SD d=10 LR=0.005 Est=1500 MCW=8,0.7818939693022033,0.04757400221127799,0.04658419796408251,-0.009653920845687385,0.03680196556015407,0.030013924896717073,0.8897872233034041,29.190311045385897,1.4597951024770737
176,SE,single,SE d=11 LR=0.005 MCW=8 Est=1000,0.7818499656504937,0.0475788010796048,0.04671139139113162,-0.0090436842860502,0.03681988848099355,0.030008821249008173,0.8888452086657186,20.56728556379676,1.0875379396602511
125,SC,single,SC sub=0.9 col=0.75 (d9 LR0.005 MCW8),0.7817641872535995,0.04758815434920228,0.04643640791510208,-0.010406366055875202,0.03698507139086723,0.030251500725746144,0.8902667702793691,16.818906435742974,1.3872524565085769
47,SA,single,SA d=10 LR=0.003 MCW=6 Est=1500,0.7815014313960658,0.04761679379359075,0.04660124204525108,-0.009781783634581771,0.037004884073917055,0.03052208039164544,0.8893439924238588,33.313107036054134,0.7918458161875606
134,SC,single,SC sub=1.0 col=0.75 (d9 LR0.005 MCW8),0.7814740395933886,0.04761977841026882,0.046541120873781615,-0.0100780635165754,0.036854559483138274,0.0301567887365818,0.8898414903628425,17.405268885195255,0.402969385497272
148,SD,single,SD d=10 LR=0.005 Est=1000 MCW=8,0.7812933449958848,0.047639462247061136,0.04664221118424371,-0.009696519952733348,0.03693505202634457,0.03018489789962768,0.8892867753522693,20.2561839427799,1.118305324576795
