id,group,track,Configuration,R2,RMSE,ubRMSE,Bias,MAE,Med|Err|,Pearson,Train Time (s),Inference Time (s)
0,SR,single,SR 8.4-eval Baseline (d9 LR=0.005 MCW=8 L2=0.75 L1=0.03 Est=2500),0.7792302313632956,0.047863632203734,0.04668684566577206,-0.010548257133587516,0.0370592410065909,0.030144724398851394,0.8894318695766398,37.59353444445878,2.1196684753522277
1,SR,single,SR Lean Ref (d9 LR=0.005 MCW=8 L2=0.75 L1=0.03 Est=1000),0.7778675915671358,0.04801111743322628,0.04681803750118668,-0.010636670592839171,0.03726519036857788,0.030430923700332638,0.8885062193642328,18.000056387856603,1.2272339751943946
2,SR,single,SR 1.5 SOTA Params (d9 LR=0.005 MCW=8 L2=0.75 L1=0.03 Est=2500),0.7792302313632956,0.047863632203734,0.04668684566577206,-0.010548257133587516,0.0370592410065909,0.030144724398851394,0.8894318695766398,37.60009954776615,2.097250989638269
3,SR,single,SR MAE Objective,0.7666430409318175,0.04920919150476306,0.04761408352881358,-0.012427532938732748,0.03799161653388348,0.03082067620754242,0.8840406860094611,25.07261896505952,0.9219091618433595
4,SR,single,SR MSE Objective Est=1000,0.7774152265034449,0.048059979070122966,0.046868683196790405,-0.010634290089008038,0.03730240767031143,0.030452245533466343,0.8881931420997924,18.017337534576654,1.2231477331370115
5,SR,single,SR MAPE Objective,0.7666430409318175,0.04920919150476306,0.04761408352881358,-0.012427532938732748,0.03799161653388348,0.03082067620754242,0.8840406860094611,25.116410959511995,0.8910354059189558
6,SA,single,SA d=8 LR=0.003 MCW=4 Est=1500,0.7772650321994206,0.04807619113557527,0.04673185082243848,-0.011289564807917863,0.03727200910693704,0.03050993227958679,0.8889069787411047,21.885739437304437,1.3186899116262794
7,SA,single,SA d=8 LR=0.003 MCW=6 Est=1500,0.778450751522499,0.04794805468336388,0.04661352163544501,-0.011233679193602674,0.03718895870811134,0.030483809918165197,0.8894988913400542,21.928728273138404,1.3326183268800378
8,SA,single,SA d=8 LR=0.003 MCW=8 Est=1500,0.7781064989777745,0.04798529207619419,0.046669183315208466,-0.011161343288480152,0.037259560275230884,0.0305532267689705,0.889226597088916,18.917293103411794,1.1228466341271996
9,SA,single,SA d=8 LR=0.003 MCW=10 Est=1500,0.7781274754543503,0.04798302390218211,0.04665411361130695,-0.011214466744942694,0.037247897568135735,0.0304812722802162,0.8893217875576942,18.577526916749775,1.1384328957647085
10,SA,single,SA d=8 LR=0.003 MCW=15 Est=1500,0.7774780837310054,0.048053192598842935,0.04672326157951604,-0.011227027530209622,0.03720505351107961,0.030292687878012647,0.8890699468170771,17.406606926582754,0.3181126769632101
11,SA,single,SA d=8 LR=0.005 MCW=4 Est=1000,0.7769759928342368,0.04810737484845222,0.04682348988012613,-0.011039941577239696,0.03726444075714875,0.03064508217573164,0.8886343884375512,13.020869681611657,1.1114441202953458
12,SA,single,SA d=8 LR=0.005 MCW=6 Est=1000,0.7772049701804415,0.04808267273677384,0.04676509013247171,-0.011178987510067906,0.03726654798572832,0.030578643918037413,0.8889437785371054,12.940781941637397,0.5527957621961832
13,SA,single,SA d=8 LR=0.005 MCW=8 Est=1000,0.7770244197895085,0.048102151598723324,0.04681594659265137,-0.011049168868079284,0.03729972647758049,0.030286648750305165,0.8886699997815023,12.861164518631995,0.3816251251846552
14,SA,single,SA d=8 LR=0.005 MCW=10 Est=1000,0.776655546156878,0.04814192340473636,0.04681142168317361,-0.01123991060204511,0.037320204971125204,0.030343682587146745,0.8887039945966605,11.167446236126125,1.0379930613562465
15,SA,single,SA d=8 LR=0.005 MCW=15 Est=1000,0.7765104961867045,0.04815755363650499,0.04679477418017876,-0.01137537168182905,0.037212457546681794,0.030336356639862047,0.8888642416348073,10.977627641521394,0.5387600222602487
16,SA,single,SA d=8 LR=0.008 MCW=4 Est=750,0.7765048543558,0.04815816148397676,0.04682863845128028,-0.011237755085489628,0.03722416339552429,0.030234718918800363,0.8887480968720047,8.667162355966866,0.5858638929203153
17,SA,single,SA d=8 LR=0.008 MCW=6 Est=750,0.7773683129468472,0.04806504353550169,0.046751981556605204,-0.011157985038598404,0.03716677414498255,0.030348753303289407,0.8892098817682155,9.224830023944378,0.6945128748193383
18,SA,single,SA d=8 LR=0.008 MCW=8 Est=750,0.7771018397991389,0.04809380002866824,0.046778901223019774,-0.01116906455277811,0.03714591293847048,0.03003815379738807,0.8890816007678191,9.283069518394768,0.6167705096304417
19,SA,single,SA d=8 LR=0.008 MCW=10 Est=750,0.7786090223380474,0.04793092500773441,0.046637450498292626,-0.011059917878949296,0.0370483295942969,0.02989692687988281,0.8897555628376045,9.16920221503824,0.5394028034061193
20,SA,single,SA d=8 LR=0.008 MCW=15 Est=750,0.777516952680604,0.04804899557698781,0.04667893027226291,-0.01139225376416954,0.03703276170557224,0.030025761485099778,0.889611487262293,9.110668895766139,0.4339129636064172
21,SA,single,SA d=8 LR=0.01 MCW=4 Est=500,0.7751793058059357,0.048300763256989405,0.04694664104625723,-0.011356787681764163,0.03743054239519413,0.030678840756416317,0.8880373789069729,6.498234738595784,0.5324712842702866
22,SA,single,SA d=8 LR=0.01 MCW=6 Est=500,0.7755706544054741,0.04825870603172467,0.04691676799303486,-0.011301309192720854,0.037412201344525706,0.030655176162719705,0.888163253579783,6.498102927580476,0.6019822247326374
23,SA,single,SA d=8 LR=0.01 MCW=8 Est=500,0.7769690136715036,0.04810812756242092,0.04679826576298096,-0.011149630375346024,0.037332733696293974,0.0305438306927681,0.8887457952544394,6.534067554399371,0.43946691416203976
24,SA,single,SA d=8 LR=0.01 MCW=10 Est=500,0.77571665046375,0.04824300682127311,0.04688993723649132,-0.011345549563912732,0.03745603687196204,0.03051943728327751,0.8882454858321506,6.589877928607166,0.6750124115496874
25,SA,single,SA d=8 LR=0.01 MCW=15 Est=500,0.776739974304267,0.04813282329608394,0.046716307749407,-0.01159117182915259,0.037171940155631196,0.030357205152511613,0.8892654166243749,6.605819344520569,0.5515978028997779
26,SA,single,SA d=9 LR=0.003 MCW=4 Est=1500,0.7780087003796715,0.04799586556593976,0.04679059441491168,-0.010688469750524194,0.03723029521907879,0.030700796723365786,0.8884779534783268,25.887484783306718,0.9982270989567041
27,SA,single,SA d=9 LR=0.003 MCW=6 Est=1500,0.7794321992534904,0.04784173353347431,0.04664816080926553,-0.010619819143414495,0.037153396763267656,0.03061912420392035,0.889214852636076,25.508212841115892,1.1185236191377044
28,SA,single,SA d=9 LR=0.003 MCW=8 Est=1500,0.7784991942553403,0.04794281236861395,0.04678294959080542,-0.010481835977384238,0.03722761078286252,0.030438641250133514,0.8885826651316808,25.302131469361484,1.168436168693006
29,SA,single,SA d=9 LR=0.003 MCW=10 Est=1500,0.7788823164214023,0.04790133192447345,0.04671363991015926,-0.010600634179462385,0.03716332298448123,0.03023871666193008,0.8889407297151242,24.949327113106847,1.1921099368482828
