feature,importance
SMAP_sm_pm_interp_ema02,0.06459462881088257
V_rollmin_LST_modis_kobs30,0.0637506675720215
D_sin_DOY,0.03403446435928345
G_rain_sum_3d,0.02396031856536865
V_rollmin_G_API_kobs30,0.014731600284576415
V_ema_G_API_kobs7,0.012416658401489259
SMAP_sm_pm_interp_rollmean30,0.009733049869537352
C_lag_G_API_kobs1,0.009659359455108641
V_ema_G_API_kobs14,0.009564921855926514
G_rain_sum_7d,0.008151512145996093
C_lag_LST_modis_kobs30,0.00763559103012085
A_pct_G_API,0.0036537337303161623
V_rollcv_G_API_kobs30,0.003608336448669434
G_DSLR,0.0030994725227355955
V_ema_s2_b11_kobs14,0.0028545880317687984
V_rollmin_G_API_kobs7,0.002701621055603028
V_rollmax_s2_b11_kobs14,0.002475450038909912
G_API,0.0023412966728210446
C_smm_G_API_alpha0.85_n5,0.002245075702667236
V_rollmean_G_API_kobs7,0.0021791028976440433
V_ema_G_API_kobs30,0.0020393276214599612
V_rollmax_G_API_kobs30,0.0019243240356445312
SMAP_ampm_diff_interp,0.001772019863128662
C_lag_LST_modis_kobs6,0.0015777492523193358
V_rollmean_G_API_kobs14,0.0015745043754577636
V_rollcv_LST_modis_kobs30,0.0014120912551879882
V_rollrng_LST_modis_kobs30,0.00129744291305542
V_rollmax_F_NDVI_kobs30,0.0012473988533020018
A_d_G_API_kobs1,0.0011635160446166993
V_rollstd_F_NDVI_kobs14,0.0011365079879760741
V_rollmax_LST_modis_kobs7,0.0008742427825927735
V_ema_LST_modis_kobs14,0.0007563614845275879
V_rollstd_LST_modis_kobs30,0.0007355308532714844
C_lag_G_API_kobs5,0.0007343029975891114
V_rollmean_s2_b11_kobs14,0.0007264304161071777
V_rollcv_G_API_kobs7,0.0007018542289733887
C_smm_LST_modis_alpha0.85_n5,0.000659952163696289
C_lag_G_API_kobs6,0.0005895876884460449
D_z_LST_modis,0.0005725431442260741
V_rollmean_LST_modis_kobs14,0.00042372941970825206
C_lag_LST_modis_kobs5,0.0003713226318359375
V_rollcv_LST_modis_kobs14,0.00035027980804443355
A_d_E_SAR_diff_kobs14,0.00033738613128662107
D_fft_ent_E_SAR_ratio_kobs30,0.00031241416931152347
A_d_E_SAR_diff_kobs30,0.0003123092651367187
V_rollcv_G_API_kobs14,0.0002584624290466309
SMAP_sm_pm_interp_rollrange7,0.0002551603317260742
V_rollrng_F_NDMI_kobs7,0.00019910335540771485
C_lag_s2_b11_kobs30,0.00018568038940429686
V_rollrng_F_NDVI_kobs7,0.00017927885055541993
V_rollcv_F_NDMI_kobs7,0.00015842437744140628
V_rollrng_SMAP_sm_interp_kobs7,0.0001479744911193848
V_rollrng_F_NDVI_kobs14,0.00013429880142211916
V_rollrng_s2_b12_kobs7,0.00013136625289916992
A_grad_SMAP_sm_interp_kobs30,0.00012709379196166993
A_grad_E_SAR_diff_kobs30,0.00011793613433837891
V_ema_LST_modis_kobs7,0.0001101541519165039
A_d_s2_b12_kobs7,8.838653564453124e-05
V_rollcv_F_NDVI_kobs7,7.106781005859376e-05
V_rollstd_F_NDVI_kobs7,6.394147872924803e-05
D_fft_ent_LST_modis_kobs30,6.360769271850585e-05
V_rollstd_F_NDMI_kobs7,6.250858306884766e-05
A_d_s2_b11_kobs5,5.845546722412109e-05
A_grad_E_SAR_diff_kobs14,5.7704448699951165e-05
A_d_F_NDVI_kobs7,5.2180290222167965e-05
D_fft_dom_LST_modis_kobs30,4.0705204010009756e-05
A_d_F_NDVI_kobs5,3.998279571533203e-05
A_d_G_API_kobs5,3.942251205444336e-05
A_d_E_SAR_ratio_kobs5,3.085374832153321e-05
A_d_E_SAR_diff_kobs1,2.915620803833008e-05
A_d_F_NDVI_kobs1,2.870798110961914e-05
SMAP_sm_am_interp_rollrange7,2.6214122772216798e-05
A_d_E_SAR_diff_kobs2,2.149343490600586e-05
A_pct_E_SAR_diff,1.9032955169677737e-05
A_grad_F_NDVI_kobs7,1.7657279968261716e-05
A_pct_F_NDVI,1.7473697662353514e-05
V_rollstd_s2_b12_kobs7,1.3434886932373047e-05
SMAP_sm_am_interp_pctchg,1.2679100036621092e-05
A_grad_s2_b12_kobs7,1.2223720550537108e-05
V_rollcv_s2_b12_kobs7,6.44922256469726e-06
A_grad_SMAP_sm_interp_kobs7,5.793571472167969e-06
A_d_s2_b12_kobs2,4.241466522216799e-06
SMAP_sm_interp_pctchg,4.003047943115234e-06
SMAP_sm_am_interp_diff1,3.5858154296875002e-06
A_d_F_NDVI_kobs2,3.2663345336914057e-06
SMAP_sm_interp_rollrange7,2.9039382934570308e-06
A_pct_SMAP_sm_interp,2.4652481079101562e-06
A_d_s2_b12_kobs14,1.3947486877441393e-06
SMAP_sm_interp_diff1,8.106231689453128e-07
SMAP_sm_pm_interp_mask,0.0
SMAP_sm_interp_mask,0.0
G_DSLR_isnan,0.0
SMAP_sm_am_interp_mask,0.0
A_d_E_SAR_ratio_kobs2,-1.2612342834472658e-06
A_d_SMAP_sm_interp_kobs2,-3.6811828613281245e-06
A_d_SMAP_sm_interp_kobs1,-7.526874542236329e-06
SMAP_sm_am_interp_grad7,-7.538795471191406e-06
A_grad_s2_b12_kobs30,-9.541511535644532e-06
SMAP_sm_pm_interp_pctchg,-1.3866424560546876e-05
V_rollstd_E_SAR_diff_kobs7,-1.4672279357910156e-05
SMAP_sm_pm_interp_rollstd7,-1.470804214477539e-05
D_fft_dom_E_SAR_ratio_kobs30,-1.676797866821289e-05
A_d_E_SAR_diff_kobs5,-1.8322467803955077e-05
V_rollrng_s2_b11_kobs7,-2.6271343231201175e-05
V_rollstd_SMAP_sm_interp_kobs7,-3.0322074890136717e-05
A_d_E_SAR_diff_kobs7,-3.1094551086425785e-05
