family,ece_input,policy,seed,deployable,r2,rmse,ubrmse,bias,mae,pearson
Clustering_V0_Full_k2,v3,as_routed,42,True,-11.61360231360881,0.1670972417795569,0.11737611648298066,0.11892996043768556,0.1401993380295501,-0.6686627288529206
Clustering_V0_Full_k2,v3,auto_hard,42,True,-0.5071364980364277,0.05775984347441663,0.05015798279169174,0.028642211514781208,0.04993835624521773,0.11663392051101301
Clustering_V0_Full_k2,v3,auto_soft,42,True,-0.5071388520978009,0.057759888583191955,0.05015797943698962,0.028642308355669843,0.049938414560354284,0.11663382564039668
Clustering_V0_Full_k2,v3,c0_only,42,False,-0.5071364980364277,0.05775984347441663,0.05015798279169174,0.028642211514781208,0.04993835624521773,0.11663392051101301
Clustering_V0_Full_k2,v3,c1_only,42,False,-15.993880318002617,0.1939527723349869,0.05121108799718088,0.18706977939414013,0.18706977939414013,-0.5202385366788618
Clustering_Backbone54_k2,v3,as_routed,42,True,-11.837193255990897,0.1685717338160503,0.08928761020136287,0.14298304831789957,0.1481809948571376,-0.13415965765723592
Clustering_Backbone54_k2,v3,auto_hard,42,True,-0.5071364980364277,0.05775984347441663,0.05015798279169174,0.028642211514781208,0.04993835624521773,0.11663392051101301
Clustering_Backbone54_k2,v3,auto_soft,42,True,-0.5071382559354496,0.05775987715946867,0.050157980286561064,0.028642283830900468,0.049938399792157764,0.11663384966621014
Clustering_Backbone54_k2,v3,c0_only,42,False,-0.5071364980364277,0.05775984347441663,0.05015798279169174,0.028642211514781208,0.04993835624521773,0.11663392051101301
Clustering_Backbone54_k2,v3,c1_only,42,False,-15.993880318002617,0.1939527723349869,0.05121108799718088,0.18706977939414013,0.18706977939414013,-0.5202385366788618
Guarded_Backbone54_k2,v3,as_routed,42,True,-11.837193255990897,0.1685717338160503,0.08928761020136287,0.14298304831789957,0.1481809948571376,-0.13415965765723592
Guarded_Backbone54_k2,v3,auto_hard,42,True,-15.993880318002617,0.1939527723349869,0.05121108799718088,0.18706977939414013,0.18706977939414013,-0.5202385366788618
Guarded_Backbone54_k2,v3,auto_soft,42,True,-15.993867937690368,0.19395270168613346,0.051211084592046416,0.1870697070780209,0.1870697070780209,-0.5202384570557997
Guarded_Backbone54_k2,v3,c0_only,42,False,-15.993880318002617,0.1939527723349869,0.05121108799718088,0.18706977939414013,0.18706977939414013,-0.5202385366788618
Guarded_Backbone54_k2,v3,c1_only,42,False,-0.5071364980364277,0.05775984347441663,0.05015798279169174,0.028642211514781208,0.04993835624521773,0.11663392051101301
Global_Single_54,v3,direct,42,True,-0.5111065402999784,0.057835867845564985,0.05636085715368765,0.012978497230083038,0.04966878221086445,-0.055455208831989324
Clustering_V0_Full_k2,v3,as_routed,7,True,-10.73311963700035,0.16115970492626033,0.11432190943756901,0.11359115949081411,0.13550807687712368,-0.6676159751917538
Clustering_V0_Full_k2,v3,auto_hard,7,True,-0.46389122232113467,0.056925141314812355,0.04983588355119643,0.027511023688386173,0.049450832023876914,0.10840183567447445
Clustering_V0_Full_k2,v3,auto_soft,7,True,-0.4638934065037432,0.056925183782058346,0.049835880755089934,0.02751111662556747,0.04945088775778389,0.10840174926939794
Clustering_V0_Full_k2,v3,c0_only,7,False,-0.46389122232113467,0.056925141314812355,0.04983588355119643,0.027511023688386173,0.049450832023876914,0.10840183567447445
Clustering_V0_Full_k2,v3,c1_only,7,False,-14.718630352395069,0.18653359681221562,0.05055449467706533,0.179552292682797,0.179552292682797,-0.43973020852538175
Clustering_Backbone54_k2,v3,as_routed,7,True,-10.90273179862189,0.1623203752357055,0.08672531426078502,0.1372101457000477,0.1428476894088439,-0.13721075151858567
Clustering_Backbone54_k2,v3,auto_hard,7,True,-0.46389122232113467,0.056925141314812355,0.04983588355119643,0.027511023688386173,0.049450832023876914,0.10840183567447445
Clustering_Backbone54_k2,v3,auto_soft,7,True,-0.46389285336293073,0.05692517302729804,0.04983588146319819,0.027511093089404498,0.049450873643278805,0.10840177115132808
Clustering_Backbone54_k2,v3,c0_only,7,False,-0.46389122232113467,0.056925141314812355,0.04983588355119643,0.027511023688386173,0.049450832023876914,0.10840183567447445
Clustering_Backbone54_k2,v3,c1_only,7,False,-14.718630352395069,0.18653359681221562,0.05055449467706533,0.179552292682797,0.179552292682797,-0.43973020852538175
Guarded_Backbone54_k2,v3,as_routed,7,True,-10.90273179862189,0.1623203752357055,0.08672531426078502,0.1372101457000477,0.1428476894088439,-0.13721075151858567
Guarded_Backbone54_k2,v3,auto_hard,7,True,-14.718630352395069,0.18653359681221562,0.05055449467706533,0.179552292682797,0.179552292682797,-0.43973020852538175
Guarded_Backbone54_k2,v3,auto_soft,7,True,-14.718618969951542,0.1865335292742537,0.050554491967372515,0.17955222328177875,0.17955222328177875,-0.43973001332459427
Guarded_Backbone54_k2,v3,c0_only,7,False,-14.718630352395069,0.18653359681221562,0.05055449467706533,0.179552292682797,0.179552292682797,-0.43973020852538175
Guarded_Backbone54_k2,v3,c1_only,7,False,-0.46389122232113467,0.056925141314812355,0.04983588355119643,0.027511023688386173,0.049450832023876914,0.10840183567447445
Global_Single_54,v3,direct,7,True,-0.5587384078574387,0.058740323287617954,0.05638306832202427,0.016473469170997828,0.0507757767106273,-0.05596446582796252
Clustering_V0_Full_k2,v3,as_routed,13,True,-11.24556073355412,0.1646414007464646,0.11621968850003057,0.11661807254758508,0.13824406910014805,-0.6708708359435894
Clustering_V0_Full_k2,v3,auto_hard,13,True,-0.5093872903829058,0.057802957323671855,0.04987220391597624,0.0292223399461014,0.05084833649866441,0.08793662967135016
Clustering_V0_Full_k2,v3,auto_soft,13,True,-0.5093896778224156,0.05780300303791975,0.0498722016674235,0.02922243420808061,0.05084839441502135,0.08793651821685776
Clustering_V0_Full_k2,v3,c0_only,13,False,-0.5093872903829058,0.057802957323671855,0.04987220391597624,0.0292223399461014,0.05084833649866441,0.08793662967135016
Clustering_V0_Full_k2,v3,c1_only,13,False,-15.395039742191344,0.19050481237261782,0.05143131761447817,0.18343092189040808,0.18343092189040808,-0.4775805774290588
Clustering_Backbone54_k2,v3,as_routed,13,True,-11.415916419362837,0.1657826602232823,0.08823843042592297,0.14034909984277713,0.1460753690549272,-0.14989947016128666
Clustering_Backbone54_k2,v3,auto_hard,13,True,-0.5093872903829058,0.057802957323671855,0.04987220391597624,0.0292223399461014,0.05084833649866441,0.08793662967135016
Clustering_Backbone54_k2,v3,auto_soft,13,True,-0.5093890732071613,0.057802991460862686,0.04987220223686482,0.029222410336415105,0.05084837974781499,0.08793654644250778
Clustering_Backbone54_k2,v3,c0_only,13,False,-0.5093872903829058,0.057802957323671855,0.04987220391597624,0.0292223399461014,0.05084833649866441,0.08793662967135016
Clustering_Backbone54_k2,v3,c1_only,13,False,-15.395039742191344,0.19050481237261782,0.05143131761447817,0.18343092189040808,0.18343092189040808,-0.4775805774290588
Guarded_Backbone54_k2,v3,as_routed,13,True,-11.415916419362837,0.1657826602232823,0.08823843042592297,0.14034909984277713,0.1460753690549272,-0.14989947016128666
Guarded_Backbone54_k2,v3,auto_hard,13,True,-15.395039742191344,0.19050481237261782,0.05143131761447817,0.18343092189040808,0.18343092189040808,-0.4775805774290588
Guarded_Backbone54_k2,v3,auto_soft,13,True,-15.395027935554726,0.19050474377804488,0.051431314584490566,0.18343085150009444,0.18343085150009444,-0.4775804889313073
