family,ece_input,policy,seed,deployable,r2,rmse,ubrmse,bias,mae,pearson
Clustering_V0_Full_k2,v3,as_routed,42,True,-11.61360231360881,0.1670972417795569,0.11737611648298066,0.11892996043768556,0.1401993380295501,-0.6686627288529206
Clustering_V0_Full_k2,v3,soft_static,42,True,-8.198800191137508,0.14269715247369302,0.08218307646439417,0.11665512962123842,0.12394872549576368,-0.6844221038805296
Clustering_V0_Full_k2,v3,auto_hard,42,True,-0.5071364980364277,0.05775984347441663,0.05015798279169174,0.028642211514781208,0.04993835624521773,0.11663392051101301
Clustering_V0_Full_k2,v3,auto_soft,42,True,-0.5071388520978009,0.057759888583191955,0.05015797943698962,0.028642308355669843,0.049938414560354284,0.11663382564039668
Clustering_V0_Full_k2,v3,auto_soft_T2,42,True,-1.2976582624763777,0.07131689583915407,0.049501932712801996,0.051338662719533065,0.0639120253950974,0.09040021037443638
Clustering_V0_Full_k2,v3,auto_equal,42,True,-5.341606702715081,0.11848117872312074,0.04903951423237631,0.10785599545446066,0.10866411491950335,-0.04249670546859633
Clustering_V0_Full_k2,v3,c0_only,42,False,-0.5071364980364277,0.05775984347441663,0.05015798279169174,0.028642211514781208,0.04993835624521773,0.11663392051101301
Clustering_Backbone54_k2,v3,as_routed,42,True,-11.837193255990897,0.1685717338160503,0.08928761020136287,0.14298304831789957,0.1481809948571376,-0.13415965765723592
Clustering_Backbone54_k2,v3,soft_static,42,True,-9.533474721922262,0.15269877138899912,0.08211441844197552,0.12874058050065632,0.1326511618944131,-0.3458923927052814
Clustering_Backbone54_k2,v3,auto_hard,42,True,-0.5071364980364277,0.05775984347441663,0.05015798279169174,0.028642211514781208,0.04993835624521773,0.11663392051101301
Clustering_Backbone54_k2,v3,auto_soft,42,True,-0.5071382559354496,0.05775987715946867,0.050157980286561064,0.028642283830900468,0.049938399792157764,0.11663384966621014
Clustering_Backbone54_k2,v3,auto_soft_T2,42,True,-1.2661125521618923,0.07082563097100834,0.049518238942491105,0.050638068826484826,0.0634798600281326,0.09134918250909234
Clustering_Backbone54_k2,v3,auto_equal,42,True,-5.341606702715081,0.11848117872312074,0.04903951423237631,0.10785599545446066,0.10866411491950335,-0.04249670546859633
Clustering_Backbone54_k2,v3,c0_only,42,False,-0.5071364980364277,0.05775984347441663,0.05015798279169174,0.028642211514781208,0.04993835624521773,0.11663392051101301
Global_Single_54,v3,direct,42,True,-0.5111065402999784,0.057835867845564985,0.05636085715368765,0.012978497230083038,0.04966878221086445,-0.055455208831989324
Clustering_V0_Full_k2,v3,as_routed,7,True,-10.73311963700035,0.16115970492626033,0.11432190943756901,0.11359115949081411,0.13550807687712368,-0.6676159751917538
Clustering_V0_Full_k2,v3,soft_static,7,True,-7.554999836637416,0.137613080534066,0.080603775012211,0.1115365024906923,0.11985734544680483,-0.6825126148270569
Clustering_V0_Full_k2,v3,auto_hard,7,True,-0.46389122232113467,0.056925141314812355,0.04983588355119643,0.027511023688386173,0.049450832023876914,0.10840183567447445
Clustering_V0_Full_k2,v3,auto_soft,7,True,-0.4638934065037432,0.056925183782058346,0.049835880755089934,0.02751111662556747,0.04945088775778389,0.10840174926939794
Clustering_V0_Full_k2,v3,auto_soft_T2,7,True,-1.1950174258473556,0.06970576539031725,0.04928626962423836,0.04929256896507657,0.06280519547976579,0.08472415360181515
Clustering_V0_Full_k2,v3,auto_equal,7,True,-4.920881795139273,0.11448350296668229,0.04886377190582181,0.10353165818559158,0.1044957260511317,-0.028898607965396023
Clustering_V0_Full_k2,v3,c0_only,7,False,-0.46389122232113467,0.056925141314812355,0.04983588355119643,0.027511023688386173,0.049450832023876914,0.10840183567447445
Clustering_Backbone54_k2,v3,as_routed,7,True,-10.90273179862189,0.1623203752357055,0.08672531426078502,0.1372101457000477,0.1428476894088439,-0.13721075151858567
Clustering_Backbone54_k2,v3,soft_static,7,True,-8.7848225075068,0.14717233831762505,0.08012750014243467,0.12344748230240105,0.12781022279159462,-0.3484869021665688
Clustering_Backbone54_k2,v3,auto_hard,7,True,-0.46389122232113467,0.056925141314812355,0.04983588355119643,0.027511023688386173,0.049450832023876914,0.10840183567447445
Clustering_Backbone54_k2,v3,auto_soft,7,True,-0.46389285336293073,0.05692517302729804,0.04983588146319819,0.027511093089404498,0.049450873643278805,0.10840177115132808
Clustering_Backbone54_k2,v3,auto_soft_T2,7,True,-1.1658909185262587,0.0692417449966552,0.04930003863267061,0.04862021638165559,0.062392266486708814,0.08557316502342364
Clustering_Backbone54_k2,v3,auto_equal,7,True,-4.920881795139273,0.11448350296668229,0.04886377190582181,0.10353165818559158,0.1044957260511317,-0.028898607965396023
Clustering_Backbone54_k2,v3,c0_only,7,False,-0.46389122232113467,0.056925141314812355,0.04983588355119643,0.027511023688386173,0.049450832023876914,0.10840183567447445
Global_Single_54,v3,direct,7,True,-0.5587384078574387,0.058740323287617954,0.05638306832202427,0.016473469170997828,0.0507757767106273,-0.05596446582796252
Clustering_V0_Full_k2,v3,as_routed,13,True,-11.24556073355412,0.1646414007464646,0.11621968850003057,0.11661807254758508,0.13824406910014805,-0.6708708359435894
Clustering_V0_Full_k2,v3,soft_static,13,True,-7.962962151695576,0.14085604673223273,0.08207284080259013,0.114474777587142,0.12242601007506354,-0.6845583606884867
Clustering_V0_Full_k2,v3,auto_hard,13,True,-0.5093872903829058,0.057802957323671855,0.04987220391597624,0.0292223399461014,0.05084833649866441,0.08793662967135016
Clustering_V0_Full_k2,v3,auto_soft,13,True,-0.5093896778224156,0.05780300303791975,0.0498722016674235,0.02922243420808061,0.05084839441502135,0.08793651821685776
Clustering_V0_Full_k2,v3,auto_soft_T2,13,True,-1.294274605984259,0.07126436392236044,0.04945143447833459,0.05131437608793084,0.06442716823781082,0.057273619716193755
Clustering_V0_Full_k2,v3,auto_equal,13,True,-5.207236055618693,0.11721922476318877,0.04934566051494506,0.10632663091825473,0.10730354452848417,-0.08987866861682468
Clustering_V0_Full_k2,v3,c0_only,13,False,-0.5093872903829058,0.057802957323671855,0.04987220391597624,0.0292223399461014,0.05084833649866441,0.08793662967135016
Clustering_Backbone54_k2,v3,as_routed,13,True,-11.415916419362837,0.1657826602232823,0.08823843042592297,0.14034909984277713,0.1460753690549272,-0.14989947016128666
Clustering_Backbone54_k2,v3,soft_static,13,True,-9.237631890349128,0.15053915326764222,0.08166275635128709,0.12646434632594672,0.1309013666045294,-0.35957173465879066
Clustering_Backbone54_k2,v3,auto_hard,13,True,-0.5093872903829058,0.057802957323671855,0.04987220391597624,0.0292223399461014,0.05084833649866441,0.08793662967135016
Clustering_Backbone54_k2,v3,auto_soft,13,True,-0.5093890732071613,0.057802991460862686,0.04987220223686482,0.029222410336415105,0.05084837974781499,0.08793654644250778
Clustering_Backbone54_k2,v3,auto_soft_T2,13,True,-1.263305396753529,0.07078174961948108,0.04946121887183541,0.05063243927471106,0.06400310966527398,0.058376620304229444
Clustering_Backbone54_k2,v3,auto_equal,13,True,-5.207236055618693,0.11721922476318877,0.04934566051494506,0.10632663091825473,0.10730354452848417,-0.08987866861682468
Clustering_Backbone54_k2,v3,c0_only,13,False,-0.5093872903829058,0.057802957323671855,0.04987220391597624,0.0292223399461014,0.05084833649866441,0.08793662967135016
Global_Single_54,v3,direct,13,True,-0.6153786430169275,0.059798030786048756,0.05735588212108861,0.016914705791145852,0.05203449217629217,-0.0855890960750126
Clustering_V0_Full_k2,v3,as_routed,101,True,-11.782169713168823,0.16821007475260114,0.11797925123910419,0.11989797965493829,0.14104535756580688,-0.6679409586694414
Clustering_V0_Full_k2,v3,soft_static,101,True,-8.345584458941143,0.14383114819216516,0.0826114669469654,0.11774015763174016,0.12480252506748016,-0.6821933333478936
Clustering_V0_Full_k2,v3,auto_hard,101,True,-0.5547826512733456,0.05866574052608475,0.050683841249346405,0.029543482321570606,0.050690860232439225,0.1028471568882957
Clustering_V0_Full_k2,v3,auto_soft,101,True,-0.5547850643409022,0.05866578605152849,0.050683837323345436,0.029543579458562074,0.050690919970746595,0.10284706535864467
Clustering_V0_Full_k2,v3,auto_soft_T2,101,True,-1.360991808141577,0.07229311765198353,0.04990018819702064,0.05230933069487178,0.0647649202845079,0.07749730603801719
Clustering_V0_Full_k2,v3,auto_equal,101,True,-5.460153638820026,0.1195834661638634,0.049186588296674376,0.10899947206981012,0.10978700096130353,-0.05234079961325629
Clustering_V0_Full_k2,v3,c0_only,101,False,-0.5547826512733456,0.05866574052608475,0.050683841249346405,0.029543482321570606,0.050690860232439225,0.1028471568882957
Clustering_Backbone54_k2,v3,as_routed,101,True,-12.028037209437052,0.16982014571713414,0.0892537196922693,0.14447371876048076,0.14956916072453436,-0.13520072579206432
Clustering_Backbone54_k2,v3,soft_static,101,True,-9.696908254231051,0.15387882078351067,0.08217734778577172,0.13009832818533879,0.13392543286478248,-0.34972263681818805
Clustering_Backbone54_k2,v3,auto_hard,101,True,-0.5547826512733456,0.05866574052608475,0.050683841249346405,0.029543482321570606,0.050690860232439225,0.1028471568882957
Clustering_Backbone54_k2,v3,auto_soft,101,True,-0.5547844532353421,0.058665774522284865,0.050683838317597193,0.02954355485880523,0.050690904842134794,0.10284708853836479
Clustering_Backbone54_k2,v3,auto_soft_T2,101,True,-1.32890627082522,0.07180021078189831,0.049920232941180316,0.05160659465052236,0.0643275887777444,0.07841574922451561
Clustering_Backbone54_k2,v3,auto_equal,101,True,-5.460153638820026,0.1195834661638634,0.049186588296674376,0.10899947206981012,0.10978700096130353,-0.05234079961325629
Clustering_Backbone54_k2,v3,c0_only,101,False,-0.5547826512733456,0.05866574052608475,0.050683841249346405,0.029543482321570606,0.050690860232439225,0.1028471568882957
Global_Single_54,v3,direct,101,True,-0.5484324733966806,0.05854581409972286,0.056752138118781575,0.014380791617503058,0.05023567895742042,-0.06172864301280209
Clustering_V0_Full_k2,v3,as_routed,123,True,-11.81569120160557,0.1684304974262621,0.11859781962334837,0.11959677940415372,0.1411311923272675,-0.6730529022698173
Clustering_V0_Full_k2,v3,soft_static,123,True,-8.328087922305738,0.14369644683023133,0.08272034745604306,0.11749899126539347,0.12475766022010601,-0.6934702767957864
Clustering_V0_Full_k2,v3,auto_hard,123,True,-0.5033275729672932,0.057686810244471705,0.050238133997325955,0.028353094516267666,0.04990613188808959,0.10305859529840451
Clustering_V0_Full_k2,v3,auto_soft,123,True,-0.5033299546311172,0.057686855939946574,0.05023813079152683,0.02835319316778258,0.04990619096250975,0.10305850656726445
Clustering_V0_Full_k2,v3,auto_soft_T2,123,True,-1.308324952378657,0.071482245573507,0.049599890209550294,0.05147389943876138,0.06406743967698017,0.0787095263535621
Clustering_V0_Full_k2,v3,auto_equal,123,True,-5.457903708998296,0.11956264020117975,0.049028292014694046,0.10904793218579915,0.10975668410181981,-0.04023085921139914
Clustering_V0_Full_k2,v3,c0_only,123,False,-0.5033275729672932,0.057686810244471705,0.050238133997325955,0.028353094516267666,0.04990613188808959,0.10305859529840451
Clustering_Backbone54_k2,v3,as_routed,123,True,-12.157363091184287,0.17066094412342356,0.09057393442647729,0.14464273314482995,0.1500548471200319,-0.1359949850623489
Clustering_Backbone54_k2,v3,soft_static,123,True,-9.741679307325063,0.15420050827802095,0.08289321610874992,0.1300250417279229,0.13408840095061342,-0.34815303734372505
Clustering_Backbone54_k2,v3,auto_hard,123,True,-0.5033275729672932,0.057686810244471705,0.050238133997325955,0.028353094516267666,0.04990613188808959,0.10305859529840451
Clustering_Backbone54_k2,v3,auto_soft,123,True,-0.5033293514784707,0.057686844367642306,0.05023813160338894,0.028353168184475575,0.04990617600202611,0.10305852903826607
Clustering_Backbone54_k2,v3,auto_soft_T2,123,True,-1.276092893011815,0.070981423621192,0.04961616596835663,0.05076020659819662,0.06362973363034413,0.07958404428484145
Clustering_Backbone54_k2,v3,auto_equal,123,True,-5.457903708998296,0.11956264020117975,0.049028292014694046,0.10904793218579915,0.10975668410181981,-0.04023085921139914
Clustering_Backbone54_k2,v3,c0_only,123,False,-0.5033275729672932,0.057686810244471705,0.050238133997325955,0.028353094516267666,0.04990613188808959,0.10305859529840451
Global_Single_54,v3,direct,123,True,-0.5328127707598069,0.05824977727333271,0.056321397438248134,0.014863941031764239,0.050401680600164166,-0.06816997391411185
