regime,R2,RMSE,ubRMSE,Bias
dry,0.3237244282354157,0.045613486436538606,0.041937398136538545,0.0179400329552023
transition,0.23573966651585743,0.028372989944461056,0.028367598754799578,0.0005530816171068713
wet,-0.34959042958551856,0.016786413255591284,0.014785472538432032,-0.007948174117541902
