split,R2,RMSE,MAE,bias
train,0.9823761290243602,0.01351869310572045,0.009138213689310185,-0.00030937935661332273
val,0.988947541061374,0.011294309099543718,0.007466040724933541,0.0015527489710166576
test,0.7103589003106221,0.05004032818864633,0.03740651981594492,0.015198355397514341
