cluster,n_stations,median_J_clay_wfrac_b0,median_J_clay_wfrac_b30,median_J_clay_wfrac_b100,median_J_sand_wfrac_b0,median_J_sand_wfrac_b100,median_J_soil_texture_usda_b0,median_K_sand_clay_ratio_b0,median_K_aspect_cos,median_J_lc_code,median_elev,median_slope,median_clim_SMAP_sm_pm_interp,median_clim_F_NDVI,median_clim_F_NDMI,median_clim_F_MSI,median_clim_LST_modis
0,3,21.0,23.0,25.0,40.0,42.0,7.0,1.905,0.225,30.0,157.0,2.0,0.0,0.549,0.164,0.719,300.007
1,2,18.0,21.0,22.5,44.5,44.0,7.0,2.478,-0.662,30.0,94.0,3.5,0.0,0.489,0.164,0.718,299.3
