station_id,cluster,purity,share_c1,longitude,latitude,elev,slope,aspect,BIO01_annual_mean_temp_C,BIO04_temp_seasonality_sd,BIO05_max_temp_warmest_month_C,BIO06_min_temp_coldest_month_C,BIO07_temp_annual_range_C,BIO12_annual_precip_mm,BIO13_precip_wettest_month_mm,BIO14_precip_driest_month_mm,BIO15_precip_seasonality_CV,BIO16_precip_wettest_quarter_mm,BIO17_precip_driest_quarter_mm,J_clay_wfrac_b0,J_clay_wfrac_b30,J_clay_wfrac_b100,J_sand_wfrac_b0,J_sand_wfrac_b100,J_soil_texture_usda_b0,K_sand_clay_ratio_b0,K_aspect_cos,J_lc_code,landcover_label,clim_SMAP_sm_pm_interp,clim_F_NDVI,clim_F_NDMI,clim_F_MSI,clim_LST_modis
ECE_Renton_Garden_North,0,0.967,0.033,-122.1406,47.4963,157.0,2.0,283.0,10.3,4861.0,23.7,0.8,22.9,1227.0,179.0,31.0,50.0,528.0,128.0,21.0,23.0,25.0,40.0,42.0,7.0,1.905,0.225,30.0,Grassland,0.0,0.5555,0.1679,0.7125,300.0065
ECE_Renton_Garden_Shed,0,0.967,0.033,-122.1408,47.4958,157.0,2.0,283.0,10.3,4861.0,23.7,0.8,22.9,1227.0,179.0,31.0,50.0,528.0,128.0,21.0,23.0,25.0,40.0,42.0,7.0,1.905,0.225,30.0,Grassland,0.0,0.5489,0.1636,0.7188,300.0352
ECE_BBG_Main_St,0,0.933,0.067,-122.1825,47.6098,51.0,6.0,261.0,11.0,4858.0,24.2,1.5,22.7,1018.0,155.0,24.0,53.0,452.0,101.0,16.0,16.0,17.0,47.0,47.0,7.0,2.937,-0.156,50.0,Built-up,0.0,0.4142,0.1519,0.7363,298.9988
ECE_Renton_Home,1,0.9,0.9,-122.1447,47.4887,136.0,1.0,251.0,10.4,4839.0,23.9,0.9,23.0,1181.0,173.0,29.0,50.0,512.0,122.0,17.0,22.0,23.0,44.0,42.0,7.0,2.588,-0.326,50.0,Built-up,0.0,0.4954,0.144,0.7482,299.8926
ECE_BBG_Lost_Meadow,1,1.0,1.0,-122.1795,47.6072,52.0,6.0,177.0,11.0,4863.0,24.3,1.4,22.9,1019.0,155.0,24.0,53.0,453.0,101.0,19.0,20.0,22.0,45.0,46.0,7.0,2.368,-0.999,10.0,Tree cover,0.0,0.4827,0.1844,0.6887,298.7076
