feature,median_cluster0,median_cluster1,rank_biserial_r
J_aspect_deg,283.0,251.0,-0.928
K_aspect_cos,0.225,-0.3256,-0.928
lia_std_asc_deg,4.8608,4.8384,-0.928
K_aspect_sin,-0.9744,-0.9455,0.906
aspect,170.4671,177.9547,0.895
J_clay_wfrac_b100,25.0,22.0,-0.343
s2_b11,0.189,0.1841,-0.333
V_ema_F_NDVI_kobs30,0.5574,0.5079,-0.329
V_rollmax_E_SAR_ratio_kobs7,5.229,5.386,0.311
E_SAR_ratio,5.2016,5.3261,0.261
V_ema_LST_modis_kobs30,300.5495,299.8119,-0.237
J_bio_bio02,93.0,92.0,0.232
latitude,47.4963,47.6072,-0.232
J_bio_bio15,50.0,53.0,0.21
s2_b8,0.2581,0.2612,-0.192
V_rollmin_G_API_kobs14,2.8648,2.2044,-0.182
D_sa_LST_modis,1.0257,0.4147,-0.182
V_ema_G_API_kobs30,3.9666,3.6518,-0.178
D_z_E_SAR_ratio,0.9455,0.7459,0.169
D_sa_F_NDMI,-0.0847,-0.081,0.107
V_rollmax_G_API_kobs7,8.924,7.6479,-0.095
slope,4.1086,5.1805,0.077
A_grad_LST_modis_kobs14,-0.0927,-0.0938,-0.055
A_d_LST_modis_kobs14,-1.2975,-1.3134,-0.055
F_MSI,0.7212,0.7316,-0.033
V_rollrng_F_NDVI_kobs14,0.0297,0.038,0.025
SMAP_x_year,0.0,0.0,0.0
A_d_SMAP_sm_interp_kobs5,0.0,0.0,0.0
V_ema_SMAP_sm_interp_kobs30,0.0,0.0,0.0
