dataset,variant,n,satellite,hydro,static,calendar,temporal,path
derived_8.3,c0_baseline_bypass_on,14,7,5,1,1,0,notebooks\experiment\derived_8.3-feature-selection-1.0\artifacts\derived_8.3\c0_baseline_bypass_on\selected_features.json
derived_8.3,c1_baseline_bypass_off,9,6,2,1,0,0,notebooks\experiment\derived_8.3-feature-selection-1.0\artifacts\derived_8.3\c1_baseline_bypass_off\selected_features.json
derived_8.3,c2_xgb,50,26,7,10,7,0,notebooks\experiment\derived_8.3-feature-selection-1.0\artifacts\derived_8.3\c2_xgb\selected_features.json
derived_8.3,c2b_xgb_softcorr,55,25,12,11,7,0,notebooks\experiment\derived_8.3-feature-selection-1.0\artifacts\derived_8.3\c2b_xgb_softcorr\selected_features.json
derived_8.3,c2c_xgb_nocorr,55,24,12,12,7,0,notebooks\experiment\derived_8.3-feature-selection-1.0\artifacts\derived_8.3\c2c_xgb_nocorr\selected_features.json
derived_8.3,c2d_xgb_softcorr_k65,65,35,13,10,7,0,notebooks\experiment\derived_8.3-feature-selection-1.0\artifacts\derived_8.3\c2d_xgb_softcorr_k65\selected_features.json
derived_8.3,c3_xgb_no_coverage,50,26,6,11,7,0,notebooks\experiment\derived_8.3-feature-selection-1.0\artifacts\derived_8.3\c3_xgb_no_coverage\selected_features.json
derived_8.3,c4_hybrid,50,26,6,11,7,0,notebooks\experiment\derived_8.3-feature-selection-1.0\artifacts\derived_8.3\c4_hybrid\selected_features.json
derived_8.3,c5_rf,50,26,7,12,5,0,notebooks\experiment\derived_8.3-feature-selection-1.0\artifacts\derived_8.3\c5_rf\selected_features.json
