Configuration,R2,RMSE,ubRMSE,Bias,MAE,Med|Err|,Pearson,Train Time (s),Inference Time (s)
Baseline (MAE),0.6473523469288173,0.06253256816044586,0.05885558555454386,-0.021126810672445002,0.04748191635287884,0.03635885635018349,0.8322384020918618,34.578848900000594,0.3310103000003437
Baseline (MSE),0.6495801188719321,0.062334737536104155,0.05872162227172445,-0.020913884894839304,0.04685322208633076,0.03545495338737964,0.8339860987583113,28.603561800002353,0.32960610000009183
MSE Reg d=6 L2=0.5 L1=0.0,0.6331630291918422,0.06377820843322936,0.060011751496001416,-0.0215928125557538,0.04790540269704465,0.03615364271402359,0.8277460078053271,16.329106900000625,0.31285039999784203
MSE Reg d=6 L2=0.5 L1=0.1,0.6274046961760034,0.06427683066329186,0.06030327772927147,-0.02224917199016387,0.048191925186078836,0.035919845074415216,0.8266403364488089,17.223493900000904,0.31249559999923804
MSE Reg d=6 L2=0.5 L1=0.5,0.6196346117799298,0.06494358543622761,0.06106106588131633,-0.022118216954250328,0.049043381718360854,0.03762086176872252,0.822960148207834,15.399848699998984,0.3470876999999746
MSE Reg d=6 L2=3.0 L1=0.0,0.6304400105918806,0.06401448253726937,0.060006302682577575,-0.022295685973487727,0.04810021154767489,0.036390279874205594,0.8276375465617598,16.360503699997935,0.3460086000013689
MSE Reg d=6 L2=3.0 L1=0.1,0.632618462518636,0.06382553000855333,0.06012404619515701,-0.021419555314596623,0.0481189701085585,0.03607656592130662,0.827467573878704,17.20613620000222,0.32557699999961187
MSE Reg d=6 L2=3.0 L1=0.5,0.6206289992146196,0.06485863902708595,0.06093808306379867,-0.02220795106212059,0.04887537915152134,0.03705713300406933,0.8230146572451033,15.50516620000053,0.3331452000020363
MSE Reg d=6 L2=5.0 L1=0.0,0.6387646038151072,0.06328939083406399,0.059824886378506796,-0.020652601819954954,0.04767175028087469,0.03619424432516098,0.8295815094722979,16.626486599998316,0.34086220000244793
MSE Reg d=6 L2=5.0 L1=0.1,0.6330417993940232,0.06378874605790265,0.05997465626302295,-0.021726590340862884,0.04812886588279785,0.03670482695102692,0.8279352878925212,17.293708200002584,0.3704981000009866
MSE Reg d=6 L2=5.0 L1=0.5,0.6243028103621064,0.06454383100275105,0.06065645417799622,-0.02206129385562083,0.04869231639370252,0.037029433280229576,0.8243621721013756,15.54533210000227,0.33587680000346154
MSE Reg d=8 L2=0.5 L1=0.0,0.6490147264627206,0.06238500492197264,0.05924280306251226,-0.019549402095791316,0.046588511994901154,0.03462834244966507,0.8316824339134158,19.10979050000242,0.3385371000003943
MSE Reg d=8 L2=0.5 L1=0.1,0.6519312559799582,0.06212526857900242,0.05853732145113173,-0.020806993865491067,0.04670114982015991,0.03560385692119597,0.834993262551182,25.249714600002335,0.3300906999975268
MSE Reg d=8 L2=0.5 L1=0.5,0.640302161491886,0.06315455512978511,0.0593067136856406,-0.02170740761004105,0.047478985145701445,0.03585507541894914,0.8298351930464914,21.76167770000029,0.3272303000012471
MSE Reg d=8 L2=3.0 L1=0.0,0.6514857096123916,0.06216501767458226,0.05842510611552726,-0.021236675776731218,0.04660684770396994,0.035286247998476024,0.8354606121393375,22.188974800003052,0.32346619999952964
MSE Reg d=8 L2=3.0 L1=0.1,0.6463973328108352,0.06261718393428709,0.05915312877625099,-0.020538234614750392,0.046959079917969104,0.035180238246917725,0.8310144056711202,25.44649819999904,0.33561269999700016
MSE Reg d=8 L2=3.0 L1=0.5,0.6356076263327703,0.06356534460476454,0.05978761132256216,-0.021586907338127542,0.047851931637408716,0.036371941685676576,0.826971732219925,19.33944479999991,0.33139089999895077
MSE Reg d=8 L2=5.0 L1=0.0,0.647945689848476,0.06247993931648239,0.05894788462398406,-0.020709652724064016,0.046865557646486214,0.03539899787306785,0.8323935960119541,23.72135790000175,0.3477969999985362
MSE Reg d=8 L2=5.0 L1=0.1,0.6423897573086954,0.06297102186746098,0.05900272938249389,-0.02200062549253329,0.04739069750776983,0.03611635434627533,0.8316236001531551,25.926921199999924,0.3555183999997098
MSE Reg d=8 L2=5.0 L1=0.5,0.6399933984653676,0.06318165511017784,0.05935095130674653,-0.02166532074701408,0.047575761068378825,0.036252523094415665,0.8296014269942389,19.5805285000024,0.3417789000013727
MSE Samp d=6 sub=0.7 col=0.6,0.6441620660786564,0.06281478652858716,0.05899609094383451,-0.02156753710195149,0.04715515493260208,0.03553387558460236,0.8326090906131203,16.85510879999856,0.3303717999988294
MSE Samp d=6 sub=0.7 col=0.7,0.6340359277366947,0.06370228224880398,0.060081067953774436,-0.02117182178399834,0.04781304403735897,0.03637558770179748,0.8267790966985515,17.07324460000018,0.3469522999985202
MSE Samp d=6 sub=0.8 col=0.6,0.6384275122359757,0.0633189136135921,0.06009595253626265,-0.019943954222136115,0.047877393054543846,0.03599208399653435,0.8268440158205069,16.923281999999745,0.34365969999998924
MSE Samp d=6 sub=0.8 col=0.7,0.633628069253118,0.06373776972324266,0.05976220328761789,-0.022158121501983808,0.04766231387268506,0.035440675258636464,0.8291006424062805,17.06349709999995,0.32649600000149803
MSE Samp d=6 sub=0.9 col=0.6,0.6331850777011758,0.06377629172953482,0.06011974141715038,-0.02128455017781472,0.04810970674762621,0.037068390250206,0.8260984540040911,16.971026700000948,0.32527960000152234
MSE Samp d=6 sub=0.9 col=0.7,0.6223890668425817,0.06470801035074557,0.061064393139615904,-0.02140715986774019,0.04862165990429448,0.036583305358886736,0.821255327541744,17.04238279999845,0.3480606000011903
MSE Samp d=8 sub=0.7 col=0.6,0.6447760254799451,0.06276057311476363,0.05896217314529909,-0.02150236440387516,0.04695058250551116,0.035480907797813405,0.8314856523394456,28.652655299996695,0.32903240000086953
MSE Samp d=8 sub=0.7 col=0.7,0.6416364959787555,0.06303730727827175,0.05957257345936404,-0.02061093400495549,0.04696758580449077,0.03483987836539745,0.8291845114816933,28.87399500000174,0.3336428000002343
MSE Samp d=8 sub=0.8 col=0.6,0.6463024795071677,0.06262558184676831,0.05898262449059883,-0.021047886130043665,0.04700863551450054,0.03584321701526642,0.8326096858932583,28.307674299998325,0.3192645999988599
MSE Samp d=8 sub=0.8 col=0.7,0.6390794935939053,0.06326180006158745,0.05964448417587322,-0.021085323235284097,0.047362492272540364,0.035790432035923,0.8289128255403098,31.154192999998486,0.3335149000013189
MSE Samp d=8 sub=0.9 col=0.6,0.6493645445911925,0.06235390839494903,0.05871286737359794,-0.020995454172893162,0.04663802318697302,0.03516805183887482,0.8336723716558994,26.72154320000118,0.316345100000035
MSE Samp d=8 sub=0.9 col=0.7,0.6360955718185055,0.06352277124784304,0.05996446336804705,-0.02096200375316421,0.047383127784147654,0.03546486842632293,0.8267684623423481,27.049619199999142,0.32563350000054925
Huber Slope 1.5,0.6484744267742937,0.06243300356952486,0.05880809771287953,-0.020963959001981003,0.04685223299911331,0.035473267853260035,0.8336249346517354,27.375346299999364,0.32537869999941904
Huber Slope 2.0,0.6482870028954919,0.06244964514168803,0.05901983393847712,-0.020411207230219715,0.0470151590330715,0.03568274948000909,0.8322153239021692,27.511338499996782,0.3546840000017255
Huber Slope 3.0,0.6516852058290286,0.06214722290773372,0.058631847401903504,-0.020605430989659494,0.04669979060839018,0.035650295138359066,0.8342406730664121,27.62740390000181,0.3379563999988022
Huber Slope 4.0,0.6475521571274687,0.06251485017037013,0.05866757788425481,-0.021592169847162793,0.04698390451864235,0.035228794932365415,0.8346665546100906,27.21620620000249,0.316584200001671
Huber Slope 6.0,0.6480403208887369,0.06247154155106126,0.05875778516202647,-0.02121829831464832,0.04695212051567105,0.0356200393140316,0.8340180878670043,27.42763439999908,0.33670640000127605
Huber Slope 8.0,0.6448635666387332,0.06275283930141608,0.058892106311684476,-0.021671147984343112,0.04707842186862074,0.03552631509304047,0.8332861544130942,27.51065540000127,0.33358729999963543
MSE Depth 6 LR 0.02,0.6269468107139524,0.06431631370216291,0.06043757705453666,-0.021997442737076083,0.04825569138321896,0.036550627708435056,0.8256574923829556,35.03504149999935,0.6404987999994773
MSE Depth 8 LR 0.02,0.6516133128405978,0.06215363624292255,0.05854704078917383,-0.02086428797219247,0.04670835424160702,0.036119427680969235,0.8354687184211497,54.77015580000079,0.6385280999966199
MSE Depth 6 LR 0.01,0.6347290786060238,0.06364192629657839,0.06008114055453118,-0.020989314720812967,0.047907793943316804,0.036335650980472575,0.8276465260721284,69.18836179999926,1.5576608999981545
MSE Depth 8 LR 0.01,0.6520491009041802,0.06211475087599809,0.058447586677597384,-0.021026694643977207,0.04667643714924323,0.03563691765069962,0.835652584222448,106.26189750000049,1.3152919999993173
MAE Depth 8 LR 0.02,0.6424115848381842,0.06296910005056756,0.059054342592849536,-0.021856170310014682,0.04729365349663126,0.03541738244891167,0.8313116422159379,67.98566310000024,0.6567178000004787
MAE Depth 8 LR 0.01,0.6434572462119642,0.06287696540783844,0.059067545556838734,-0.021553139970871577,0.0474252862836291,0.03585758882761003,0.830608664965545,129.59912530000292,1.3845130000008794
MSE Gamma d=6 gam=0.01,0.6308656069189114,0.06397761142325362,0.06021046210073584,-0.021629494140803864,0.048078668371035437,0.036644816100597374,0.825727353864872,4.984214800002519,0.3311332000012044
MSE Gamma d=6 gam=0.05,0.6246391323632979,0.0645149348979995,0.06048812374191942,-0.022435768558515493,0.04855227630558314,0.0365588949918747,0.822769848606619,4.510537300000578,0.2962167000005138
MSE Gamma d=6 gam=0.1,0.6290658050597835,0.0641333907419059,0.060364057466177456,-0.021662695499119047,0.04844039697637118,0.036333847939968106,0.8222313634679198,4.579721300000529,0.30628839999917545
MSE Gamma d=6 gam=0.2,0.6297408918596281,0.06407500394019724,0.06033273367964736,-0.021577010304529163,0.04857486801718532,0.03671429336071015,0.8208476223468023,4.556153199999244,0.29349179999917396
MSE Gamma d=8 gam=0.01,0.6475364524178655,0.06251624295323314,0.05891442415165276,-0.020913422968231895,0.04678816976255194,0.035631051182746884,0.8331607318876001,4.956737299999077,0.3120223999976588
MSE Gamma d=8 gam=0.05,0.645869612599941,0.06266389177452078,0.05912580984037327,-0.02075817777001504,0.047074989611825706,0.035908988103270534,0.8306227328087327,4.7275780999989365,0.3346170000004349
MSE Gamma d=8 gam=0.1,0.6422092916845983,0.06298690881652116,0.059280428022351644,-0.02128806083325495,0.04762173291449934,0.03586860358715058,0.8293820414849934,4.628963499999372,0.32876629999736906
MSE Gamma d=8 gam=0.2,0.6377569708802149,0.06337759933378437,0.059953780369846034,-0.02054907092370362,0.04808548209591411,0.03596473693847657,0.824442938710609,4.640450999999302,0.31628509999791277
